While	while	While
be	be	be
wholesale	wholesal	wholesale
roundups	roundup	roundup
and	and	and
interrogations	interrog	interrogation
?	?	?
Anyone	anyon	Anyone
who	who	who
looks	look	look
Latino	latino	Latino
stopped	stop	stopped
and	and	and
identity	ident	identity
checked	check	checked
?	?	?
Anonymous	anonym	Anonymous
accusations	accus	accusation
to	to	to
government	govern	government
agents	agent	agent
of	of	of
gang	gang	gang
membership	membership	membership
or	or	or
drug	drug	drug
dealing	deal	dealing
?	?	?
And	and	And
what	what	what
is	is	is
the	the	the
responsibility	respons	responsibility
of	of	of
the	the	the
rest	rest	rest
of	of	of
us	us	u
including	includ	including
those	those	those
of	of	of
us	us	u
living	live	living
in	in	in
sanctuary	sanctuari	sanctuary
cities	citi	city
to	to	to
stop	stop	stop
such	such	such
abuses	abus	abuse
?	?	?
Despite	despit	Despite
Trump	trump	Trump
s	s	s
assertions	assert	assertion
that	that	that
immigrants	immigr	immigrant
are	are	are
criminals	crimin	criminal
and	and	and
rapists	rapist	rapist
,	,	,
they	they	they
,	,	,
by	by	by
and	and	and
large	larg	large
,	,	,
aren	aren	aren
t	t	t
.	.	.
Undocumented	undocu	Undocumented
immigrants	immigr	immigrant
,	,	,
for	for	for
pretty	pretti	pretty
obvious	obvious	obvious
reasons	reason	reason
they	they	they
don	don	don
t	t	t
want	want	want
to	to	to
attract	attract	attract
the	the	the
attention	attent	attention
of	of	of
the	the	the
law	law	law
stay	stay	stay
out	out	out
of	of	of
trouble	troubl	trouble
.	.	.
In	in	In
several	sever	several
studies	studi	study
quoted	quot	quoted
by	by	by
the	the	the
conservative	conserv	conservative
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
,	,	,
immigrants	immigr	immigrant
are	are	are
less	less	le
likely	like	likely
to	to	to
commit	commit	commit
crimes	crime	crime
and	and	and
less	less	le
likely	like	likely
to	to	to
be	be	be
locked	lock	locked
up	up	up
for	for	for
crimes	crime	crime
.	.	.
It	it	It
s	s	s
not	not	not
just	just	just
well	well	well
-educated	-educ	-educated
immigrants	immigr	immigrant
working	work	working
in	in	in
Silicon	silicon	Silicon
Valley	valley	Valley
who	who	who
stay	stay	stay
out	out	out
of	of	of
trouble	troubl	trouble
.	.	.
It	it	It
s	s	s
immigrants	immigr	immigrant
from	from	from
Latin	latin	Latin
American	american	American
countries	countri	country
as	as	a
well	well	well
.	.	.
Despite	despit	Despite
the	the	the
fact	fact	fact
that	that	that
immigrants	immigr	immigrant
as	as	a
criminals	crimin	criminal
is	is	is
just	just	just
a	a	a
red	red	red
herring	herring	herring
,	,	,
and	and	and
the	the	the
real	real	real
immigration	immigr	immigration
problem	problem	problem
is	is	is
the	the	the
fact	fact	fact
that	that	that
employers	employ	employer
hire	hire	hire
undocumented	undocu	undocumented
workers	worker	worker
,	,	,
this	this	this
will	will	will
put	put	put
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
s	s	s
lives	live	life
in	in	in
danger	danger	danger
.	.	.
Trump	trump	Trump
has	has	ha
given	given	given
his	his	his
tacit	tacit	tacit
permission	permiss	permission
for	for	for
his	his	his
voters	voter	voter
to	to	to
become	becom	become
vigilante	vigilant	vigilante
warriors	warrior	warrior
.	.	.
Hate	hate	Hate
crimes	crime	crime
are	are	are
already	alreadi	already
up	up	up
and	and	and
Trump	trump	Trump
has	has	ha
done	done	done
nothing	noth	nothing
to	to	to
denounce	denounc	denounce
them	them	them
,	,	,
let	let	let
alone	alon	alone
quell	quell	quell
them	them	them
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
