Dallas	dalla	Dallas
elected	elect	elected
officials	offici	official
was	was	wa
crystal	crystal	crystal
clear	clear	clear
Do	do	Do
your	your	your
jobs	job	job
.	.	.
Watch	watch	Watch
Dallas	dalla	Dallas
Police	polic	Police
Chief	chief	Chief
David	david	David
Brown	brown	Brown
obliterate	obliter	obliterate
the	the	the
good	good	good
guy	guy	guy
with	with	with
a	a	a
gun	gun	gun
myth	myth	myth
Featured	featur	Featured
image	imag	image
via	via	via
Stewart	stewart	Stewart
F	f	F
.	.	.
House	hous	House
Getty	getti	Getty
Images	imag	Images
