Amateur	amateur	Amateur
will	will	will
tell	tell	tell
you	you	you
right	right	right
now	now	now
,	,	,
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
are	are	are
very	veri	very
,	,	,
very	veri	very
happy	happi	happy
right	right	right
now	now	now
.	.	.
Watch	watch	Watch
A	a	A
lot	lot	lot
of	of	of
people	peopl	people
are	are	are
not	not	not
very	veri	very
happy	happi	happy
right	right	right
now	now	now
as	as	a
Trump	trump	Trump
suggested	suggest	suggested
.	.	.
His	his	His
approval	approv	approval
rating	rate	rating
is	is	is
tanking	tank	tanking
like	like	like
the	the	the
Titanic	titan	Titanic
.	.	.
Before	befor	Before
taking	take	taking
the	the	the
oath	oath	oath
of	of	of
office	offic	office
,	,	,
Trump	trump	Trump
s	s	s
approval	approv	approval
rating	rate	rating
as	as	a
president	presid	president
-elect	-elect	-elect
was	was	wa
the	the	the
worst	worst	worst
in	in	in
modern	modern	modern
history	histori	history
,	,	,
and	and	and
it	it	it
s	s	s
gotten	gotten	gotten
even	even	even
worse	wors	worse
since	sinc	since
Inauguration	inaugur	Inauguration
Day	day	Day
.	.	.
Trump	trump	Trump
s	s	s
disapproval	disapprov	disapproval
rating	rate	rating
has	has	ha
risen	risen	risen
5	5	5
percentage	percentag	percentage
points	point	point
since	sinc	since
just	just	just
last	last	last
week	week	week
.	.	.
Since	sinc	Since
his	his	his
election	elect	election
,	,	,
Trump	trump	Trump
has	has	ha
witnessed	wit	witnessed
mass	mass	mass
protests	protest	protest
across	across	across
the	the	the
country	countri	country
.	.	.
The	the	The
Women	women	Women
s	s	s
March	march	March
on	on	on
Washington	washington	Washington
,	,	,
which	which	which
took	took	took
place	place	place
the	the	the
day	day	day
after	after	after
he	he	he
was	was	wa
sworn	sworn	sworn
in	in	in
,	,	,
garnered	garner	garnered
a	a	a
far	far	far
larger	larger	larger
crowd	crowd	crowd
than	than	than
his	his	his
inauguration	inaugur	inauguration
.	.	.
Nope	nope	Nope
,	,	,
people	peopl	people
are	are	are
not	not	not
happy	happi	happy
right	right	right
now	now	now
,	,	,
but	but	but
he	he	he
knows	know	know
that	that	that
.	.	.
That	that	That
s	s	s
why	whi	why
he	he	he
repeatedly	repeat	repeatedly
brings	bring	brings
up	up	up
his	his	his
election	elect	election
victory	victori	victory
and	and	and
most	most	most
times	time	time
,	,	,
tries	tri	try
to	to	to
claim	claim	claim
he	he	he
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
by	by	by
saying	say	saying
that	that	that
3	3	3
million	million	million
people	peopl	people
voted	vote	voted
illegally	illeg	illegally
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
election	elect	election
.	.	.
That	that	That
s	s	s
nearly	near	nearly
the	the	the
same	same	same
number	number	number
by	by	by
which	which	which
Hillary	hillari	Hillary
Clinton	clinton	Clinton
won	won	won
the	the	the
popular	popular	popular
vote	vote	vote
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Alex	alex	Alex
Wong	wong	Wong
via	via	via
Getty	getti	Getty
Images	imag	Images
.	.	.
