Shawn	shawn	Shawn
Orenstein	orenstein	Orenstein
,	,	,
a	a	a
case	case	case
which	which	which
has	has	ha
arguably	arguabl	arguably
been	been	been
a	a	a
part	part	part
of	of	of
an	an	an
overarching	overarch	overarching
back	back	back
drop	drop	drop
concerning	concern	concerning
the	the	the
larger	larger	larger
San	san	San
Bernardino	bernardino	Bernardino
case	case	case
The	the	The
Brooklyn	brooklyn	Brooklyn
case	case	case
began	began	began
last	last	last
fall	fall	fall
when	when	when
Orenstein	orenstein	Orenstein
,	,	,
one	one	one
of	of	of
a	a	a
handful	hand	handful
of	of	of
magistrates	magistr	magistrate
across	across	across
the	the	the
country	countri	country
who	who	who
are	are	are
activists	activist	activist
in	in	in
the	the	the
surveillance	surveil	surveillance
debate	debat	debate
,	,	,
received	receiv	received
the	the	the
government	govern	government
s	s	s
application	applic	application
to	to	to
issue	issu	issue
an	an	an
order	order	order
to	to	to
Apple	appl	Apple
.	.	.
While	while	While
Apple	appl	Apple
has	has	ha
previously	previous	previously
helped	help	helped
the	the	the
federal	feder	federal
government	govern	government
with	with	with
some	some	some
70	70	70
phone	phone	phone
cases	case	case
since	sinc	since
2008	2008	2008
,	,	,
Judge	judg	Judge
Orenstein	orenstein	Orenstein
examined	examin	examined
several	sever	several
problems	problem	problem
with	with	with
the	the	the
FBI	fbi	FBI
s	s	s
use	use	use
of	of	of
the	the	the
All	all	All
Writs	writ	Writs
Act	act	Act
In	in	In
an	an	an
Oct	oct	Oct
.	.	.
9	9	9
ruling	rule	ruling
,	,	,
Orenstein	orenstein	Orenstein
identified	identifi	identified
what	what	what
he	he	he
thought	thought	thought
was	was	wa
a	a	a
problem	problem	problem
with	with	with
the	the	the
government	govern	government
s	s	s
argument	argument	argument
.	.	.
Though	though	Though
prosecutors	prosecutor	prosecutor
cited	cite	cited
a	a	a
1985	1985	1985
decision	decis	decision
that	that	that
found	found	found
that	that	that
the	the	the
All	all	All
Writs	writ	Writs
Act	act	Act
is	is	is
a	a	a
source	sourc	source
of	of	of
authority	author	authority
to	to	to
issue	issu	issue
writs	writ	writ
not	not	not
otherwise	otherwis	otherwise
covered	cover	covered
by	by	by
statute	statut	statute
,	,	,
he	he	he
said	said	said
they	they	they
failed	fail	failed
to	to	to
cite	cite	cite
another	anoth	another
part	part	part
of	of	of
the	the	the
decision	decis	decision
that	that	that
found	found	found
that	that	that
the	the	the
act	act	act
does	doe	doe
not	not	not
authorize	author	authorize
the	the	the
issuance	issuanc	issuance
of	of	of
ad	ad	ad
hoc	hoc	hoc
writs	writ	writ
whenever	whenev	whenever
compliance	complianc	compliance
with	with	with
statutory	statutori	statutory
procedures	procedur	procedure
appears	appear	appears
inconvenient	inconveni	inconvenient
or	or	or
less	less	le
appropriate	appropri	appropriate
.	.	.
The	the	The
new	new	new
ruling	rule	ruling
in	in	in
the	the	the
FBI	fbi	FBI
drug	drug	drug
case	case	case
will	will	will
likely	like	likely
have	have	have
a	a	a
heavy	heavi	heavy
impact	impact	impact
on	on	on
the	the	the
eventual	eventu	eventual
ruling	rule	ruling
in	in	in
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
Apple	appl	Apple
court	court	court
order	order	order
,	,	,
as	as	a
it	it	it
directly	direct	directly
questions	question	question
the	the	the
heart	heart	heart
of	of	of
the	the	the
government	govern	government
s	s	s
argument	argument	argument
to	to	to
gain	gain	gain
easier	easier	easier
access	access	access
to	to	to
encrypted	encrypt	encrypted
consumer	consum	consumer
data	data	data
.	.	.
It	it	It
s	s	s
also	also	also
interesting	interest	interesting
to	to	to
note	note	note
,	,	,
that	that	that
it	it	it
was	was	wa
the	the	the
FBI	fbi	FBI
who	who	who
put	put	put
themselves	themselv	themselves
in	in	in
this	this	this
position	posit	position
regarding	regard	regarding
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
phone	phone	phone
as	as	a
they	they	they
reportedly	report	reportedly
ordered	order	ordered
the	the	the
password	password	password
to	to	to
be	be	be
reset	reset	reset
via	via	via
iCloud	icloud	iCloud
shortly	short	shortly
after	after	after
the	the	the
apparent	appar	apparent
mass	mass	mass
shooting	shoot	shooting
.	.	.
You	you	You
have	have	have
to	to	to
wonder	wonder	wonder
why	whi	why
the	the	the
agency	agenc	agency
would	would	would
have	have	have
ordered	order	ordered
a	a	a
new	new	new
password	password	password
almost	almost	almost
immediately	immedi	immediately
following	follow	following
the	the	the
highly	high	highly
dramatic	dramat	dramatic
scene	scene	scene
in	in	in
San	san	San
Bernardino	bernardino	Bernardino
INVENTIONS	invent	INVENTIONS
OF	of	OF
REALITY	realiti	REALITY
?	?	?
Is	is	Is
this	this	this
latest	latest	latest
privacy	privaci	privacy
crisis	crisi	crisis
a	a	a
manufactured	manufactur	manufactured
drama	drama	drama
or	or	or
a	a	a
legitimate	legitim	legitimate
battle	battl	battle
for	for	for
those	those	those
in	in	in
the	the	the
tech	tech	tech
industry	industri	industry
?	?	?
Photo	photo	Photo
illustration	illustr	illustration
21WIRE	21wire	21WIRE
What	what	What
s	s	s
interesting	interest	interesting
here	here	here
,	,	,
is	is	is
that	that	that
ABC	abc	ABC
news	news	news
reported	report	reported
on	on	on
December	decemb	December
3rd	3rd	3rd
,	,	,
a	a	a
day	day	day
after	after	after
the	the	the
apparent	appar	apparent
shooting	shoot	shooting
,	,	,
Sources	sourc	Sources
say	say	say
mobile	mobil	mobile
phones	phone	phone
,	,	,
hard	hard	hard
drives	drive	drive
,	,	,
virtually	virtual	virtually
anything	anyth	anything
with	with	with
digital	digit	digital
memory	memori	memory
that	that	that
was	was	wa
associated	associ	associated
with	with	with
the	the	the
alleged	alleg	alleged
shooters	shooter	shooter
Syed	sy	Syed
Farook	farook	Farook
and	and	and
Tashfeen	tashfeen	Tashfeen
Malik	malik	Malik
was	was	wa
smashed	smash	smashed
.	.	.
Adding	ad	Adding
to	to	to
that	that	that
,	,	,
we	we	we
ve	ve	ve
mentioned	mention	mentioned
a	a	a
number	number	number
of	of	of
times	time	time
here	here	here
at	at	at
21WIRE	21wire	21WIRE
,	,	,
that	that	that
none	none	none
of	of	of
the	the	the
eyewitness	eyewit	eyewitness
testimony	testimoni	testimony
mentioned	mention	mentioned
seeing	see	seeing
a	a	a
female	femal	female
shooter	shooter	shooter
at	at	at
the	the	the
scene	scene	scene
of	of	of
the	the	the
Inland	inland	Inland
Regional	region	Regional
Center	center	Center
in	in	in
the	the	the
aftermath	aftermath	aftermath
of	of	of
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
shooting	shoot	shooting
.	.	.
A	a	A
Right	right	Right
to	to	to
PrivacyIn	privacyin	PrivacyIn
our	our	our
previous	previous	previous
article	articl	article
detailing	detail	detailing
the	the	the
ongoing	ongo	ongoing
encryption	encrypt	encryption
saga	saga	saga
between	between	between
Apple	appl	Apple
and	and	and
the	the	the
FBI	fbi	FBI
,	,	,
we	we	we
stated	state	stated
that	that	that
there	there	there
are	are	are
no	no	no
guarantees	guarante	guarantee
in	in	in
the	the	the
security	secur	security
world	world	world
,	,	,
especially	especi	especially
if	if	if
a	a	a
digital	digit	digital
master	master	master
-key	-key	-key
were	were	were
to	to	to
be	be	be
created	creat	created
,	,	,
as	as	a
this	this	this
would	would	would
potentially	potenti	potentially
make	make	make
it	it	it
easier	easier	easier
for	for	for
invaders	invad	invader
either	either	either
the	the	the
government	govern	government
,	,	,
or	or	or
various	various	various
hackers	hacker	hacker
mining	mine	mining
for	for	for
data	data	data
moving	move	moving
forward	forward	forward
into	into	into
the	the	the
future	futur	future
.	.	.
In	in	In
a	a	a
recent	recent	recent
Guardian	guardian	Guardian
article	articl	article
,	,	,
some	some	some
of	of	of
those	those	those
involved	involv	involved
in	in	in
the	the	the
technology	technolog	technology
and	and	and
security	secur	security
sector	sector	sector
offered	offer	offered
their	their	their
thoughts	thought	thought
regarding	regard	regarding
the	the	the
government	govern	government
s	s	s
continued	continu	continued
encroachment	encroach	encroachment
on	on	on
individual	individu	individual
privacy	privaci	privacy
Dan	dan	Dan
Kaminsky	kaminski	Kaminsky
,	,	,
the	the	the
security	secur	security
expert	expert	expert
who	who	who
made	made	made
his	his	his
name	name	name
with	with	with
the	the	the
discovery	discoveri	discovery
that	that	that
one	one	one
of	of	of
the	the	the
most	most	most
basic	basic	basic
parts	part	part
of	of	of
the	the	the
internet	internet	internet
,	,	,
the	the	the
domain	domain	domain
name	name	name
system	system	system
,	,	,
was	was	wa
vulnerable	vulner	vulnerable
to	to	to
fraud	fraud	fraud
disagrees	disagre	disagrees
Feds	fed	Feds
want	want	want
final	final	final
authority	author	authority
on	on	on
engineering	engin	engineering
decisions	decis	decision
,	,	,
and	and	and
their	their	their
interests	interest	interest
don	don	don
t	t	t
even	even	even
align	align	align
with	with	with
fighting	fight	fighting
the	the	the
vast	vast	vast
bulk	bulk	bulk
of	of	of
real	real	real
-world	-world	-world
crime	crime	crime
.	.	.
Kaminsky	kaminski	Kaminsky
further	further	further
explained	explain	explained
why	whi	why
Apple	appl	Apple
s	s	s
security	secur	security
measures	measur	measure
already	alreadi	already
help	help	help
law	law	law
enforcement	enforc	enforcement
,	,	,
If	if	If
my	my	my
iPhone	iphon	iPhone
is	is	is
stolen	stolen	stolen
,	,	,
my	my	my
emails	email	email
stay	stay	stay
unread	unread	unread
,	,	,
my	my	my
photos	photo	photo
stay	stay	stay
unviewed	unview	unviewed
,	,	,
and	and	and
I	i	I
don	don	don
t	t	t
need	need	need
to	to	to
notify	notifi	notify
anyone	anyon	anyone
that	that	that
the	the	the
secrets	secret	secret
they	they	they
entrusted	entrust	entrusted
me	me	me
with	with	with
are	are	are
going	go	going
to	to	to
show	show	show
up	up	up
on	on	on
the	the	the
internet	internet	internet
tomorrow	tomorrow	tomorrow
.	.	.
Continuing	continu	Continuing
,	,	,
The	the	The
Guardian	guardian	Guardian
interviewed	interview	interviewed
former	former	former
FBI	fbi	FBI
agent	agent	agent
Michael	michael	Michael
German	german	German
,	,	,
currently	current	currently
at	at	at
judicial	judici	judicial
think	think	think
-tank	-tank	-tank
the	the	the
Brennan	brennan	Brennan
Center	center	Center
.	.	.
The	the	The
following	follow	following
is	is	is
a	a	a
portion	portion	portion
of	of	of
that	that	that
interview	interview	interview
After	after	After
9	9	9
11	11	11
,	,	,
you	you	you
had	had	had
this	this	this
concept	concept	concept
of	of	of
total	total	total
information	inform	information
awareness	awar	awareness
.	.	.
The	the	The
intelligence	intellig	intelligence
community	communiti	community
was	was	wa
very	veri	very
enamoured	enamour	enamoured
of	of	of
the	the	the
idea	idea	idea
that	that	that
all	all	all
information	inform	information
was	was	wa
available	avail	available
.	.	.
Much	much	Much
like	like	like
the	the	the
NSA	nsa	NSA
,	,	,
they	they	they
wanted	want	wanted
to	to	to
see	see	see
it	it	it
all	all	all
,	,	,
collect	collect	collect
it	it	it
all	all	all
,	,	,
and	and	and
analyse	analys	analyse
it	it	it
all	all	all
.	.	.
Additionally	addit	Additionally
,	,	,
there	there	there
are	are	are
many	mani	many
who	who	who
believe	believ	believe
weaker	weaker	weaker
encryption	encrypt	encryption
may	may	may
pose	pose	pose
an	an	an
even	even	even
bigger	bigger	bigger
security	secur	security
risk	risk	risk
globally	global	globally
.	.	.
In	in	In
many	mani	many
ways	way	way
,	,	,
it	it	it
appears	appear	appears
as	as	a
though	though	though
federal	feder	federal
agencies	agenc	agency
are	are	are
seemingly	seem	seemingly
searching	search	searching
for	for	for
the	the	the
right	right	right
crisis	crisi	crisis
to	to	to
push	push	push
public	public	public
opinion	opinion	opinion
in	in	in
favor	favor	favor
of	of	of
the	the	the
state	state	state
when	when	when
it	it	it
comes	come	come
to	to	to
security	secur	security
.	.	.
This	this	This
is	is	is
at	at	at
the	the	the
core	core	core
of	of	of
the	the	the
perpetual	perpetu	perpetual
privacy	privaci	privacy
and	and	and
security	secur	security
battle	battl	battle
post	post	post
9	9	9
11	11	11
TARGETING	target	TARGETING
PRIVACY	privaci	PRIVACY
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
speaking	speak	speaking
at	at	at
the	the	the
Brookings	brook	Brookings
Institution	institut	Institution
in	in	in
October	octob	October
of	of	of
2014	2014	2014
about	about	about
Going	go	Going
Dark	dark	Dark
.	.	.
Photo	photo	Photo
link	link	link
brookings	brook	brookings
Shining	shine	Shining
a	a	a
Light	light	Light
on	on	on
the	the	the
FBI	fbi	FBI
Going	go	Going
Dark	dark	Dark
Last	last	Last
September	septemb	September
,	,	,
The	the	The
Washington	washington	Washington
Post	post	Post
published	publish	published
an	an	an
article	articl	article
entitled	entitl	entitled
,	,	,
Obama	obama	Obama
faces	face	face
growing	grow	growing
momentum	momentum	momentum
to	to	to
support	support	support
widespread	widespread	widespread
encryption	encrypt	encryption
,	,	,
and	and	and
within	within	within
its	it	it
contents	content	content
,	,	,
perhaps	perhap	perhaps
the	the	the
true	true	true
nature	natur	nature
of	of	of
the	the	the
security	secur	security
privacy	privaci	privacy
issue	issu	issue
was	was	wa
laid	laid	laid
bare	bare	bare
hat	hat	hat
tip	tip	tip
saperetic	saperet	saperetic
Privately	privat	Privately
,	,	,
law	law	law
enforcement	enforc	enforcement
officials	offici	official
have	have	have
acknowledged	acknowledg	acknowledged
that	that	that
prospects	prospect	prospect
for	for	for
congressional	congression	congressional
action	action	action
this	this	this
year	year	year
are	are	are
remote	remot	remote
.	.	.
Although	although	Although
the	the	the
legislative	legisl	legislative
environment	environ	environment
is	is	is
very	veri	very
hostile	hostil	hostile
today	today	today
,	,	,
the	the	the
intelligence	intellig	intelligence
community	communiti	community
s	s	s
top	top	top
lawyer	lawyer	lawyer
,	,	,
Robert	robert	Robert
S	s	S
.	.	.
Litt	litt	Litt
,	,	,
said	said	said
to	to	to
colleagues	colleagu	colleague
in	in	in
an	an	an
August	august	August
e	e	e
-mail	-mail	-mail
,	,	,
which	which	which
was	was	wa
obtained	obtain	obtained
by	by	by
The	the	The
Post	post	Post
,	,	,
it	it	it
could	could	could
turn	turn	turn
in	in	in
the	the	the
event	event	event
of	of	of
a	a	a
terrorist	terrorist	terrorist
attack	attack	attack
or	or	or
criminal	crimin	criminal
event	event	event
where	where	where
strong	strong	strong
encryption	encrypt	encryption
can	can	can
be	be	be
shown	shown	shown
to	to	to
have	have	have
hindered	hinder	hindered
law	law	law
enforcement	enforc	enforcement
.	.	.
There	there	There
is	is	is
value	valu	value
,	,	,
he	he	he
said	said	said
,	,	,
in	in	in
keeping	keep	keeping
our	our	our
options	option	option
open	open	open
for	for	for
such	such	such
a	a	a
situation	situat	situation
.	.	.
Interestingly	interest	Interestingly
,	,	,
in	in	in
October	octob	October
of	of	of
2014	2014	2014
,	,	,
FBI	fbi	FBI
Director	director	Director
James	jame	James
B	b	B
.	.	.
Comey	comey	Comey
,	,	,
explained	explain	explained
while	while	while
speaking	speak	speaking
at	at	at
the	the	the
Brookings	brook	Brookings
Institution	institut	Institution
he	he	he
was	was	wa
focused	focus	focused
on	on	on
trying	tri	trying
to	to	to
get	get	get
the	the	the
law	law	law
changed	chang	changed
so	so	so
that	that	that
tech	tech	tech
companies	compani	company
would	would	would
have	have	have
to	to	to
comply	compli	comply
with	with	with
law	law	law
enforcement	enforc	enforcement
to	to	to
unlock	unlock	unlock
data	data	data
on	on	on
various	various	various
devices	devic	device
.	.	.
Continuing	continu	Continuing
,	,	,
he	he	he
outlined	outlin	outlined
the	the	the
current	current	current
security	secur	security
agenda	agenda	agenda
concerning	concern	concerning
the	the	the
FBI	fbi	FBI
,	,	,
We	we	We
have	have	have
the	the	the
legal	legal	legal
authority	author	authority
to	to	to
intercept	intercept	intercept
and	and	and
access	access	access
communications	communic	communication
and	and	and
information	inform	information
pursuant	pursuant	pursuant
to	to	to
a	a	a
court	court	court
order	order	order
,	,	,
but	but	but
we	we	we
often	often	often
lack	lack	lack
the	the	the
technical	technic	technical
ability	abil	ability
to	to	to
do	do	do
that	that	that
.	.	.
The	the	The
Brookings	brook	Brookings
speech	speech	speech
from	from	from
2014	2014	2014
,	,	,
appeared	appear	appeared
in	in	in
stark	stark	stark
contrast	contrast	contrast
with	with	with
a	a	a
recent	recent	recent
emotionally	emot	emotionally
driven	driven	driven
op	op	op
-ed	-ed	-ed
Comey	comey	Comey
wrote	wrote	wrote
for	for	for
Lawfare	lawfar	Lawfare
entitled	entitl	entitled
We	we	We
Could	could	Could
Not	not	Not
Look	look	Look
the	the	the
Survivors	survivor	Survivors
in	in	in
the	the	the
Eye	eye	Eye
if	if	if
We	we	We
Did	did	Did
Not	not	Not
Follow	follow	Follow
this	this	this
Lead	lead	Lead
.	.	.
Here	here	Here
s	s	s
a	a	a
passage	passag	passage
from	from	from
that	that	that
piece	piec	piece
,	,	,
that	that	that
clearly	clear	clearly
displays	display	display
the	the	the
conflicting	conflict	conflicting
message	messag	message
of	of	of
the	the	the
FBI	fbi	FBI
director	director	director
We	we	We
simply	simpli	simply
want	want	want
the	the	the
chance	chanc	chance
,	,	,
with	with	with
a	a	a
search	search	search
warrant	warrant	warrant
,	,	,
to	to	to
try	tri	try
to	to	to
guess	guess	guess
the	the	the
terrorist	terrorist	terrorist
s	s	s
passcode	passcod	passcode
without	without	without
the	the	the
phone	phone	phone
essentially	essenti	essentially
self	self	self
-destructing	-destruct	-destructing
and	and	and
without	without	without
it	it	it
taking	take	taking
a	a	a
decade	decad	decade
to	to	to
guess	guess	guess
correctly	correct	correctly
.	.	.
That	that	That
s	s	s
it	it	it
.	.	.
We	we	We
don	don	don
t	t	t
want	want	want
to	to	to
break	break	break
anyone	anyon	anyone
s	s	s
encryption	encrypt	encryption
or	or	or
set	set	set
a	a	a
master	master	master
key	key	key
loose	loos	loose
on	on	on
the	the	the
land	land	land
.	.	.
The	the	The
Guardian	guardian	Guardian
refers	refer	refers
to	to	to
this	this	this
as	as	a
a	a	a
two	two	two
-pronged	-prong	-pronged
approach	approach	approach
on	on	on
the	the	the
public	public	public
s	s	s
senses	sens	sens
as	as	a
one	one	one
tone	tone	tone
from	from	from
the	the	the
FBI	fbi	FBI
comes	come	come
across	across	across
as	as	a
caring	care	caring
and	and	and
the	the	the
other	other	other
seems	seem	seems
more	more	more
focused	focus	focused
on	on	on
the	the	the
greater	greater	greater
,	,	,
nationalistic	nationalist	nationalistic
implications	implic	implication
of	of	of
encryption	encrypt	encryption
.	.	.
Think	think	Think
good	good	good
cop	cop	cop
bad	bad	bad
cop	cop	cop
hovering	hover	hovering
over	over	over
you	you	you
in	in	in
an	an	an
interrogation	interrog	interrogation
room	room	room
and	and	and
you	you	you
d	d	d
be	be	be
getting	get	getting
very	veri	very
warm	warm	warm
.	.	.
This	this	This
is	is	is
the	the	the
kind	kind	kind
of	of	of
psychological	psycholog	psychological
drama	drama	drama
that	that	that
has	has	ha
prompted	prompt	prompted
some	some	some
in	in	in
media	media	medium
to	to	to
think	think	think
that	that	that
the	the	the
law	law	law
enforcement	enforc	enforcement
agency	agenc	agency
has	has	ha
been	been	been
exploiting	exploit	exploiting
the	the	the
public	public	public
in	in	in
the	the	the
wake	wake	wake
of	of	of
tragedy	tragedi	tragedy
,	,	,
in	in	in
order	order	order
to	to	to
increase	increas	increase
security	secur	security
measures	measur	measure
.	.	.
This	this	This
is	is	is
absolutely	absolut	absolutely
something	someth	something
to	to	to
watch	watch	watch
.	.	.
So	so	So
,	,	,
what	what	what
are	are	are
we	we	we
to	to	to
make	make	make
of	of	of
the	the	the
FBI	fbi	FBI
s	s	s
claims	claim	claim
of	of	of
going	go	going
dark	dark	dark
in	in	in
the	the	the
digital	digit	digital
age	age	age
?	?	?
It	it	It
has	has	ha
long	long	long
since	sinc	since
been	been	been
claimed	claim	claimed
that	that	that
intelligence	intellig	intelligence
agencies	agenc	agency
fear	fear	fear
going	go	going
dark	dark	dark
in	in	in
the	the	the
age	age	age
of	of	of
high	high	high
-tech	-tech	-tech
gadgetry	gadgetri	gadgetry
.	.	.
This	this	This
idea	idea	idea
is	is	is
vastly	vast	vastly
overblown	overblown	overblown
and	and	and
not	not	not
rooted	root	rooted
in	in	in
reality	realiti	reality
,	,	,
especially	especi	especially
when	when	when
you	you	you
consider	consid	consider
the	the	the
many	mani	many
revelations	revel	revelation
concerning	concern	concerning
NSA	nsa	NSA
spying	spi	spying
,	,	,
collection	collect	collection
of	of	of
bulk	bulk	bulk
metadata	metadata	metadata
and	and	and
other	other	other
tracking	track	tracking
programs	program	program
such	such	such
as	as	a
the	the	the
IMSI	imsi	IMSI
catcher	catcher	catcher
,	,	,
otherwise	otherwis	otherwise
known	known	known
as	as	a
Stingray	stingray	Stingray
Stingray	stingray	Stingray
acts	act	act
as	as	a
cell	cell	cell
tower	tower	tower
locking	lock	locking
onto	onto	onto
all	all	all
devices	devic	device
in	in	in
a	a	a
certain	certain	certain
area	area	area
intercepts	intercept	intercept
phone	phone	phone
calls	call	call
,	,	,
texts	text	text
,	,	,
as	as	a
well	well	well
as	as	a
your	your	your
location	locat	location
.	.	.
The	the	The
very	veri	very
notion	notion	notion
that	that	that
law	law	law
enforcement	enforc	enforcement
will	will	will
somehow	somehow	somehow
be	be	be
condemned	condemn	condemned
eternally	etern	eternally
to	to	to
outdated	outdat	outdated
methods	method	method
to	to	to
catch	catch	catch
criminals	crimin	criminal
in	in	in
the	the	the
future	futur	future
is	is	is
patently	patent	patently
absurd	absurd	absurd
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
the	the	the
concept	concept	concept
and	and	and
presentation	present	presentation
of	of	of
the	the	the
FBI	fbi	FBI
s	s	s
going	go	going
dark	dark	dark
scenario	scenario	scenario
is	is	is
nothing	noth	nothing
more	more	more
than	than	than
a	a	a
talking	talk	talking
point	point	point
used	use	used
to	to	to
increase	increas	increase
a	a	a
police	polic	police
state	state	state
apparatus	apparatus	apparatus
within	within	within
the	the	the
United	unit	United
States	state	States
.	.	.
Don	don	Don
t	t	t
PanicOn	panicon	PanicOn
February	februari	February
1st	1st	1st
,	,	,
a	a	a
group	group	group
of	of	of
experts	expert	expert
published	publish	published
report	report	report
regarding	regard	regarding
the	the	the
current	current	current
status	status	status
of	of	of
law	law	law
enforcement	enforc	enforcement
and	and	and
their	their	their
ability	abil	ability
to	to	to
keep	keep	keep
up	up	up
with	with	with
the	the	the
demands	demand	demand
of	of	of
crime	crime	crime
solving	solv	solving
in	in	in
the	the	the
world	world	world
today	today	today
.	.	.
The	the	The
lengthy	lengthi	lengthy
report	report	report
entitled	entitl	entitled
Don	don	Don
t	t	t
Panic	panic	Panic
was	was	wa
compiled	compil	compiled
by	by	by
The	the	The
Berkman	berkman	Berkman
Center	center	Center
for	for	for
Internet	internet	Internet
Society	societi	Society
at	at	at
Harvard	harvard	Harvard
University	univers	University
.	.	.
Here	here	Here
s	s	s
a	a	a
passage	passag	passage
below	below	below
examining	examin	examining
the	the	the
FBI	fbi	FBI
s	s	s
catchy	catchi	catchy
mantra	mantra	mantra
,	,	,
Going	go	Going
Dark	dark	Dark
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
and	and	and
law	law	law
enforcement	enforc	enforcement
communities	communiti	community
view	view	view
this	this	this
trend	trend	trend
with	with	with
varying	vari	varying
degrees	degre	degree
of	of	of
alarm	alarm	alarm
,	,	,
alleging	alleg	alleging
that	that	that
their	their	their
interception	intercept	interception
capabilities	capabl	capability
are	are	are
