Voodoo	voodoo	Voodoo
Oregonian	oregonian	Oregonian
his	his	his
reasons	reason	reason
for	for	for
breaking	break	breaking
his	his	his
own	own	own
rules	rule	rule
regarding	regard	regarding
politics	polit	politics
,	,	,
saying	say	saying
but	but	but
this	this	this
whole	whole	whole
thing	thing	thing
seemed	seem	seemed
like	like	like
such	such	such
a	a	a
big	big	big
deal	deal	deal
with	with	with
them	them	them
taking	take	taking
public	public	public
property	properti	property
,	,	,
armed	arm	armed
to	to	to
the	the	the
teeth	teeth	teeth
,	,	,
making	make	making
a	a	a
stand	stand	stand
that	that	that
they	they	they
thought	thought	thought
everyone	everyon	everyone
would	would	would
join	join	join
.	.	.
It	it	It
was	was	wa
a	a	a
debacle	debacl	debacle
that	that	that
was	was	wa
on	on	on
everyone	everyon	everyone
s	s	s
mind	mind	mind
,	,	,
left	left	left
or	or	or
right	right	right
.	.	.
Once	onc	Once
he	he	he
heard	heard	heard
Bundy	bundi	Bundy
had	had	had
been	been	been
arrested	arrest	arrested
,	,	,
he	he	he
told	told	told
his	his	his
donut	donut	donut
artist	artist	artist
I	i	I
want	want	want
a	a	a
face	face	face
behind	behind	behind
bars	bar	bar
and	and	and
the	the	the
words	word	word
Welcome	welcom	Welcome
to	to	to
Portland	portland	Portland
.	.	.
'	'	'
Welcome	welcom	Welcome
to	to	to
Portland	portland	Portland
indeed	inde	indeed
.	.	.
We	we	We
re	re	re
sure	sure	sure
Ammon	ammon	Ammon
Bundy	bundi	Bundy
won	won	won
t	t	t
be	be	be
getting	get	getting
any	ani	any
of	of	of
Pogson	pogson	Pogson
s	s	s
delicious	delici	delicious
doughnuts	doughnut	doughnut
where	where	where
he	he	he
s	s	s
going	go	going
.	.	.
Pogson	pogson	Pogson
also	also	also
said	said	said
that	that	that
he	he	he
wanted	want	wanted
to	to	to
make	make	make
it	it	it
clear	clear	clear
that	that	that
he	he	he
was	was	wa
not	not	not
mocking	mock	mocking
LaVoy	lavoy	LaVoy
Finicum	finicum	Finicum
,	,	,
the	the	the
vocal	vocal	vocal
occupier	occupi	occupier
at	at	at
the	the	the
refuge	refug	refuge
who	who	who
perished	perish	perished
in	in	in
a	a	a
shootout	shootout	shootout
with	with	with
police	polic	police
.	.	.
Pogson	pogson	Pogson
said	said	said
of	of	of
Finicum	finicum	Finicum
The	the	The
death	death	death
was	was	wa
senseless	senseless	senseless
.	.	.
I	i	I
didn	didn	didn
t	t	t
want	want	want
it	it	it
to	to	to
come	come	come
off	off	off
like	like	like
I	i	I
was	was	wa
ridiculing	ridicul	ridiculing
Finicum	finicum	Finicum
.	.	.
He	he	He
died	die	died
for	for	for
what	what	what
he	he	he
believed	believ	believed
in	in	in
.	.	.
I	i	I
don	don	don
t	t	t
believe	believ	believe
in	in	in
it	it	it
.	.	.
But	but	But
I	i	I
wanted	want	wanted
to	to	to
send	send	send
this	this	this
message	messag	message
.	.	.
Bundy	bundi	Bundy
is	is	is
no	no	no
longer	longer	longer
among	among	among
his	his	his
people	peopl	people
.	.	.
Now	now	Now
he	he	he
s	s	s
on	on	on
the	the	the
left	left	left
coast	coast	coast
.	.	.
Likely	like	Likely
,	,	,
that	that	that
s	s	s
where	where	where
Bundy	bundi	Bundy
will	will	will
stay	stay	stay
,	,	,
as	as	a
he	he	he
should	should	should
.	.	.
Enjoy	enjoy	Enjoy
your	your	your
time	time	time
in	in	in
prison	prison	prison
,	,	,
Mr	mr	Mr
.	.	.
Bundy	bundi	Bundy
.	.	.
The	the	The
rest	rest	rest
of	of	of
Oregon	oregon	Oregon
will	will	will
go	go	go
on	on	on
with	with	with
their	their	their
lives	live	life
,	,	,
and	and	and
thanks	thank	thanks
to	to	to
you	you	you
,	,	,
have	have	have
a	a	a
new	new	new
doughnut	doughnut	doughnut
to	to	to
enjoy	enjoy	enjoy
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
voodoodoughnut	voodoodoughnut	voodoodoughnut
.	.	.
com	com	com
