A	a	A
to	to	to
know	know	know
what	what	what
s	s	s
next	next	next
for	for	for
the	the	the
#NeverTrump	#nevertrump	#NeverTrump
movement	movement	movement
,	,	,
the	the	the
answer	answer	answer
is	is	is
that	that	that
we	we	we
don	don	don
t	t	t
vote	vote	vote
for	for	for
Trump	trump	Trump
.	.	.

Each	each	Each
person	person	person
will	will	will
deal	deal	deal
with	with	with
that	that	that
differently	differ	differently
some	some	some
will	will	will
vote	vote	vote
for	for	for
third	third	third
party	parti	party
or	or	or
not	not	not
vote	vote	vote
.	.	.

Some	some	Some
will	will	will
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
.	.	.

#NeverTrump	#nevertrump	#NeverTrump
means	mean	mean
different	differ	different
things	thing	thing
to	to	to
different	differ	different
people	peopl	people
except	except	except
for	for	for
one	one	one
thing	thing	thing
it	it	it
means	mean	mean
we	we	we
will	will	will
not	not	not
vote	vote	vote
for	for	for
Trump	trump	Trump
,	,	,
not	not	not
ever	ever	ever
.	.	.

And	and	And
nothing	noth	nothing
that	that	that
s	s	s
happened	happen	happened
tonight	tonight	tonight
has	has	ha
changed	chang	changed
that	that	that
.	.	.
Over	over	Over
the	the	the
course	cours	course
of	of	of
the	the	the
next	next	next
few	few	few
weeks	week	week
and	and	and
months	month	month
and	and	and
years	year	year
,	,	,
as	as	a
a	a	a
conservative	conserv	conservative
movement	movement	movement
we	we	we
will	will	will
spend	spend	spend
a	a	a
great	great	great
deal	deal	deal
of	of	of
time	time	time
in	in	in
self	self	self
reflection	reflect	reflection
,	,	,
examining	examin	examining
the	the	the
weaknesses	weak	weakness
in	in	in
our	our	our
movement	movement	movement
that	that	that
allowed	allow	allowed
a	a	a
cancer	cancer	cancer
like	like	like
Trump	trump	Trump
to	to	to
flourish	flourish	flourish
in	in	in
our	our	our
midst	midst	midst
.	.	.

We	we	We
will	will	will
have	have	have
hard	hard	hard
decisions	decis	decision
to	to	to
make	make	make
about	about	about
our	our	our
affiliation	affili	affiliation
with	with	with
the	the	the
Republican	republican	Republican
party	parti	party
,	,	,
and	and	and
what	what	what
we	we	we
will	will	will
do	do	do
with	with	with
our	our	our
votes	vote	vote
in	in	in
November	novemb	November
.	.	.
But	but	But
one	one	one
thing	thing	thing
and	and	and
one	one	one
thing	thing	thing
only	onli	only
remains	remain	remains
certain	certain	certain
Donald	donald	Donald
Trump	trump	Trump
will	will	will
never	never	never
have	have	have
our	our	our
vote	vote	vote
.	.	.

We	we	We
said	said	said
it	it	it
,	,	,
and	and	and
we	we	we
meant	meant	meant
it	it	it
.	.	.
Yikes	yike	Yikes
.	.	.

But	but	But
what	what	what
does	doe	doe
that	that	that
have	have	have
to	to	to
do	do	do
with	with	with
the	the	the
nomination	nomin	nomination
of	of	of
Merrick	merrick	Merrick
Garland	garland	Garland
?	?	?

Well	well	Well
,	,	,
RedState	redstat	RedState
is	is	is
convinced	convinc	convinced
that	that	that
there	there	there
s	s	s
no	no	no
way	way	way
on	on	on
earth	earth	earth
that	that	that
Trump	trump	Trump
could	could	could
make	make	make
it	it	it
to	to	to
the	the	the
White	white	White
House	hous	House
,	,	,
and	and	and
that	that	that
if	if	if
Hillary	hillari	Hillary
nominates	nomin	nominates
someone	someon	someone
,	,	,
she	she	she
might	might	might
nominate	nomin	nominate
a	a	a
duh	duh	duh
duh	duh	duh
duh	duh	duh
liberal	liber	liberal
.	.	.
Now	now	Now
that	that	that
Donald	donald	Donald
Trump	trump	Trump
is	is	is
the	the	the
presumptive	presumpt	presumptive
nominee	nomine	nominee
,	,	,
this	this	this
is	is	is
not	not	not
even	even	even
a	a	a
close	close	close
call	call	call
.	.	.

There	there	There
is	is	is
absolutely	absolut	absolutely
no	no	no
reason	reason	reason
to	to	to
drag	drag	drag
this	this	this
out	out	out
any	ani	any
longer	longer	longer
.	.	.

Garland	garland	Garland
is	is	is
not	not	not
a	a	a
great	great	great
choice	choic	choice
,	,	,
but	but	but
he	he	he
is	is	is
not	not	not
a	a	a
terrible	terribl	terrible
one	one	one
,	,	,
either	either	either
.	.	.

And	and	And
more	more	more
than	than	than
anything	anyth	anything
,	,	,
he	he	he
is	is	is
old	old	old
for	for	for
a	a	a
modern	modern	modern
Supreme	suprem	Supreme
Court	court	Court
appointment	appoint	appointment
and	and	and
will	will	will
be	be	be
up	up	up
for	for	for
replacement	replac	replacement
in	in	in
probably	probabl	probably
10	10	10
years	year	year
instead	instead	instead
of	of	of
20	20	20
or	or	or
30	30	30
.	.	.
Republicans	republican	Republicans
must	must	must
know	know	know
that	that	that
there	there	there
is	is	is
absolutely	absolut	absolutely
no	no	no
chance	chanc	chance
that	that	that
we	we	we
will	will	will
win	win	win
the	the	the
White	white	White
House	hous	House
in	in	in
2016	2016	2016
now	now	now
.	.	.

They	they	They
must	must	must
also	also	also
know	know	know
that	that	that
we	we	we
are	are	are
likely	like	likely
to	to	to
lose	lose	lose
the	the	the
Senate	senat	Senate
as	as	a
well	well	well
.	.	.

So	so	So
the	the	the
choices	choic	choice
,	,	,
essentially	essenti	essentially
,	,	,
are	are	are
to	to	to
confirm	confirm	confirm
Garland	garland	Garland
and	and	and
have	have	have
another	anoth	another
bite	bite	bite
at	at	at
the	the	the
apple	appl	apple
in	in	in
a	a	a
decade	decad	decade
,	,	,
or	or	or
watch	watch	watch
as	as	a
President	presid	President
Clinton	clinton	Clinton
nominates	nomin	nominates
someone	someon	someone
who	who	who
is	is	is
radically	radic	radically
more	more	more
leftist	leftist	leftist
and	and	and
10	10	10
-15	-15	-15
years	year	year
younger	younger	younger
,	,	,
and	and	and
we	we	we
are	are	are
in	in	in
no	no	no
position	posit	position
to	to	to
stop	stop	stop
it	it	it
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
no	no	no
matter	matter	matter
how	how	how
many	mani	many
Senators	senat	Senators
agree	agre	agree
with	with	with
RedState	redstat	RedState
,	,	,
there	there	there
s	s	s
little	littl	little
chance	chanc	chance
that	that	that
Garland	garland	Garland
will	will	will
see	see	see
a	a	a
confirmation	confirm	confirmation
hearing	hear	hearing
.	.	.

Only	onli	Only
one	one	one
man	man	man
stands	stand	stand
between	between	between
him	him	him
and	and	and
the	the	the
hearing	hear	hearing
,	,	,
and	and	and
that	that	that
man	man	man
has	has	ha
vowed	vow	vowed
to	to	to
never	never	never
,	,	,
under	under	under
any	ani	any
circumstances	circumst	circumstance
,	,	,
negotiate	negoti	negotiate
with	with	with
terrorists	terrorist	terrorist
President	presid	President
Obama	obama	Obama
.	.	.

Even	even	Even
as	as	a
of	of	of
Wednesday	wednesday	Wednesday
,	,	,
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
is	is	is
standing	stand	standing
resolute	resolut	resolute
to	to	to
obstruct	obstruct	obstruct
.	.	.
To	to	To
be	be	be
fair	fair	fair
,	,	,
RedState	redstat	RedState
s	s	s
article	articl	article
wasn	wasn	wasn
t	t	t
an	an	an
editorial	editori	editorial
stance	stanc	stance
.	.	.

Erickson	erickson	Erickson
himself	himself	himself
hates	hate	hate
Trump	trump	Trump
,	,	,
probably	probabl	probably
as	as	a
much	much	much
as	as	a
you	you	you
or	or	or
I	i	I
,	,	,
but	but	but
he	he	he
s	s	s
not	not	not
ready	readi	ready
to	to	to
go	go	go
so	so	so
far	far	far
as	as	a
to	to	to
concede	conced	concede
anything	anyth	anything
to	to	to
the	the	the
black	black	black
man	man	man
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.

Naturally	natur	Naturally
,	,	,
he	he	he
didn	didn	didn
t	t	t
say	say	say
that	that	that
,	,	,
but	but	but
he	he	he
is	is	is
concerned	concern	concerned
that	that	that
independents	independ	independent
might	might	might
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
.	.	.

From	from	From
NBC	nbc	NBC
News	news	News
If	if	If
Republicans	republican	Republicans
confirm	confirm	confirm
Merrick	merrick	Merrick
Garland	garland	Garland
,	,	,
in	in	in
addition	addit	addition
to	to	to
further	further	further
alienating	alien	alienating
the	the	the
Republican	republican	Republican
base	base	base
,	,	,
they	they	they
risk	risk	risk
taking	take	taking
away	away	away
keep	keep	keep
arguments	argument	argument
that	that	that
can	can	can
persuade	persuad	persuade
independent	independ	independent
voters	voter	voter
to	to	to
go	go	go
with	with	with
a	a	a
Republican	republican	Republican
Senate	senat	Senate
.	.	.

Ticket	ticket	Ticket
splitting	split	splitting
is	is	is
a	a	a
rare	rare	rare
phenomenon	phenomenon	phenomenon
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
this	this	this
is	is	is
a	a	a
rare	rare	rare
election	elect	election
where	where	where
ticket	ticket	ticket
splitting	split	splitting
is	is	is
a	a	a
real	real	real
possibility	possibl	possibility
,	,	,
Erickson	erickson	Erickson
wrote	wrote	wrote
.	.	.
Yes	yes	Yes
,	,	,
ticket	ticket	ticket
splitting	split	splitting
is	is	is
a	a	a
real	real	real
possibility	possibl	possibility
,	,	,
but	but	but
2	2	2
3	3	3
of	of	of
Americans	american	Americans
want	want	want
to	to	to
see	see	see
at	at	at
least	least	least
a	a	a
hearing	hear	hearing
,	,	,
if	if	if
not	not	not
a	a	a
confirmation	confirm	confirmation
.	.	.

Perhaps	perhap	Perhaps
going	go	going
forward	forward	forward
with	with	with
a	a	a
hearing	hear	hearing
could	could	could
help	help	help
solidify	solidifi	solidify
the	the	the
fractured	fractur	fractured
party	parti	party
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Wikimedia	wikimedia	Wikimedia
.	.	.

