Jeb	jeb	Jeb
There	there	There
is	is	is
disagreement	disagr	disagreement
between	between	between
economists	economist	economist
on	on	on
what	what	what
effect	effect	effect
raising	rais	raising
the	the	the
minimum	minimum	minimum
wage	wage	wage
might	might	might
have	have	have
on	on	on
job	job	job
creation	creation	creation
,	,	,
yet	yet	yet
almost	almost	almost
every	everi	every
economist	economist	economist
agrees	agre	agrees
that	that	that
raising	rais	raising
the	the	the
minimum	minimum	minimum
wage	wage	wage
would	would	would
lift	lift	lift
many	mani	many
people	peopl	people
out	out	out
of	of	of
poverty	poverti	poverty
.	.	.

Now	now	Now
,	,	,
if	if	if
a	a	a
candidate	candid	candidate
,	,	,
Republican	republican	Republican
or	or	or
otherwise	otherwis	otherwise
,	,	,
seriously	serious	seriously
wanted	want	wanted
to	to	to
reform	reform	reform
welfare	welfar	welfare
in	in	in
a	a	a
way	way	way
that	that	that
acts	act	act
as	as	a
scheme	scheme	scheme
to	to	to
lift	lift	lift
people	peopl	people
out	out	out
of	of	of
poverty	poverti	poverty
,	,	,
they	they	they
should	should	should
be	be	be
looking	look	looking
at	at	at
what	what	what
Finland	finland	Finland
is	is	is
doing	do	doing
.	.	.
Featured	featur	Featured
Image	imag	Image
Credit	credit	Credit
USDA	usda	USDA
via	via	via
Flickr	flickr	Flickr

