Yes	yes	Yes
to	to	to
choke	choke	choke
him	him	him
because	becaus	because
how	how	how
dare	dare	dare
he	he	he
call	call	call
out	out	out
Republicans	republican	Republicans
for	for	for
being	be	being
racist	racist	racist
,	,	,
and	and	and
what	what	what
about	about	about
all	all	all
those	those	those
poor	poor	poor
white	white	white
supremacists	supremacist	supremacist
who	who	who
people	peopl	people
unfairly	unfair	unfairly
refer	refer	refer
to	to	to
as	as	a
bigots	bigot	bigot
?	?	?

No	no	No
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
make	make	make
me	me	me
uncomfortable	uncomfort	uncomfortable
,	,	,
it	it	it
just	just	just
makes	make	make
me	me	me
want	want	want
to	to	to
choke	choke	choke
you	you	you
because	becaus	because
it	it	it
s	s	s
ridiculous	ridicul	ridiculous
and	and	and
it	it	it
s	s	s
the	the	the
creation	creation	creation
of	of	of
Trump	trump	Trump
,	,	,
said	said	said
former	former	former
Reagan	reagan	Reagan
and	and	and
George	georg	George
W	w	W
.	.	.

Bush	bush	Bush
consultant	consult	consultant
Mary	mari	Mary
Matalin	matalin	Matalin
.	.	.

Because	becaus	Because
conservatives	conserv	conservative
do	do	do
not	not	not
consider	consid	consider
themselves	themselv	themselves
bigots	bigot	bigot
or	or	or
homophobes	homophob	homophobe
or	or	or
misogynists	misogynist	misogynist
,	,	,
okay	okay	okay
?	?	?

What	what	What
Cruz	cruz	Cruz
won	won	won
at	at	at
CPAC	cpac	CPAC
,	,	,
and	and	and
he	he	he
won	won	won
overwhelmingly	overwhelm	overwhelmingly
,	,	,
he	he	he
is	is	is
expanding	expand	expanding
the	the	the
electorate	elector	electorate
by	by	by
bringing	bring	bringing
like	like	like
-minded	-mind	-minded
libertarians	libertarian	libertarian
,	,	,
young	young	young
people	peopl	people
.	.	.

Trump	trump	Trump
is	is	is
expanding	expand	expanding
the	the	the
electorate	elector	electorate
by	by	by
getting	get	getting
people	peopl	people
who	who	who
are	are	are
sick	sick	sick
of	of	of
being	be	being
called	call	called
bigots	bigot	bigot
,	,	,
because	becaus	because
they	they	they
want	want	want
to	to	to
secure	secur	secure
the	the	the
border	border	border
.	.	.

This	this	This
is	is	is
not	not	not
a	a	a
race	race	race
race	race	race
,	,	,
okay	okay	okay
?	?	?

Let	let	Let
s	s	s
not	not	not
go	go	go
there	there	there
.	.	.

Let	let	Let
that	that	that
sink	sink	sink
in	in	in
for	for	for
a	a	a
second	second	second
.	.	.

Matalin	matalin	Matalin
actually	actual	actually
expects	expect	expects
us	us	u
to	to	to
believe	believ	believe
that	that	that
conservatives	conserv	conservative
are	are	are
not	not	not
the	the	the
racist	racist	racist
,	,	,
sexist	sexist	sexist
homophobes	homophob	homophobe
that	that	that
we	we	we
all	all	all
see	see	see
them	them	them
as	as	a
even	even	even
though	though	though
they	they	they
have	have	have
persecuted	persecut	persecuted
gays	gay	gay
with	with	with
anti	anti	anti
-gay	-gay	-gay
laws	law	law
and	and	and
hateful	hate	hateful
rhetoric	rhetor	rhetoric
,	,	,
persecuted	persecut	persecuted
women	women	woman
with	with	with
draconian	draconian	draconian
laws	law	law
meant	meant	meant
to	to	to
take	take	take
away	away	away
a	a	a
woman	woman	woman
s	s	s
right	right	right
to	to	to
make	make	make
decisions	decis	decision
about	about	about
their	their	their
own	own	own
reproductive	reproduct	reproductive
health	health	health
along	along	along
with	with	with
denying	deni	denying
women	women	woman
pay	pay	pay
equality	equal	equality
,	,	,
and	and	and
have	have	have
made	made	made
it	it	it
quite	quit	quite
clear	clear	clear
that	that	that
they	they	they
hate	hate	hate
black	black	black
people	peopl	people
due	due	due
to	to	to
the	the	the
way	way	way
they	they	they
have	have	have
treated	treat	treated
the	the	the
first	first	first
black	black	black
president	presid	president
over	over	over
the	the	the
last	last	last
seven	seven	seven
years	year	year
.	.	.

And	and	And
that	that	that
s	s	s
just	just	just
the	the	the
tip	tip	tip
of	of	of
the	the	the
iceberg	iceberg	iceberg
.	.	.
Henderson	henderson	Henderson
laughed	laugh	laughed
at	at	at
Matalin	matalin	Matalin
s	s	s
desire	desir	desire
to	to	to
choke	choke	choke
him	him	him
,	,	,
however	howev	however
,	,	,
it	it	it
didn	didn	didn
t	t	t
sound	sound	sound
like	like	like
she	she	she
was	was	wa
joking	joke	joking
.	.	.

But	but	But
he	he	he
responded	respond	responded
anyway	anyway	anyway
,	,	,
in	in	in
disagreement	disagr	disagreement
,	,	,
of	of	of
course	cours	course
.	.	.

I	i	I
think	think	think
it	it	it
is	is	is
.	.	.

I	i	I
mean	mean	mean
,	,	,
I	i	I
think	think	think
there	there	there
s	s	s
no	no	no
question	question	question
that	that	that
what	what	what
he	he	he
is	is	is
doing	do	doing
is	is	is
appealing	appeal	appealing
to	to	to
race	race	race
.	.	.

And	and	And
Republicans	republican	Republicans
have	have	have
done	done	done
that	that	that
for	for	for
a	a	a
long	long	long
time	time	time
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
Crooks	crook	Crooks
and	and	and
Liars	liar	Liars
.	.	.
I	i	I
m	m	m
sure	sure	sure
the	the	the
Republican	republican	Republican
Party	parti	Party
is	is	is
pleased	pleas	pleased
that	that	that
at	at	at
least	least	least
one	one	one
of	of	of
their	their	their
pawns	pawn	pawn
is	is	is
still	still	still
brainwashed	brainwash	brainwashed
enough	enough	enough
to	to	to
believe	believ	believe
that	that	that
conservatives	conserv	conservative
are	are	are
somehow	somehow	somehow
a	a	a
diverse	divers	diverse
lot	lot	lot
who	who	who
care	care	care
about	about	about
the	the	the
plight	plight	plight
of	of	of
women	women	woman
,	,	,
minorities	minor	minority
,	,	,
and	and	and
gay	gay	gay
people	peopl	people
even	even	even
though	though	though
the	the	the
GOP	gop	GOP
has	has	ha
done	done	done
nothing	noth	nothing
to	to	to
help	help	help
any	ani	any
of	of	of
these	these	these
groups	group	group
.	.	.

All	all	All
they	they	they
have	have	have
done	done	done
is	is	is
attack	attack	attack
them	them	them
in	in	in
an	an	an
effort	effort	effort
to	to	to
take	take	take
away	away	away
their	their	their
rights	right	right
,	,	,
and	and	and
if	if	if
they	they	they
had	had	had
their	their	their
way	way	way
,	,	,
Henderson	henderson	Henderson
wouldn	wouldn	wouldn
t	t	t
be	be	be
allowed	allow	allowed
to	to	to
speak	speak	speak
unless	unless	unless
a	a	a
white	white	white
person	person	person
gave	gave	gave
him	him	him
permission	permiss	permission
to	to	to
do	do	do
so	so	so
.	.	.

Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

