This	this	This
wealthy	wealthi	wealthy
pay	pay	pay
for	for	for
it	it	it
.	.	.
RUSH	rush	RUSH
laughing	laugh	laughing
We	we	We
can	can	can
afford	afford	afford
it	it	it
cause	caus	cause
we	we	we
re	re	re
gonna	gonna	gonna
make	make	make
the	the	the
wealthy	wealthi	wealthy
pay	pay	pay
.	.	.
We	we	We
are	are	are
18	18	18
trillion	trillion	trillion
in	in	in
debt	debt	debt
.	.	.
Now	now	Now
,	,	,
you	you	you
can	can	can
afford	afford	afford
anything	anyth	anything
if	if	if
you	you	you
ignore	ignor	ignore
that	that	that
,	,	,
and	and	and
if	if	if
you	you	you
don	don	don
t	t	t
think	think	think
that	that	that
s	s	s
a	a	a
problem	problem	problem
and	and	and
if	if	if
that	that	that
number	number	number
is	is	is
irrelevant	irrelev	irrelevant
,	,	,
the	the	the
money	money	money
never	never	never
has	has	ha
to	to	to
even	even	even
be	be	be
serviced	servic	serviced
or	or	or
paid	paid	paid
back	back	back
,	,	,
then	then	then
of	of	of
course	cours	course
you	you	you
can	can	can
afford	afford	afford
anything	anyth	anything
.	.	.
But	but	But
the	the	the
truth	truth	truth
is	is	is
,	,	,
we	we	we
can	can	can
t	t	t
afford	afford	afford
anything	anyth	anything
.	.	.
We	we	We
can	can	can
afford	afford	afford
maybe	mayb	maybe
,	,	,
what	what	what
,	,	,
what	what	what
s	s	s
the	the	the
number	number	number
that	that	that
we	we	we
drag	drag	drag
in	in	in
by	by	by
tax	tax	tax
revenue	revenu	revenue
every	everi	every
year	year	year
?	?	?
The	the	The
numbers	number	number
are	are	are
confusing	confus	confusing
,	,	,
but	but	but
3	3	3
trillion	trillion	trillion
whatever	whatev	whatever
we	we	we
can	can	can
afford	afford	afford
every	everi	every
year	year	year
,	,	,
but	but	but
we	we	we
so	so	so
exceed	exceed	exceed
that	that	that
.	.	.
We	we	We
have	have	have
exceeded	exceed	exceeded
it	it	it
for	for	for
so	so	so
long	long	long
.	.	.
We	we	We
re	re	re
already	alreadi	already
paying	pay	paying
for	for	for
things	thing	thing
we	we	we
can	can	can
t	t	t
afford	afford	afford
.	.	.
And	and	And
these	these	these
people	peopl	people
just	just	just
want	want	want
to	to	to
lap	lap	lap
more	more	more
and	and	and
more	more	more
on	on	on
top	top	top
of	of	of
it	it	it
.	.	.
Via	via	Via
Rush	rush	Rush
Limbaugh	limbaugh	Limbaugh
