George	georg	George
their	their	their
tax	tax	tax
returns	return	return
,	,	,
and	and	and
Stephanopoulos	stephanopoulo	Stephanopoulos
didn	didn	didn
t	t	t
let	let	let
him	him	him
get	get	get
away	away	away
it	it	it
.	.	.

Every	everi	Every
single	singl	single
nominee	nomine	nominee
since	sinc	since
1976	1976	1976
has	has	ha
released	releas	released
his	his	his
tax	tax	tax
returns	return	return
,	,	,
the	the	the
ABC	abc	ABC
host	host	host
informed	inform	informed
Trump	trump	Trump
.	.	.
Trump	trump	Trump
went	went	went
on	on	on
to	to	to
claim	claim	claim
that	that	that
his	his	his
release	releas	release
of	of	of
his	his	his
financials	financi	financials
should	should	should
be	be	be
enough	enough	enough
,	,	,
but	but	but
Stephanopoulos	stephanopoulo	Stephanopoulos
noted	note	noted
that	that	that
such	such	such
documents	document	document
fail	fail	fail
to	to	to
show	show	show
what	what	what
his	his	his
tax	tax	tax
rate	rate	rate
is	is	is
and	and	and
how	how	how
much	much	much
in	in	in
taxes	tax	tax
he	he	he
pays	pay	pay
.	.	.
That	that	That
really	realli	really
set	set	set
Trump	trump	Trump
off	off	off
as	as	a
he	he	he
began	began	began
to	to	to
complain	complain	complain
about	about	about
having	have	having
to	to	to
pay	pay	pay
taxes	tax	tax
and	and	and
he	he	he
admitted	admit	admitted
that	that	that
he	he	he
tries	tri	try
very	veri	very
hard	hard	hard
to	to	to
pay	pay	pay
as	as	a
little	littl	little
in	in	in
taxes	tax	tax
as	as	a
possible	possibl	possible
.	.	.

As	as	As
we	we	we
all	all	all
know	know	know
,	,	,
the	the	the
reason	reason	reason
why	whi	why
Bernie	berni	Bernie
Sanders	sander	Sanders
has	has	ha
been	been	been
so	so	so
popular	popular	popular
this	this	this
election	elect	election
season	season	season
is	is	is
because	becaus	because
one	one	one
of	of	of
his	his	his
goals	goal	goal
is	is	is
to	to	to
force	forc	force
the	the	the
wealthy	wealthi	wealthy
1	1	1
percent	percent	percent
to	to	to
pay	pay	pay
their	their	their
fair	fair	fair
share	share	share
of	of	of
taxes	tax	tax
.	.	.
Testiness	testi	Testiness
on	on	on
Trump	trump	Trump
s	s	s
part	part	part
dominated	domin	dominated
the	the	the
remaining	remain	remaining
part	part	part
of	of	of
the	the	the
interview	interview	interview
as	as	a
Trump	trump	Trump
repeated	repeat	repeated
that	that	that
he	he	he
would	would	would
not	not	not
release	releas	release
his	his	his
returns	return	return
until	until	until
the	the	the
audit	audit	audit
is	is	is
complete	complet	complete
and	and	and
claimed	claim	claimed
that	that	that
he	he	he
shouldn	shouldn	shouldn
t	t	t
have	have	have
to	to	to
release	releas	release
his	his	his
returns	return	return
until	until	until
Hillary	hillari	Hillary
Clinton	clinton	Clinton
releases	releas	release
nonexistent	nonexist	nonexistent
missing	miss	missing
emails	email	email
.	.	.

When	when	When
pressed	press	pressed
further	further	further
on	on	on
his	his	his
returns	return	return
,	,	,
Trump	trump	Trump
said	said	said
curtly	curt	curtly
that	that	that
it	it	it
s	s	s
none	none	none
of	of	of
your	your	your
business	busi	business
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
But	but	But
it	it	it
is	is	is
Stephanopoulos	stephanopoulo	Stephanopoulos
s	s	s
business	busi	business
because	becaus	because
he	he	he
is	is	is
a	a	a
journalist	journalist	journalist
.	.	.

It	it	It
s	s	s
also	also	also
the	the	the
American	american	American
people	peopl	people
s	s	s
business	busi	business
because	becaus	because
they	they	they
deserve	deserv	deserve
all	all	all
the	the	the
information	inform	information
before	befor	before
going	go	going
to	to	to
the	the	the
polls	poll	poll
in	in	in
November	novemb	November
.	.	.

Trump	trump	Trump
can	can	can
claim	claim	claim
all	all	all
he	he	he
wants	want	want
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
have	have	have
secret	secret	secret
overseas	oversea	overseas
accounts	account	account
or	or	or
that	that	that
he	he	he
pays	pay	pay
low	low	low
taxes	tax	tax
,	,	,
but	but	but
the	the	the
American	american	American
people	peopl	people
won	won	won
t	t	t
know	know	know
if	if	if
he	he	he
s	s	s
lying	lie	lying
or	or	or
not	not	not
until	until	until
he	he	he
releases	releas	release
the	the	the
returns	return	return
to	to	to
the	the	the
public	public	public
.	.	.

And	and	And
since	sinc	since
Trump	trump	Trump
is	is	is
playing	play	playing
this	this	this
game	game	game
of	of	of
hide	hide	hide
and	and	and
seek	seek	seek
with	with	with
his	his	his
returns	return	return
,	,	,
the	the	the
only	onli	only
conclusion	conclus	conclusion
we	we	we
can	can	can
assume	assum	assume
at	at	at
this	this	this
time	time	time
is	is	is
that	that	that
he	he	he
has	has	ha
something	someth	something
to	to	to
hide	hide	hide
and	and	and
he	he	he
is	is	is
doing	do	doing
everything	everyth	everything
he	he	he
can	can	can
to	to	to
keep	keep	keep
it	it	it
hidden	hidden	hidden
until	until	until
after	after	after
the	the	the
election	elect	election
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture

