House	hous	House
Orange	orang	Orange
Middle	middl	Middle
School	school	School
,	,	,
Malespina	malespina	Malespina
wrote	wrote	wrote
on	on	on
Facebook	facebook	Facebook
.	.	.
They	they	They
went	went	went
to	to	to
D	d	D
.	.	.
C	c	C
.	.	.
on	on	on
a	a	a
field	field	field
trip	trip	trip
and	and	and
toured	tour	toured
the	the	the
Capitol	capitol	Capitol
building	build	building
.	.	.
The	the	The
kids	kid	kid
had	had	had
a	a	a
chance	chanc	chance
to	to	to
have	have	have
their	their	their
picture	pictur	picture
taken	taken	taken
with	with	with
Paul	paul	Paul
Ryan	ryan	Ryan
and	and	and
over	over	over
half	half	half
the	the	the
class	class	class
choose	choos	choose
not	not	not
to	to	to
,	,	,
including	includ	including
my	my	my
son	son	son
!	!	!
What	what	What
a	a	a
powerful	power	powerful
statement	statement	statement
.	.	.
I	i	I
can	can	can
t	t	t
take	take	take
a	a	a
picture	pictur	picture
with	with	with
someone	someon	someone
who	who	who
supports	support	support
a	a	a
budget	budget	budget
that	that	that
would	would	would
destroy	destroy	destroy
public	public	public
education	educ	education
and	and	and
would	would	would
leave	leav	leave
23	23	23
million	million	million
people	peopl	people
without	without	without
healthcare	healthcar	healthcare
,	,	,
Matthew	matthew	Matthew
Malespina	malespina	Malespina
,	,	,
a	a	a
student	student	student
at	at	at
the	the	the
school	school	school
,	,	,
told	told	told
The	the	The
Village	villag	Village
Green	green	Green
.	.	.
It	it	It
s	s	s
not	not	not
just	just	just
a	a	a
picture	pictur	picture
,	,	,
student	student	student
Matthew	matthew	Matthew
told	told	told
ABC	abc	ABC
News	news	News
.	.	.
It	it	It
s	s	s
being	be	being
associated	associ	associated
with	with	with
a	a	a
person	person	person
who	who	who
puts	put	put
his	his	his
party	parti	party
before	befor	before
his	his	his
country	countri	country
.	.	.
I	i	I
think	think	think
that	that	that
taking	take	taking
the	the	the
picture	pictur	picture
represents	repres	represents
that	that	that
you	you	you
agree	agre	agree
with	with	with
the	the	the
same	same	same
political	polit	political
views	view	view
and	and	and
I	i	I
don	don	don
t	t	t
agree	agre	agree
with	with	with
his	his	his
political	polit	political
views	view	view
so	so	so
I	i	I
chose	chose	chose
not	not	not
to	to	to
be	be	be
in	in	in
it	it	it
,	,	,
eighth	eighth	eighth
grader	grader	grader
Wendy	wendi	Wendy
Weeks	week	Weeks
said	said	said
.	.	.
To	to	To
some	some	some
of	of	of
the	the	the
students	student	student
,	,	,
it	it	it
had	had	had
to	to	to
do	do	do
with	with	with
Ryan	ryan	Ryan
s	s	s
association	associ	association
with	with	with
Donald	donald	Donald
Trump	trump	Trump
.	.	.
I	i	I
didn	didn	didn
t	t	t
want	want	want
to	to	to
be	be	be
in	in	in
the	the	the
picture	pictur	picture
because	becaus	because
he	he	he
believes	believ	belief
in	in	in
most	most	most
of	of	of
what	what	what
Trump	trump	Trump
believes	believ	belief
in	in	in
,	,	,
Louisa	louisa	Louisa
Maynard	maynard	Maynard
-Parisi	-parisi	-Parisi
,	,	,
told	told	told
The	the	The
Village	villag	Village
Green	green	Green
.	.	.
Even	even	Even
though	though	though
their	their	their
politics	polit	politics
might	might	might
be	be	be
different	differ	different
from	from	from
Ryan	ryan	Ryan
s	s	s
,	,	,
other	other	other
students	student	student
decided	decid	decided
to	to	to
participate	particip	participate
.	.	.
I	i	I
thought	thought	thought
it	it	it
would	would	would
be	be	be
interesting	interest	interesting
to	to	to
see	see	see
one	one	one
of	of	of
the	the	the
nation	nation	nation
s	s	s
lawmakers	lawmak	lawmaker
in	in	in
person	person	person
even	even	even
if	if	if
I	i	I
strongly	strong	strongly
disagree	disagre	disagree
with	with	with
many	mani	many
of	of	of
his	his	his
views	view	view
,	,	,
said	said	said
Alex	alex	Alex
Klint	klint	Klint
,	,	,
one	one	one
of	of	of
the	the	the
8th	8th	8th
-grader	-grader	-grader
s	s	s
said	said	said
.	.	.
Residents	resid	Residents
weighed	weigh	weighed
in	in	in
with	with	with
conflicted	conflict	conflicted
feelings	feel	feeling
.	.	.
I	i	I
m	m	m
sort	sort	sort
of	of	of
torn	torn	torn
on	on	on
this	this	this
although	although	although
each	each	each
kid	kid	kid
has	has	ha
the	the	the
right	right	right
to	to	to
make	make	make
this	this	this
choice	choic	choice
,	,	,
wrote	wrote	wrote
one	one	one
SOMA	soma	SOMA
resident	resid	resident
.	.	.
Even	even	Even
though	though	though
I	i	I
totally	total	totally
disagree	disagre	disagree
with	with	with
everything	everyth	everything
he	he	he
stands	stand	stand
for	for	for
,	,	,
he	he	he
is	is	is
a	a	a
legitimately	legitim	legitimately
elected	elect	elected
official	offici	official
and	and	and
represents	repres	represents
our	our	our
government	govern	government
at	at	at
work	work	work
.	.	.
Meeting	meet	Meeting
our	our	our
representatives	repres	representative
is	is	is
an	an	an
honor	honor	honor
for	for	for
a	a	a
kid	kid	kid
at	at	at
least	least	least
for	for	for
what	what	what
the	the	the
office	offic	office
stands	stand	stand
for	for	for
even	even	even
if	if	if
the	the	the
person	person	person
occupying	occupi	occupying
that	that	that
chair	chair	chair
is	is	is
less	less	le
than	than	than
honorable	honor	honorable
.	.	.
And	and	And
I	i	I
do	do	do
feel	feel	feel
if	if	if
there	there	there
had	had	had
been	been	been
some	some	some
conservative	conserv	conservative
school	school	school
where	where	where
the	the	the
kids	kid	kid
refused	refus	refused
to	to	to
pose	pose	pose
with	with	with
President	presid	President
Obama	obama	Obama
,	,	,
we	we	we
would	would	would
have	have	have
been	been	been
appalled	appal	appalled
by	by	by
that	that	that
,	,	,
the	the	the
resident	resid	resident
added	ad	added
.	.	.
Matthew	matthew	Matthew
s	s	s
mother	mother	mother
told	told	told
the	the	the
paper	paper	paper
,	,	,
It	it	It
is	is	is
his	his	his
right	right	right
as	as	a
a	a	a
citizen	citizen	citizen
to	to	to
do	do	do
so	so	so
and	and	and
I	i	I
commend	commend	commend
him	him	him
and	and	and
his	his	his
fellow	fellow	fellow
students	student	student
for	for	for
doing	do	doing
so	so	so
in	in	in
a	a	a
respectful	respect	respectful
way	way	way
.	.	.
Listen	listen	Listen
to	to	to
the	the	the
children	children	child
they	they	they
get	get	get
it	it	it
.	.	.
Photo	photo	Photo
by	by	by
Olivier	olivi	Olivier
Douliery	doulieri	Douliery
via	via	via
Getty	getti	Getty
Images	imag	Images
.	.	.
