Republicans	republican	Republicans
parents	parent	parent
and	and	and
that	that	that
doctor	doctor	doctor
should	should	should
be	be	be
protected	protect	protected
for	for	for
doing	do	doing
so	so	so
.	.	.
That	that	That
s	s	s
messed	mess	messed
up	up	up
on	on	on
so	so	so
many	mani	many
levels	level	level
.	.	.
It	it	It
isn	isn	isn
t	t	t
pro	pro	pro
-life	-life	-life
,	,	,
it	it	it
s	s	s
pro	pro	pro
-birth	-birth	-birth
and	and	and
anti	anti	anti
-freedom	-freedom	-freedom
,	,	,
and	and	and
seems	seem	seems
pretty	pretti	pretty
damn	damn	damn
immoral	immor	immoral
.	.	.
It	it	It
s	s	s
a	a	a
bill	bill	bill
to	to	to
prevent	prevent	prevent
abortion	abort	abortion
by	by	by
holding	hold	holding
back	back	back
information	inform	information
.	.	.
The	the	The
fact	fact	fact
that	that	that
it	it	it
s	s	s
already	alreadi	already
passed	pass	passed
the	the	the
Senate	senat	Senate
Committee	committe	Committee
8	8	8
-0	-0	-0
is	is	is
even	even	even
more	more	more
mortifying	mortifi	mortifying
.	.	.
According	accord	According
to	to	to
the	the	the
Dallas	dalla	Dallas
Voice	voic	Voice
Blake	blake	Blake
Rocap	rocap	Rocap
,	,	,
legislative	legisl	legislative
director	director	director
for	for	for
NARAL	naral	NARAL
Pro	pro	Pro
-Choice	-choic	-Choice
Texas	texa	Texas
,	,	,
said	said	said
,	,	,
We	we	We
shouldn	shouldn	shouldn
t	t	t
have	have	have
to	to	to
stand	stand	stand
up	up	up
and	and	and
say	say	say
that	that	that
it	it	it
shouldn	shouldn	shouldn
t	t	t
be	be	be
policy	polici	policy
for	for	for
the	the	the
state	state	state
of	of	of
Texas	texa	Texas
to	to	to
excuse	excus	excuse
doctors	doctor	doctor
from	from	from
lying	lie	lying
to	to	to
their	their	their
patients	patient	patient
,	,	,
and	and	and
that	that	that
is	is	is
what	what	what
this	this	this
bill	bill	bill
does	doe	doe
.	.	.
One	one	One
would	would	would
think	think	think
that	that	that
should	should	should
be	be	be
obvious	obvious	obvious
,	,	,
but	but	but
Republicans	republican	Republicans
are	are	are
getting	get	getting
more	more	more
outrageous	outrag	outrageous
and	and	and
bold	bold	bold
in	in	in
their	their	their
hatred	hatr	hatred
of	of	of
women	women	woman
by	by	by
the	the	the
day	day	day
.	.	.
Shame	shame	Shame
on	on	on
them	them	them
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
