After	after	After
to	to	to
FBI	fbi	FBI
Deputy	deputi	Deputy
Director	director	Director
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
s	s	s
involvement	involv	involvement
with	with	with
his	his	his
wife	wife	wife
s	s	s
political	polit	political
campaign	campaign	campaign
.	.	.

The	the	The
documents	document	document
include	includ	include
an	an	an
email	email	email
showing	show	showing
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
was	was	wa
recruited	recruit	recruited
for	for	for
a	a	a
Virginia	virginia	Virginia
state	state	state
senate	senat	senate
race	race	race
in	in	in
February	februari	February
2015	2015	2015
by	by	by
then	then	then
-Virginia	-virginia	-Virginia
Lieutenant	lieuten	Lieutenant
Governor	governor	Governor
Ralph	ralph	Ralph
Northam	northam	Northam
s	s	s
office	offic	office
.	.	.
The	the	The
news	news	news
that	that	that
Clinton	clinton	Clinton
used	use	used
a	a	a
private	privat	private
email	email	email
server	server	server
broke	broke	broke
five	five	five
days	day	day
later	later	later
,	,	,
on	on	on
March	march	March
2	2	2
,	,	,
2015	2015	2015
.	.	.

Five	five	Five
days	day	day
after	after	after
that	that	that
,	,	,
former	former	former
Clinton	clinton	Clinton
Foundation	foundat	Foundation
board	board	board
member	member	member
and	and	and
Democrat	democrat	Democrat
party	parti	party
fundraiser	fundrais	fundraiser
,	,	,
Virginia	virginia	Virginia
Governor	governor	Governor
Terry	terri	Terry
McAuliffe	mcauliff	McAuliffe
,	,	,
met	met	met
with	with	with
the	the	the
McCabes	mccabe	McCabes
.	.	.

She	she	She
announced	announc	announced
her	her	her
candidacy	candidaci	candidacy
on	on	on
March	march	March
12	12	12
.	.	.

Soon	soon	Soon
afterward	afterward	afterward
,	,	,
Clinton	clinton	Clinton
McAuliffe	mcauliff	McAuliffe
-aligned	-align	-aligned
political	polit	political
groups	group	group
donated	donat	donated
nearly	near	nearly
700	700	700
,	,	,
000	000	000
40	40	40
of	of	of
the	the	the
campaign	campaign	campaign
s	s	s
total	total	total
funds	fund	fund
to	to	to
McCabe	mccabe	McCabe
s	s	s
wife	wife	wife
for	for	for
her	her	her
campaign	campaign	campaign
.	.	.
Judicial	judici	Judicial
Watch	watch	Watch
obtained	obtain	obtained
the	the	the
documents	document	document
through	through	through
a	a	a
July	juli	July
24	24	24
,	,	,
2017	2017	2017
,	,	,
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
FOIA	foia	FOIA
lawsuit	lawsuit	lawsuit
filed	file	filed
after	after	after
the	the	the
Justice	justic	Justice
Department	depart	Department
failed	fail	failed
to	to	to
respond	respond	respond
to	to	to
an	an	an
October	octob	October
24	24	24
,	,	,
2016	2016	2016
,	,	,
FOIA	foia	FOIA
request	request	request
Judicial	judici	Judicial
Watch	watch	Watch
v	v	v
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Justice	justic	Justice
No	no	No
.	.	.
1	1	1
17	17	17
-cv-01494	-cv-01494	-cv-01494
.	.	.

Judicial	judici	Judicial
Watch	watch	Watch
seeks	seek	seek
All	all	All
records	record	record
of	of	of
communication	communic	communication
between	between	between
FBI	fbi	FBI
Deputy	deputi	Deputy
Director	director	Director
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
and	and	and
other	other	other
FBI	fbi	FBI
or	or	or
Department	depart	Department
of	of	of
Justice	justic	Justice
officials	offici	official
regarding	regard	regarding
ethical	ethic	ethical
issues	issu	issue
concerning	concern	concerning
the	the	the
involvement	involv	involvement
of	of	of
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
and	and	and
or	or	or
his	his	his
wife	wife	wife
,	,	,
Dr	dr	Dr
.	.	.
Jill	jill	Jill
McCabe	mccabe	McCabe
,	,	,
in	in	in
political	polit	political
campaigns	campaign	campaign
;	;	;
All	all	All
records	record	record
related	relat	related
to	to	to
ethical	ethic	ethical
guidance	guidanc	guidance
concerning	concern	concerning
political	polit	political
activities	activ	activity
provided	provid	provided
to	to	to
Deputy	deputi	Deputy
Director	director	Director
McCabe	mccabe	McCabe
by	by	by
FBI	fbi	FBI
and	and	and
or	or	or
DOJ	doj	DOJ
officials	offici	official
or	or	or
elements	element	element
.	.	.
Judicial	judici	Judicial
Watch	watch	Watch
president	presid	president
Tom	tom	Tom
Fitton	fitton	Fitton
tweeted	tweet	tweeted
about	about	about
McCabe	mccabe	McCabe
using	use	using
his	his	his
FBI	fbi	FBI
email	email	email
account	account	account
to	to	to
promote	promot	promote
his	his	his
wife	wife	wife
s	s	s
campaign	campaign	campaign
that	that	that
was	was	wa
funded	fund	funded
with	with	with
Clinton	clinton	Clinton
crony	croni	crony
cash	cash	cash
.	.	.

Fitton	fitton	Fitton
then	then	then
suggested	suggest	suggested
that	that	that
McCabe	mccabe	McCabe
is	is	is
retiring	retir	retiring
after	after	after
he	he	he
was	was	wa
also	also	also
implicated	implic	implicated
in	in	in
the	the	the
FBI	fbi	FBI
anti	anti	anti
-Trump	-trump	-Trump
texts	text	text
,	,	,
saying	say	saying
No	no	No
wonder	wonder	wonder
he	he	he
s	s	s
retiring	retir	retiring
.	.	.
.	.	.
@JudicialWatch	@judicialwatch	@JudicialWatch
uncovered	uncov	uncovered
docs	doc	doc
suggesting	suggest	suggesting
FBI	fbi	FBI
#2	#2	#2
Andrew	andrew	Andrew
McCabe	mccabe	McCabe
used	use	used
his	his	his
FBI	fbi	FBI
email	email	email
account	account	account
to	to	to
promote	promot	promote
his	his	his
wife's	wife	wife's
campaign	campaign	campaign
funded	fund	funded
with	with	with
Clinton	clinton	Clinton
crony	croni	crony
cash	cash	cash
.	.	.

He	he	He
was	was	wa
also	also	also
implicated	implic	implicated
in	in	in
the	the	the
FBI	fbi	FBI
anti	anti	anti
-	-	-
@RealDonaldTrump	@realdonaldtrump	@RealDonaldTrump
texts	text	text
.	.	.

No	no	No
wonder	wonder	wonder
he's	he	he's
retiring	retir	retiring
.	.	.
https://t.co/BCEaX1mFQ8	https://t.co/bceax1mfq8	https://t.co/BCEaX1mFQ8
Tom	tom	Tom
Fitton	fitton	Fitton
@TomFitton	@tomfitton	@TomFitton
December	decemb	December
23	23	23
,	,	,
2017An	2017an	2017An
October	octob	October
23	23	23
,	,	,
2016	2016	2016
,	,	,
email	email	email
shows	show	show
McCabe	mccabe	McCabe
running	run	running
the	the	the
response	respons	response
effort	effort	effort
to	to	to
a	a	a
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
article	articl	article
that	that	that
was	was	wa
published	publish	published
that	that	that
day	day	day
,	,	,
titled	titl	titled
Clinton	clinton	Clinton
Ally	alli	Ally
Aided	aid	Aided
Campaign	campaign	Campaign
of	of	of
FBI	fbi	FBI
Official	offici	Official
s	s	s
Wife	wife	Wife
.	.	.

McCabe	mccabe	McCabe
provides	provid	provides
Michael	michael	Michael
Kortan	kortan	Kortan
,	,	,
the	the	the
assistant	assist	assistant
director	director	director
of	of	of
Public	public	Public
Affairs	affair	Affairs
,	,	,
his	his	his
version	version	version
of	of	of
a	a	a
timeline	timelin	timeline
of	of	of
events	event	event
surrounding	surround	surrounding
the	the	the
Clinton	clinton	Clinton
investigation	investig	investigation
and	and	and
his	his	his
wife	wife	wife
s	s	s
campaign	campaign	campaign
.	.	.

McCabe	mccabe	McCabe
said	said	said
he	he	he
contacted	contact	contacted
then	then	then
-FBI	-fbi	-FBI
Chief	chief	Chief
of	of	of
Staff	staff	Staff
Chuck	chuck	Chuck
Roseburg	roseburg	Roseburg
about	about	about
Jill	jill	Jill
McCabe	mccabe	McCabe
s	s	s
candidacy	candidaci	candidacy
and	and	and
was	was	wa
told	told	told
that	that	that
the	the	the
D	d	D
Comey	comey	Comey
has	has	ha
no	no	no
issue	issu	issue
with	with	with
it	it	it
.	.	.

Judicial	judici	Judicial
Watch	watch	Watch
earlier	earlier	earlier
this	this	this
month	month	month
released	releas	released
documents	document	document
showing	show	showing
that	that	that
McCabe	mccabe	McCabe
finally	final	finally
did	did	did
recuse	recus	recuse
himself	himself	himself
from	from	from
the	the	the
Clinton	clinton	Clinton
investigation	investig	investigation
only	onli	only
a	a	a
week	week	week
before	befor	before
last	last	last
year	year	year
s	s	s
presidential	presidenti	presidential
election	elect	election
.	.	.
Internally	intern	Internally
,	,	,
the	the	the
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
article	articl	article
started	start	started
a	a	a
flurry	flurri	flurry
of	of	of
emails	email	email
among	among	among
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
s	s	s
campaign	campaign	campaign
,	,	,
Kortan	kortan	Kortan
,	,	,
Director	director	Director
McCabe	mccabe	McCabe
,	,	,
and	and	and
the	the	the
FBI	fbi	FBI
s	s	s
General	general	General
Counsel	counsel	Counsel
.	.	.

Part	part	Part
of	of	of
that	that	that
exchange	exchang	exchange
is	is	is
an	an	an
email	email	email
from	from	from
McCabe	mccabe	McCabe
to	to	to
someone	someon	someone
in	in	in
the	the	the
General	general	General
Counsel	counsel	Counsel
s	s	s
Office	offic	Office
Sucks	suck	Sucks
pretty	pretti	pretty
much	much	much
.	.	.

Buckle	buckl	Buckle
in	in	in
.	.	.

It	it	It
s	s	s
going	go	going
to	to	to
get	get	get
rough	rough	rough
.	.	.

The	the	The
colleague	colleagu	colleague
responds	respond	responds
,	,	,
I	i	I
know	know	know
.	.	.

It	it	It
s	s	s
awful	aw	awful
.	.	.

I	i	I
shouldn	shouldn	shouldn
t	t	t
be	be	be
shocked	shock	shocked
by	by	by
now	now	now
,	,	,
but	but	but
I	i	I
really	realli	really
am	am	am
appalled	appal	appalled
.	.	.

McCabe	mccabe	McCabe
also	also	also
forwarded	forward	forwarded
the	the	the
article	articl	article
to	to	to
Comey	comey	Comey
who	who	who
responded	respond	responded
,	,	,
Copy	copi	Copy
.	.	.

On	on	On
October	octob	October
24	24	24
,	,	,
2016	2016	2016
,	,	,
a	a	a
memo	memo	memo
was	was	wa
sent	sent	sent
to	to	to
all	all	all
Special	special	Special
Agents	agent	Agents
in	in	in
Charge	charg	Charge
,	,	,
Assistant	assist	Assistant
Directors	director	Directors
,	,	,
Executive	execut	Executive
Directors	director	Directors
and	and	and
the	the	the
General	general	General
Counsel	counsel	Counsel
s	s	s
Office	offic	Office
regarding	regard	regarding
the	the	the
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
article	articl	article
discussing	discuss	discussing
campaign	campaign	campaign
activities	activ	activity
concerning	concern	concerning
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
.	.	.

Kortan	kortan	Kortan
suggested	suggest	suggested
that	that	that
questions	question	question
could	could	could
be	be	be
referred	refer	referred
to	to	to
his	his	his
office	offic	office
and	and	and
he	he	he
attached	attach	attached
an	an	an
Overview	overview	Overview
of	of	of
Deputy	deputi	Deputy
Director	director	Director
McCabe	mccabe	McCabe
s	s	s
Recusal	recus	Recusal
Related	relat	Related
To	to	To
Dr	dr	Dr
.	.	.
McCabe	mccabe	McCabe
s	s	s
Campaign	campaign	Campaign
for	for	for
Political	polit	Political
Office	offic	Office
.	.	.

The	the	The
Overview	overview	Overview
itself	itself	itself
was	was	wa
previously	previous	previously
reported	report	reported
by	by	by
Judicial	judici	Judicial
Watch	watch	Watch
.	.	.
The	the	The
documents	document	document
also	also	also
show	show	show
repeated	repeat	repeated
use	use	use
of	of	of
the	the	the
official	offici	official
FBI	fbi	FBI
email	email	email
system	system	system
in	in	in
connection	connect	connection
with	with	with
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
s	s	s
political	polit	political
campaign	campaign	campaign
.	.	.

For	for	For
example	exampl	example
On	on	On
March	march	March
13	13	13
,	,	,
2015	2015	2015
,	,	,
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
emails	email	email
to	to	to
her	her	her
husband	husband	husband
s	s	s
official	offici	official
FBI	fbi	FBI
email	email	email
account	account	account
a	a	a
draft	draft	draft
press	press	press
release	releas	release
announcing	announc	announcing
her	her	her
run	run	run
for	for	for
state	state	state
Senate	senat	Senate
.	.	.
In	in	In
August	august	August
2015	2015	2015
,	,	,
McCabe	mccabe	McCabe
uses	use	us
his	his	his
official	offici	official
FBI	fbi	FBI
email	email	email
account	account	account
to	to	to
advise	advis	advise
a	a	a
redacted	redact	redacted
recipient	recipi	recipient
to	to	to
visit	visit	visit
his	his	his
wife	wife	wife
s	s	s
campaign	campaign	campaign
website	websit	website
Jill	jill	Jill
has	has	ha
been	been	been
busy	busi	busy
as	as	a
hell	hell	hell
since	sinc	since
she	she	she
decided	decid	decided
to	to	to
run	run	run
for	for	for
VA	va	VA
state	state	state
senate	senat	senate
long	long	long
story	stori	story
.	.	.

Check	check	Check
her	her	her
out	out	out
on	on	on
Facebook	facebook	Facebook
as	as	a
Dr	dr	Dr
.	.	.
Jill	jill	Jill
McCabe	mccabe	McCabe
for	for	for
Senate	senat	Senate
.	.	.

On	on	On
November	novemb	November
2	2	2
,	,	,
2015	2015	2015
,	,	,
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
forwards	forward	forward
an	an	an
email	email	email
to	to	to
her	her	her
husband	husband	husband
then	then	then
the	the	the
Assistant	assist	Assistant
Director	director	Director
in	in	in
Charge	charg	Charge
of	of	of
the	the	the
FBI	fbi	FBI
s	s	s
Washington	washington	Washington
Office	offic	Office
that	that	that
accuses	accus	accuses
her	her	her
opponent	oppon	opponent
of	of	of
extorting	extort	extorting
local	local	local
businessmen	businessmen	businessmen
.	.	.

The	the	The
email	email	email
was	was	wa
sent	sent	sent
to	to	to
her	her	her
husband	husband	husband
s	s	s
official	offici	official
FBI	fbi	FBI
account	account	account
.	.	.
The	the	The
documents	document	document
include	includ	include
an	an	an
October	octob	October
2016	2016	2016
letter	letter	letter
from	from	from
House	hous	House
Government	govern	Government
Oversight	oversight	Oversight
Committee	committe	Committee
Chairman	chairman	Chairman
Jason	jason	Jason
Chaffetz	chaffetz	Chaffetz
to	to	to
McCabe	mccabe	McCabe
questioning	question	questioning
a	a	a
possible	possibl	possible
conflict	conflict	conflict
of	of	of
interest	interest	interest
by	by	by
noting	note	noting
that	that	that
Clinton	clinton	Clinton
headlined	headlin	headlined
a	a	a
Virginia	virginia	Virginia
fundraiser	fundrais	fundraiser
on	on	on
June	june	June
26	26	26
,	,	,
2015	2015	2015
,	,	,
for	for	for
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
.	.	.

A	a	A
significant	signific	significant
amount	amount	amount
was	was	wa
donated	donat	donated
after	after	after
the	the	the
FBI	fbi	FBI
had	had	had
initiated	initi	initiated
its	it	it
investigation	investig	investigation
and	and	and
begun	begun	begun
meeting	meet	meeting
with	with	with
Secretary	secretari	Secretary
Clinton	clinton	Clinton
s	s	s
attorneys	attorney	attorney
in	in	in
August	august	August
2015	2015	2015
.	.	.

The	the	The
documents	document	document
also	also	also
show	show	show
that	that	that
FBI	fbi	FBI
leadership	leadership	leadership
was	was	wa
sensitive	sensit	sensitive
to	to	to
reports	report	report
of	of	of
FBI	fbi	FBI
internal	intern	internal
dissent	dissent	dissent
with	with	with
then	then	then
-Director	-director	-Director
Comey	comey	Comey
s	s	s
handling	handl	handling
of	of	of
the	the	the
Clinton	clinton	Clinton
investigation	investig	investigation
.	.	.

On	on	On
October	octob	October
24	24	24
,	,	,
2016	2016	2016
,	,	,
Mrs	mrs	Mrs
.	.	.

McCabe	mccabe	McCabe
forwarded	forward	forwarded
to	to	to
Director	director	Director
McCabe	mccabe	McCabe
a	a	a
True	true	True
Pundit	pundit	Pundit
article	articl	article
titled	titl	titled
,	,	,
FBI	fbi	FBI
Director	director	Director
Lobbied	lobbi	Lobbied
Against	against	Against
Criminal	crimin	Criminal
Charges	charg	Charges
For	for	For
Hillary	hillari	Hillary
After	after	After
Clinton	clinton	Clinton
Insider	insid	Insider
Paid	paid	Paid
His	his	His
Wife	wife	Wife
700	700	700
,	,	,
00	00	00
.	.	.

The	the	The
story	stori	story
reported	report	reported
that	that	that
former	former	former
FBI	fbi	FBI
Executive	execut	Executive
Assistant	assist	Assistant
Director	director	Director
John	john	John
Giacalone	giacalon	Giacalone
resigned	resign	resigned
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
Clinton	clinton	Clinton
email	email	email
investigation	investig	investigation
because	becaus	because
he	he	he
saw	saw	saw
it	it	it
going	go	going
sideways	sideway	sideways
and	and	and
that	that	that
Jill	jill	Jill
McCabe	mccabe	McCabe
received	receiv	received
money	money	money
from	from	from
a	a	a
PAC	pac	PAC
headed	head	headed
by	by	by
McAuliffe	mcauliff	McAuliffe
,	,	,
who	who	who
was	was	wa
under	under	under
investigation	investig	investigation
by	by	by
the	the	the
FBI	fbi	FBI
for	for	for
campaign	campaign	campaign
finance	financ	finance
law	law	law
violations	violat	violation
.	.	.

McCabe	mccabe	McCabe
forwarded	forward	forwarded
the	the	the
article	articl	article
to	to	to
Comey	comey	Comey
,	,	,
noting	note	noting
FYI	fyi	FYI
.	.	.

Heavyweight	heavyweight	Heavyweight
source	sourc	source
.	.	.

Comey	comey	Comey
replied	repli	replied
to	to	to
McCabe	mccabe	McCabe
,	,	,
copying	copi	copying
Chief	chief	Chief
of	of	of
Staff	staff	Staff
James	jame	James
Rybicki	rybicki	Rybicki
,	,	,
saying	say	saying
,	,	,
This	this	This
still	still	still
reads	read	read
to	to	to
me	me	me
like	like	like
someone	someon	someone
not	not	not
involved	involv	involved
in	in	in
the	the	the
investigation	investig	investigation
at	at	at
all	all	all
,	,	,
maybe	mayb	maybe
somebody	somebodi	somebody
who	who	who
heard	heard	heard
rumors	rumor	rumor
These	these	These
new	new	new
documents	document	document
show	show	show
that	that	that
the	the	the
FBI	fbi	FBI
leadership	leadership	leadership
was	was	wa
politicized	politic	politicized
and	and	and
compromised	compromis	compromised
in	in	in
its	it	it
handling	handl	handling
of	of	of
the	the	the
Clinton	clinton	Clinton
email	email	email
investigation	investig	investigation
,	,	,
said	said	said
Tom	tom	Tom
Fitton	fitton	Fitton
,	,	,
Judicial	judici	Judicial
Watch	watch	Watch
President	presid	President
.	.	.

It	it	It
well	well	well
past	past	past
time	time	time
for	for	for
a	a	a
do	do	do
-over	-over	-over
on	on	on
the	the	the
Clinton	clinton	Clinton
emails	email	email
that	that	that
requires	requir	requires
a	a	a
new	new	new
,	,	,
honest	honest	honest
criminal	crimin	criminal
investigation	investig	investigation
of	of	of
her	her	her
misconduct	misconduct	misconduct
.	.	.

The	the	The
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Special	special	Special
Counsel	counsel	Counsel
have	have	have
opened	open	opened
investigations	investig	investigation
into	into	into
whether	whether	whether
McCabe	mccabe	McCabe
violated	violat	violated
the	the	the
Hatch	hatch	Hatch
Act	act	Act
and	and	and
failed	fail	failed
to	to	to
properly	proper	properly
disclose	disclos	disclose
payments	payment	payment
to	to	to
his	his	his
wife	wife	wife
s	s	s
campaign	campaign	campaign
on	on	on
his	his	his
ethics	ethic	ethic
report	report	report
.	.	.

The	the	The
Justice	justic	Justice
Department	depart	Department
s	s	s
Inspector	inspector	Inspector
General	general	General
is	is	is
examining	examin	examining
McCabe	mccabe	McCabe
for	for	for
failing	fail	failing
to	to	to
recuse	recus	recuse
himself	himself	himself
from	from	from
the	the	the
Clinton	clinton	Clinton
investigation	investig	investigation
due	due	due
to	to	to
his	his	his
meeting	meet	meeting
with	with	with
McAuliffe	mcauliff	McAuliffe
.	.	.

