Vermont	vermont	Vermont
,	,	,
this	this	this
really	realli	really
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
healthcare	healthcar	healthcare
.	.	.

What	what	What
this	this	this
has	has	ha
everything	everyth	everything
to	to	to
do	do	do
with	with	with
is	is	is
a	a	a
massive	massiv	massive
shift	shift	shift
of	of	of
wealth	wealth	wealth
from	from	from
working	work	working
people	peopl	people
and	and	and
middle	middl	middle
-income	-incom	-income
people	peopl	people
to	to	to
the	the	the
richest	richest	richest
people	peopl	people
in	in	in
this	this	this
country	countri	country
.	.	.

It	it	It
is	is	is
a	a	a
275	275	275
billion	billion	billion
dollar	dollar	dollar
tax	tax	tax
break	break	break
for	for	for
the	the	the
top	top	top
two	two	two
percent	percent	percent
.	.	.

Millionaires	millionair	Millionaires
will	will	will
get	get	get
about	about	about
50	50	50
,	,	,
000	000	000
a	a	a
year	year	year
in	in	in
tax	tax	tax
breaks	break	break
,	,	,
while	while	while
at	at	at
the	the	the
same	same	same
time	time	time
5	5	5
-10	-10	-10
million	million	million
people	peopl	people
are	are	are
going	go	going
to	to	to
lose	lose	lose
their	their	their
health	health	health
insurance	insur	insurance
,	,	,
premiums	premium	premium
are	are	are
going	go	going
to	to	to
soar	soar	soar
.	.	.

The	the	The
AARP	aarp	AARP
says	say	say
that	that	that
if	if	if
you	you	you
are	are	are
64	64	64
years	year	year
of	of	of
age	age	age
and	and	and
you	you	you
re	re	re
making	make	making
about	about	about
25	25	25
,	,	,
000	000	000
a	a	a
year	year	year
,	,	,
you	you	you
re	re	re
going	go	going
pay	pay	pay
up	up	up
to	to	to
7	7	7
,	,	,
000	000	000
more	more	more
for	for	for
you	you	you
re	re	re
health	health	health
insurance	insur	insurance
.	.	.

They	they	They
re	re	re
going	go	going
to	to	to
defund	defund	defund
Planned	plan	Planned
Parenthood	parenthood	Parenthood
.	.	.

Deny	deni	Deny
over	over	over
2	2	2
million	million	million
the	the	the
right	right	right
to	to	to
choose	choos	choose
they	they	they
healthcare	healthcar	healthcare
that	that	that
they	they	they
need	need	need
.	.	.

They	they	They
re	re	re
going	go	going
to	to	to
decimate	decim	decimate
Medicaid	medicaid	Medicaid
,	,	,
which	which	which
is	is	is
why	whi	why
the	the	the
American	american	American
Medical	medic	Medical
Association	associ	Association
,	,	,
the	the	the
AMA	ama	AMA
,	,	,
and	and	and
the	the	the
American	american	American
Hospital	hospit	Hospital
Association	associ	Association
oppose	oppos	oppose
it	it	it
,	,	,
in	in	in
addition	addit	addition
to	to	to
the	the	the
AARP	aarp	AARP
.	.	.

This	this	This
is	is	is
a	a	a
disgrace	disgrac	disgrace
,	,	,
and	and	and
by	by	by
the	the	the
way	way	way
,	,	,
they	they	they
are	are	are
so	so	so
cowardly	coward	cowardly
that	that	that
they	they	they
want	want	want
to	to	to
go	go	go
forward	forward	forward
before	befor	before
the	the	the
CBO	cbo	CBO
gives	give	give
an	an	an
estimate	estim	estimate
of	of	of
what	what	what
it	it	it
will	will	will
cost	cost	cost
,	,	,
and	and	and
how	how	how
many	mani	many
people	peopl	people
will	will	will
lose	lose	lose
their	their	their
insurance	insur	insurance
.	.	.

You	you	You
can	can	can
watch	watch	watch
Sanders	sander	Sanders
explain	explain	explain
it	it	it
all	all	all
below	below	below
Sanders	sander	Sanders
couldn	couldn	couldn
t	t	t
be	be	be
more	more	more
correct	correct	correct
.	.	.

The	the	The
GOP	gop	GOP
s	s	s
replacement	replac	replacement
is	is	is
a	a	a
massive	massiv	massive
failure	failur	failure
and	and	and
will	will	will
not	not	not
only	onli	only
strip	strip	strip
millions	million	million
of	of	of
Americans	american	Americans
of	of	of
life	life	life
-saving	-save	-saving
health	health	health
care	care	care
,	,	,
but	but	but
it	it	it
will	will	will
make	make	make
Americans	american	Americans
pay	pay	pay
more	more	more
for	for	for
less	less	le
.	.	.
The	the	The
Republicans	republican	Republicans
are	are	are
trying	tri	trying
to	to	to
promote	promot	promote
their	their	their
own	own	own
interests	interest	interest
with	with	with
this	this	this
bill	bill	bill
,	,	,
and	and	and
it	it	it
s	s	s
absolutely	absolut	absolutely
pathetic	pathet	pathetic
.	.	.

The	the	The
ones	one	one
who	who	who
will	will	will
truly	truli	truly
benefit	benefit	benefit
from	from	from
such	such	such
a	a	a
horrible	horribl	horrible
piece	piec	piece
of	of	of
legislation	legisl	legislation
are	are	are
the	the	the
wealthy	wealthi	wealthy
and	and	and
insurance	insur	insurance
companies	compani	company
.	.	.

Hopefully	hope	Hopefully
,	,	,
people	peopl	people
will	will	will
listen	listen	listen
to	to	to
Sanders	sander	Sanders
and	and	and
fight	fight	fight
this	this	this
bill	bill	bill
.	.	.
Featured	featur	Featured
image	imag	image
is	is	is
a	a	a
screenshot	screenshot	screenshot

