Leaving	leav	Leaving
custody	custodi	custody
of	of	of
her	her	her
husband	husband	husband
,	,	,
Scott	scott	Scott
Martin	martin	Martin
more	more	more
on	on	on
him	him	him
later	later	later
.	.	.
After	after	After
her	her	her
release	releas	release
from	from	from
custody	custodi	custody
,	,	,
Martin	martin	Martin
did	did	did
what	what	what
could	could	could
be	be	be
expected	expect	expected
from	from	from
a	a	a
parent	parent	parent
who	who	who
practices	practic	practice
such	such	such
unabashed	unabash	unabashed
negligence	neglig	negligence
she	she	she
whined	whine	whined
about	about	about
her	her	her
stupid	stupid	stupid
arrest	arrest	arrest
,	,	,
blaming	blame	blaming
it	it	it
on	on	on
black	black	black
people	peopl	people
.	.	.
In	in	In
her	her	her
Facebook	facebook	Facebook
post	post	post
,	,	,
Martin	martin	Martin
contends	contend	contends
that	that	that
she	she	she
ran	ran	ran
into	into	into
Walmart	walmart	Walmart
to	to	to
buy	buy	buy
toilet	toilet	toilet
paper	paper	paper
a	a	a
run	run	run
-out	-out	-out
that	that	that
was	was	wa
it	it	it
she	she	she
told	told	told
a	a	a
news	news	news
station	station	station
she	she	she
had	had	had
been	been	been
exchanging	exchang	exchanging
bras	bras	bra
.	.	.

According	accord	According
to	to	to
her	her	her
,	,	,
she	she	she
was	was	wa
only	onli	only
in	in	in
the	the	the
store	store	store
for	for	for
a	a	a
total	total	total
of	of	of
7	7	7
minutes	minut	minute
enough	enough	enough
time	time	time
for	for	for
the	the	the
car	car	car
to	to	to
reach	reach	reach
120	120	120
degrees	degre	degree
without	without	without
hot	hot	hot
air	air	air
blowing	blow	blowing
from	from	from
the	the	the
air	air	air
conditioner	condition	conditioner
,	,	,
as	as	a
it	it	it
was	was	wa
88	88	88
that	that	that
day	day	day
.	.	.
But	but	But
then	then	then
a	a	a
black	black	black
women	women	woman
unclear	unclear	unclear
if	if	if
she	she	she
means	mean	mean
one	one	one
or	or	or
multiple	multipl	multiple
had	had	had
her	her	her
nose	nose	nose
in	in	in
business	busi	business
where	where	where
it	it	it
didn	didn	didn
t	t	t
belong	belong	belong
and	and	and
went	went	went
and	and	and
told	told	told
Walmart	walmart	Walmart
.	.	.

This	this	This
,	,	,
of	of	of
course	cours	course
,	,	,
ruined	ruin	ruined
everything	everyth	everything
for	for	for
this	this	this
obviously	obvious	obviously
responsible	respons	responsible
parent	parent	parent
by	by	by
calling	call	calling
police	polic	police
.	.	.

She	she	She
says	say	say
it	it	it
s	s	s
pretty	pretti	pretty
damn	damn	damn
stupid	stupid	stupid
that	that	that
they	they	they
would	would	would
charge	charg	charge
her	her	her
for	for	for
child	child	child
neglect	neglect	neglect
when	when	when
it	it	it
could	could	could
be	be	be
10	10	10
different	differ	different
charges	charg	charge
they	they	they
could	could	could
give	give	give
her	her	her
.	.	.

After	after	After
all	all	all
,	,	,
her	her	her
child	child	child
the	the	the
one	one	one
who	who	who
was	was	wa
scared	scare	scared
because	becaus	because
mommy	mommi	mommy
left	left	left
him	him	him
asked	ask	asked
to	to	to
stay	stay	stay
in	in	in
the	the	the
car	car	car
,	,	,
she	she	she
says	say	say
.	.	.
She	she	She
then	then	then
praises	prais	praise
her	her	her
loving	love	loving
husband	husband	husband
the	the	the
one	one	one
to	to	to
whom	whom	whom
the	the	the
little	littl	little
boy	boy	boy
was	was	wa
released	releas	released
,	,	,
who	who	who
bonded	bond	bonded
her	her	her
out	out	out
,	,	,
for	for	for
his	his	his
support	support	support
.	.	.

While	while	While
one	one	one
might	might	might
expect	expect	expect
the	the	the
other	other	other
half	half	half
of	of	of
this	this	this
relationship	relationship	relationship
to	to	to
give	give	give
a	a	a
damn	damn	damn
about	about	about
the	the	the
child	child	child
s	s	s
safety	safeti	safety
remember	rememb	remember
that	that	that
the	the	the
boy	boy	boy
was	was	wa
released	releas	released
to	to	to
him	him	him
Scott	scott	Scott
is	is	is
very	veri	very
supportive	support	supportive
of	of	of
his	his	his
wife	wife	wife
.	.	.

All	all	All
this	this	this
is	is	is
b	b	b
s	s	s
.	.	.

My	my	My
wife	wife	wife
wasn	wasn	wasn
t	t	t
even	even	even
gone	gone	gone
from	from	from
the	the	the
house	hous	house
for	for	for
fifteen	fifteen	fifteen
minutes	minut	minute
and	and	and
i	i	i
get	get	get
a	a	a
call	call	call
from	from	from
the	the	the
police	polic	police
,	,	,
he	he	he
writes	write	writes
in	in	in
the	the	the
comment	comment	comment
section	section	section
under	under	under
the	the	the
post	post	post
.	.	.

They	they	They
told	told	told
me	me	me
that	that	that
my	my	my
son	son	son
was	was	wa
in	in	in
the	the	the
car	car	car
for	for	for
OVER	over	OVER
AN	an	AN
HOUR	hour	HOUR
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

Pardon	pardon	Pardon
my	my	my
language	languag	language
,	,	,
but	but	but
that	that	that
is	is	is
all	all	all
f	f	f
b	b	b
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

I	i	I
am	am	am
beyond	beyond	beyond
being	be	being
mad	mad	mad
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

He	he	He
then	then	then
angrily	angrili	angrily
demands	demand	demand
that	that	that
police	polic	police
bust	bust	bust
meth	meth	meth
labs	lab	lab
and	and	and
other	other	other
people	peopl	people
who	who	who
are	are	are
really	realli	really
breaking	break	breaking
the	the	the
law	law	law
rather	rather	rather
than	than	than
negligent	neglig	negligent
mothers	mother	mother
who	who	who
leave	leav	leave
their	their	their
children	children	child
unattended	unattend	unattended
in	in	in
hot	hot	hot
vehicles	vehicl	vehicle
with	with	with
hot	hot	hot
air	air	air
blowing	blow	blowing
out	out	out
of	of	of
the	the	the
air	air	air
conditioner	condition	conditioner
.	.	.

It	it	It
is	is	is
s	s	s
like	like	like
this	this	this
why	whi	why
I	i	I
am	am	am
thinking	think	thinking
about	about	about
leaving	leav	leaving
this	this	this
f	f	f
d	d	d
up	up	up
county	counti	county
,	,	,
and	and	and
state	state	state
for	for	for
that	that	that
matter	matter	matter
saying	say	saying
f	f	f
all	all	all
of	of	of
this	this	this
s	s	s
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

he	he	he
adds	add	add
.	.	.

And	and	And
if	if	if
there	there	there
is	is	is
anyone	anyon	anyone
who	who	who
disagrees	disagre	disagrees
with	with	with
what	what	what
I	i	I
said	said	said
,	,	,
guess	guess	guess
what	what	what
,	,	,
TOO	too	TOO
BAD	bad	BAD
!	!	!

It	it	It
s	s	s
called	call	called
the	the	the
1st	1st	1st
Amendment	amend	Amendment
,	,	,
look	look	look
it	it	it
up	up	up
While	while	While
the	the	the
Martins	martin	Martins
might	might	might
have	have	have
expected	expect	expected
sympathy	sympathi	sympathy
,	,	,
they	they	they
didn	didn	didn
t	t	t
get	get	get
much	much	much
from	from	from
their	their	their
friends	friend	friend
and	and	and
family	famili	family
.	.	.

As	as	As
some	some	some
commenters	comment	commenters
mentioned	mention	mentioned
,	,	,
the	the	the
Department	depart	Department
of	of	of
Children	children	Children
and	and	and
Families	famili	Families
will	will	will
be	be	be
investigating	investig	investigating
this	this	this
matter	matter	matter
.	.	.

Not	not	Not
only	onli	only
is	is	is
it	it	it
illegal	illeg	illegal
for	for	for
a	a	a
child	child	child
to	to	to
be	be	be
left	left	left
in	in	in
a	a	a
car	car	car
,	,	,
it	it	it
is	is	is
also	also	also
inhumane	inhuman	inhumane
and	and	and
potentially	potenti	potentially
deadly	dead	deadly
,	,	,
spokesman	spokesman	spokesman
John	john	John
Harrell	harrel	Harrell
said	said	said
.	.	.

We	we	We
will	will	will
do	do	do
a	a	a
full	full	full
and	and	and
thorough	thorough	thorough
investigation	investig	investigation
regarding	regard	regarding
this	this	this
incident	incid	incident
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
while	while	while
Martin	martin	Martin
admits	admit	admits
she	she	she
was	was	wa
wrong	wrong	wrong
and	and	and
pledges	pledg	pledge
to	to	to
be	be	be
a	a	a
better	better	better
mother	mother	mother
in	in	in
the	the	the
future	futur	future
,	,	,
it	it	it
is	is	is
unlikely	unlik	unlikely
that	that	that
she	she	she
nor	nor	nor
her	her	her
husband	husband	husband
have	have	have
learned	learn	learned
anything	anyth	anything
from	from	from
this	this	this
.	.	.

Scott	scott	Scott
Martin	martin	Martin
,	,	,
whose	whose	whose
Facebook	facebook	Facebook
profile	profil	profile
indicates	indic	indicates
that	that	that
he	he	he
is	is	is
former	former	former
military	militari	military
police	polic	police
,	,	,
says	say	say
that	that	that
ALL	all	ALL
THOSE	those	THOSE
THAT	that	THAT
DON	don	DON
T	t	T
BELIEVE	believ	BELIEVE
THE	the	THE
TRUTH	truth	TRUTH
,	,	,
AND	and	AND
THINK	think	THINK
MY	my	MY
WIFE	wife	WIFE
DONT	dont	DONT
CARE	care	CARE
ABOUT	about	ABOUT
OUR	our	OUR
CHILDREN	children	CHILDREN
,	,	,
THEN	then	THEN
Y	y	Y
ALL	all	ALL
CAN	can	CAN
JUST	just	JUST
GO	go	GO
TO	to	TO
H	h	H
.	.	.

A	a	A
few	few	few
posts	post	post
below	below	below
one	one	one
in	in	in
which	which	which
he	he	he
claims	claim	claim
they	they	they
are	are	are
loving	love	loving
parents	parent	parent
is	is	is
a	a	a
share	share	share
from	from	from
Conservative	conserv	Conservative
Post	post	Post
that	that	that
advocates	advoc	advocate
hitting	hit	hitting
your	your	your
children	children	child
rather	rather	rather
than	than	than
exercising	exercis	exercising
more	more	more
reasonable	reason	reasonable
and	and	and
sane	sane	sane
conflict	conflict	conflict
resolution	resolut	resolution
and	and	and
disciplinary	disciplinari	disciplinary
techniques	techniqu	technique
As	as	As
for	for	for
Talisha	talisha	Talisha
Martin	martin	Martin
,	,	,
she	she	she
told	told	told
News4Jax	news4jax	News4Jax
that	that	that
police	polic	police
and	and	and
,	,	,
apparently	appar	apparently
security	secur	security
footage	footag	footage
,	,	,
are	are	are
lying	lie	lying
about	about	about
her	her	her
.	.	.

She	she	She
says	say	say
she	she	she
won	won	won
t	t	t
do	do	do
it	it	it
again	again	again
but	but	but
denies	deni	denies
that	that	that
she	she	she
was	was	wa
in	in	in
the	the	the
wrong	wrong	wrong
for	for	for
blasting	blast	blasting
hot	hot	hot
air	air	air
on	on	on
her	her	her
child	child	child
in	in	in
an	an	an
already	alreadi	already
hot	hot	hot
car	car	car
Police	polic	Police
said	said	said
that	that	that
I	i	I
was	was	wa
in	in	in
there	there	there
40	40	40
minutes	minut	minute
and	and	and
that	that	that
is	is	is
a	a	a
lie	lie	lie
,	,	,
Martin	martin	Martin
said	said	said
.	.	.

Also	also	Also
something	someth	something
about	about	about
it	it	it
wasn	wasn	wasn
t	t	t
even	even	even
cold	cold	cold
air	air	air
coming	come	coming
out	out	out
the	the	the
vent	vent	vent
,	,	,
It	it	It
was	was	wa
hot	hot	hot
air	air	air
,	,	,
and	and	and
that	that	that
is	is	is
not	not	not
true	true	true
.	.	.

I	i	I
just	just	just
think	think	think
it	it	it
s	s	s
wrong	wrong	wrong
that	that	that
I	i	I
m	m	m
being	be	being
blasted	blast	blasted
out	out	out
like	like	like
that	that	that
when	when	when
I	i	I
m	m	m
a	a	a
mother	mother	mother
and	and	and
have	have	have
been	been	been
a	a	a
mother	mother	mother
for	for	for
almost	almost	almost
ten	ten	ten
years	year	year
.	.	.

I	i	I
clearly	clear	clearly
won	won	won
t	t	t
do	do	do
it	it	it
again	again	again
.	.	.

I	i	I
mean	mean	mean
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
I	i	I
was	was	wa
in	in	in
the	the	the
wrong	wrong	wrong
but	but	but
it	it	it
is	is	is
,	,	,
Martin	martin	Martin
said	said	said
.	.	.

Something	someth	Something
could	could	could
happen	happen	happen
,	,	,
you	you	you
know	know	know
.	.	.

They	they	They
can	can	can
break	break	break
the	the	the
window	window	window
out	out	out
.	.	.

I	i	I
mean	mean	mean
,	,	,
stuff	stuff	stuff
could	could	could
happen	happen	happen
,	,	,
but	but	but
it	it	it
was	was	wa
only	onli	only
a	a	a
few	few	few
minutes	minut	minute
.	.	.

Martin	martin	Martin
has	has	ha
been	been	been
arrested	arrest	arrested
numerous	numer	numerous
times	time	time
since	sinc	since
2011	2011	2011
,	,	,
twice	twice	twice
of	of	of
charges	charg	charge
of	of	of
petit	petit	petit
theft	theft	theft
and	and	and
twice	twice	twice
for	for	for
probation	probat	probation
violations	violat	violation
.	.	.
It	it	It
would	would	would
be	be	be
nice	nice	nice
if	if	if
they	they	they
would	would	would
at	at	at
least	least	least
learn	learn	learn
from	from	from
this	this	this
,	,	,
but	but	but
it	it	it
seems	seem	seems
that	that	that
they	they	they
are	are	are
dedicated	dedic	dedicated
to	to	to
just	just	just
being	be	being
terrible	terribl	terrible
people	peopl	people
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Facebook	facebook	Facebook
News4Jax	news4jax	News4Jax

