Did	did	Did
the	the	the
population	popul	population
and	and	and
the	the	the
difficulties	difficulti	difficulty
in	in	in
tracking	track	tracking
them	them	them
down	down	down
.	.	.
The	the	The
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
last	last	last
month	month	month
began	began	began
trying	tri	trying
to	to	to
target	target	target
children	children	child
and	and	and
families	famili	family
for	for	for
deportation	deport	deportation
,	,	,
working	work	working
about	about	about
1	1	1
,	,	,
800	800	800
leads	lead	lead
.	.	.
But	but	But
only	onli	only
121	121	121
were	were	were
actually	actual	actually
rounded	round	rounded
up	up	up
.	.	.
Mr	mr	Mr
.	.	.
Homan	homan	Homan
said	said	said
that	that	that
s	s	s
because	becaus	because
when	when	when
they	they	they
show	show	show
up	up	up
at	at	at
the	the	the
address	address	address
where	where	where
the	the	the
children	children	child
are	are	are
supposed	suppos	supposed
to	to	to
be	be	be
staying	stay	staying
,	,	,
usually	usual	usually
the	the	the
agents	agent	agent
leave	leav	leave
empty	empti	empty
-handed	-hand	-handed
.	.	.
For	for	For
the	the	the
number	number	number
of	of	of
UACs	uac	UACs
we	we	we
arrested	arrest	arrested
since	sinc	since
January	januari	January
,	,	,
three	three	three
times	time	time
as	as	a
many	mani	many
weren	weren	weren
t	t	t
at	at	at
the	the	the
address	address	address
they	they	they
were	were	were
supposed	suppos	supposed
to	to	to
be	be	be
at	at	at
,	,	,
never	never	never
were	were	were
or	or	or
weren	weren	weren
t	t	t
there	there	there
any	ani	any
longer	longer	longer
.	.	.
The	the	The
Spanish	spanish	Spanish
media	media	medium
,	,	,
Spanish	spanish	Spanish
newspapers	newspap	newspaper
,	,	,
a	a	a
lot	lot	lot
of	of	of
NGOs	ngos	NGOs
are	are	are
educating	educ	educating
these	these	these
folks	folk	folk
on	on	on
how	how	how
not	not	not
to	to	to
comply	compli	comply
with	with	with
law	law	law
enforcement	enforc	enforcement
,	,	,
Mr	mr	Mr
.	.	.
Homan	homan	Homan
said	said	said
.	.	.
There	there	There
s	s	s
been	been	been
many	mani	many
situations	situat	situation
where	where	where
we	we	we
ve	ve	ve
been	been	been
at	at	at
the	the	the
residence	resid	residence
,	,	,
we	we	we
know	know	know
they	they	they
re	re	re
there	there	there
,	,	,
but	but	but
they	they	they
won	won	won
t	t	t
open	open	open
the	the	the
door	door	door
.	.	.
My	my	My
officers	offic	officer
don	don	don
t	t	t
have	have	have
the	the	the
authority	author	authority
,	,	,
of	of	of
course	cours	course
,	,	,
to	to	to
go	go	go
into	into	into
that	that	that
house	hous	house
.	.	.
What	what	What
a	a	a
pitiful	piti	pitiful
effort	effort	effort
.	.	.
We	we	We
know	know	know
where	where	where
they	they	they
are	are	are
,	,	,
we	we	we
even	even	even
know	know	know
they	they	they
re	re	re
in	in	in
the	the	the
house	hous	house
,	,	,
but	but	but
we	we	we
don	don	don
t	t	t
have	have	have
the	the	the
authority	author	authority
to	to	to
go	go	go
in	in	in
?	?	?
If	if	If
they	they	they
know	know	know
these	these	these
facts	fact	fact
,	,	,
why	whi	why
can	can	can
t	t	t
they	they	they
get	get	get
a	a	a
search	search	search
order	order	order
?	?	?
A	a	A
lawful	law	lawful
deportation	deport	deportation
order	order	order
has	has	ha
been	been	been
issued	issu	issued
,	,	,
and	and	and
the	the	the
government	govern	government
won	won	won
t	t	t
do	do	do
what	what	what
s	s	s
necessary	necessari	necessary
to	to	to
enforce	enforc	enforce
it	it	it
.	.	.
Read	read	Read
more	more	more
American	american	American
Thinker	thinker	Thinker
