Lois	loi	Lois
disagree	disagre	disagree
with	with	with
a	a	a
left	left	left
-wing	-wing	-wing
policy	polici	policy
,	,	,
it	it	it
s	s	s
securities	secur	security
fraud	fraud	fraud
.	.	.
Under	under	Under
this	this	this
standard	standard	standard
,	,	,
it	it	it
becomes	becom	becomes
child	child	child
s	s	s
play	play	play
to	to	to
cut	cut	cut
off	off	off
conservative	conserv	conservative
organization	organ	organization
from	from	from
any	ani	any
corporate	corpor	corporate
funding	fund	funding
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
conservative	conserv	conservative
organizations	organ	organization
would	would	would
be	be	be
muzzled	muzzl	muzzled
by	by	by
extension	extens	extension
.	.	.
Funding	fund	Funding
organizations	organ	organization
and	and	and
people	peopl	people
that	that	that
dissent	dissent	dissent
from	from	from
the	the	the
left	left	left
would	would	would
be	be	be
fraud	fraud	fraud
.	.	.
Because	becaus	Because
that	that	that
is	is	is
what	what	what
this	this	this
is	is	is
really	realli	really
about	about	about
.	.	.
Global	global	Global
Warming	warm	Warming
is	is	is
the	the	the
testbed	testb	testbed
for	for	for
making	make	making
leftist	leftist	leftist
ideology	ideolog	ideology
mandatory	mandatori	mandatory
.	.	.
Manufacture	manufactur	Manufacture
a	a	a
fake	fake	fake
consensus	consensus	consensus
,	,	,
then	then	then
use	use	use
the	the	the
law	law	law
to	to	to
make	make	make
it	it	it
mandatory	mandatori	mandatory
.	.	.
Then	then	Then
there	there	there
can	can	can
be	be	be
a	a	a
pseudo	pseudo	pseudo
-scientific	-scientif	-scientific
consensus	consensus	consensus
on	on	on
a	a	a
variety	varieti	variety
of	of	of
issues	issu	issue
,	,	,
such	such	such
as	as	a
the	the	the
need	need	need
for	for	for
higher	higher	higher
taxes	tax	tax
,	,	,
and	and	and
a	a	a
crackdown	crackdown	crackdown
on	on	on
anyone	anyon	anyone
who	who	who
disagrees	disagre	disagrees
.	.	.
Since	sinc	Since
there	there	there
s	s	s
money	money	money
in	in	in
pursuing	pursu	pursuing
charges	charg	charge
like	like	like
this	this	this
,	,	,
and	and	and
since	sinc	since
the	the	the
best	best	best
way	way	way
to	to	to
get	get	get
the	the	the
left	left	left
off	off	off
your	your	your
back	back	back
is	is	is
to	to	to
give	give	give
their	their	their
political	polit	political
allies	alli	ally
money	money	money
,	,	,
this	this	this
is	is	is
robbery	robberi	robbery
for	for	for
tyranny	tyranni	tyranny
.	.	.
And	and	And
that	that	that
s	s	s
how	how	how
the	the	the
left	left	left
does	doe	doe
business	busi	business
.	.	.
This	this	This
is	is	is
where	where	where
the	the	the
left	left	left
has	has	ha
always	alway	always
been	been	been
headed	head	headed
.	.	.
This	this	This
is	is	is
a	a	a
totalitarian	totalitarian	totalitarian
movement	movement	movement
.	.	.
Via	via	Via
Front	front	Front
Page	page	Page
Magazine	magazin	Magazine
