Apparently	appar	Apparently
corruption	corrupt	corruption
,	,	,
and	and	and
evil	evil	evil
that	that	that
the	the	the
Bernie	berni	Bernie
revolution	revolut	revolution
was	was	wa
built	built	built
to	to	to
overthrow	overthrow	overthrow
.	.	.
He	he	He
doesn	doesn	doesn
t	t	t
believe	believ	believe
Hillary	hillari	Hillary
Clinton	clinton	Clinton
when	when	when
she	she	she
labels	label	label
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
supporters	support	supporter
as	as	a
racists	racist	racist
because	becaus	because
he	he	he
knows	know	know
she	she	she
falsely	fals	falsely
labeled	label	labeled
her	her	her
opponents	oppon	opponent
in	in	in
the	the	the
primary	primari	primary
as	as	a
sexist	sexist	sexist
Bernie	berni	Bernie
Bros	bros	Bros
.	.	.
Carter	carter	Carter
s	s	s
preparing	prepar	preparing
to	to	to
take	take	take
the	the	the
experience	experi	experience
,	,	,
knowledge	knowledg	knowledge
,	,	,
and	and	and
contacts	contact	contact
his	his	his
group	group	group
built	built	built
during	dure	during
the	the	the
primary	primari	primary
to	to	to
campaign	campaign	campaign
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
for	for	for
Donald	donald	Donald
Trump	trump	Trump
and	and	and
other	other	other
Republicans	republican	Republicans
in	in	in
battleground	battleground	battleground
states	state	state
across	across	across
the	the	the
country	countri	country
.	.	.
Bruce	bruce	Bruce
Carter	carter	Carter
and	and	and
Black	black	Black
Men	men	Men
for	for	for
Bernie	berni	Bernie
are	are	are
at	at	at
war	war	war
with	with	with
the	the	the
Democratic	democrat	Democratic
establishment	establish	establishment
,	,	,
whom	whom	whom
he	he	he
says	say	say
pander	pander	pander
for	for	for
votes	vote	vote
but	but	but
haven	haven	haven
t	t	t
delivered	deliv	delivered
meaningful	meaning	meaningful
results	result	result
to	to	to
minority	minor	minority
communities	communiti	community
for	for	for
decades	decad	decade
.	.	.
Carter	carter	Carter
became	becam	became
politically	polit	politically
active	activ	active
to	to	to
support	support	support
Bernie	berni	Bernie
Sanders	sander	Sanders
,	,	,
who	who	who
taught	taught	taught
him	him	him
how	how	how
the	the	the
establishment	establish	establishment
s	s	s
only	onli	only
real	real	real
constituency	constitu	constituency
was	was	wa
the	the	the
donor	donor	donor
class	class	class
.	.	.
When	when	When
he	he	he
paired	pair	paired
that	that	that
knowledge	knowledg	knowledge
with	with	with
what	what	what
he	he	he
knew	knew	knew
about	about	about
the	the	the
decline	declin	decline
in	in	in
the	the	the
black	black	black
and	and	and
minority	minor	minority
neighborhoods	neighborhood	neighborhood
he	he	he
loves	love	love
,	,	,
he	he	he
realized	realiz	realized
Democratic	democrat	Democratic
politicians	politician	politician
and	and	and
the	the	the
media	media	medium
had	had	had
been	been	been
lying	lie	lying
.	.	.
Bernie	berni	Bernie
inspired	inspir	inspired
us	us	u
to	to	to
disrupt	disrupt	disrupt
the	the	the
status	status	status
quo	quo	quo
because	becaus	because
it	it	it
only	onli	only
works	work	work
for	for	for
the	the	the
elites	elit	elite
and	and	and
not	not	not
regular	regular	regular
people	peopl	people
who	who	who
are	are	are
struggling	struggl	struggling
,	,	,
Carter	carter	Carter
told	told	told
Breitbart	breitbart	Breitbart
News	news	News
.	.	.
If	if	If
black	black	black
communities	communiti	community
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
Democrats	democrat	Democrats
in	in	in
November	novemb	November
,	,	,
nothing	noth	nothing
will	will	will
change	chang	change
because	becaus	because
Democrats	democrat	Democrats
will	will	will
continue	continu	continue
to	to	to
believe	believ	believe
they	they	they
don	don	don
t	t	t
have	have	have
to	to	to
do	do	do
anything	anyth	anything
to	to	to
earn	earn	earn
our	our	our
votes	vote	vote
.	.	.
Carter	carter	Carter
became	becam	became
one	one	one
of	of	of
the	the	the
most	most	most
prominent	promin	prominent
and	and	and
recognizable	recogniz	recognizable
supporters	support	supporter
of	of	of
the	the	the
Sanders	sander	Sanders
campaign	campaign	campaign
by	by	by
traveling	travel	traveling
the	the	the
country	countri	country
in	in	in
a	a	a
tour	tour	tour
bus	bus	bus
and	and	and
fleet	fleet	fleet
of	of	of
vehicles	vehicl	vehicle
wrapped	wrap	wrapped
with	with	with
the	the	the
Black	black	Black
Men	men	Men
for	for	for
Bernie	berni	Bernie
logo	logo	logo
and	and	and
a	a	a
picture	pictur	picture
of	of	of
Sanders	sander	Sanders
being	be	being
arrested	arrest	arrested
during	dure	during
the	the	the
civil	civil	civil
rights	right	right
movement	movement	movement
.	.	.
His	his	His
online	onlin	online
videos	video	video
received	receiv	received
millions	million	million
of	of	of
views	view	view
and	and	and
featured	featur	featured
celebrities	celebr	celebrity
like	like	like
Mark	mark	Mark
Ruffalo	ruffalo	Ruffalo
and	and	and
ice	ice	ice
cream	cream	cream
makers	maker	maker
Ben	ben	Ben
and	and	and
Jerry	jerri	Jerry
.	.	.
This	this	This
guy	guy	guy
knows	know	know
what	what	what
he	he	he
s	s	s
doing	do	doing
when	when	when
it	it	it
comes	come	come
to	to	to
rallying	ralli	rallying
the	the	the
troops	troop	troop
to	to	to
get	get	get
behind	behind	behind
his	his	his
candidate	candid	candidate
.	.	.
Watch	watch	Watch
Carter	carter	Carter
organizing	organ	organizing
supporters	support	supporter
for	for	for
Bernie	berni	Bernie
before	befor	before
Hillary	hillari	Hillary
cheated	cheat	cheated
him	him	him
out	out	out
of	of	of
the	the	the
chance	chanc	chance
to	to	to
become	becom	become
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
candidate	candid	candidate
Carter	carter	Carter
told	told	told
Breitbart	breitbart	Breitbart
News	news	News
that	that	that
his	his	his
greatest	greatest	greatest
awakening	awaken	awakening
of	of	of
how	how	how
Democrats	democrat	Democrats
exploit	exploit	exploit
minority	minor	minority
voters	voter	voter
came	came	came
when	when	when
he	he	he
learned	learn	learned
from	from	from
the	the	the
Washington	washington	Washington
Post	post	Post
that	that	that
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
spends	spend	spends
less	less	le
than	than	than
2	2	2
percent	percent	percent
of	of	of
its	it	it
campaign	campaign	campaign
resources	resourc	resource
with	with	with
minority	minor	minority
-owned	-own	-owned
companies	compani	company
,	,	,
even	even	even
though	though	though
they	they	they
get	get	get
better	better	better
than	than	than
90	90	90
percent	percent	percent
of	of	of
the	the	the
black	black	black
vote	vote	vote
.	.	.
It	it	It
is	is	is
a	a	a
practice	practic	practice
that	that	that
Carter	carter	Carter
calls	call	call
political	polit	political
slavery	slaveri	slavery
.	.	.
Now	now	Now
Black	black	Black
Men	men	Men
for	for	for
Bernie	berni	Bernie
are	are	are
rebranding	rebrand	rebranding
and	and	and
again	again	again
planning	plan	planning
to	to	to
tour	tour	tour
the	the	the
country	countri	country
with	with	with
an	an	an
emphasis	emphasi	emphasis
on	on	on
battleground	battleground	battleground
states	state	state
.	.	.
Carter	carter	Carter
says	say	say
he	he	he
s	s	s
going	go	going
to	to	to
organize	organ	organize
black	black	black
and	and	and
minority	minor	minority
communities	communiti	community
to	to	to
vote	vote	vote
against	against	against
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
the	the	the
Democratic	democrat	Democratic
establishment	establish	establishment
.	.	.
Donald	donald	Donald
Trump	trump	Trump
is	is	is
a	a	a
business	busi	business
man	man	man
and	and	and
a	a	a
real	real	real
estate	estat	estate
mogul	mogul	mogul
who	who	who
could	could	could
provide	provid	provide
knowledge	knowledg	knowledge
and	and	and
resources	resourc	resource
to	to	to
transform	transform	transform
urban	urban	urban
communities	communiti	community
through	through	through
the	the	the
development	develop	development
of	of	of
minority	minor	minority
-owned	-own	-owned
businesses	busi	business
,	,	,
Carter	carter	Carter
said	said	said
.	.	.
With	with	With
this	this	this
tour	tour	tour
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
show	show	show
Mr	mr	Mr
.	.	.
Trump	trump	Trump
and	and	and
Republicans	republican	Republicans
that	that	that
the	the	the
black	black	black
and	and	and
minority	minor	minority
communities	communiti	community
are	are	are
ready	readi	ready
to	to	to
work	work	work
with	with	with
anyone	anyon	anyone
willing	will	willing
to	to	to
work	work	work
with	with	with
us	us	u
to	to	to
build	build	build
opportunities	opportun	opportunity
in	in	in
businesses	busi	business
,	,	,
employment	employ	employment
,	,	,
and	and	and
housing	hous	housing
.	.	.
We	we	We
don	don	don
t	t	t
want	want	want
welfare	welfar	welfare
,	,	,
we	we	we
need	need	need
opportunity	opportun	opportunity
.	.	.
Carter	carter	Carter
had	had	had
a	a	a
lot	lot	lot
of	of	of
ideas	idea	idea
when	when	when
asked	ask	asked
about	about	about
what	what	what
Trump	trump	Trump
could	could	could
do	do	do
to	to	to
help	help	help
him	him	him
win	win	win
black	black	black
votes	vote	vote
away	away	away
from	from	from
the	the	the
Democrats	democrat	Democrats
.	.	.
When	when	When
Donald	donald	Donald
Trump	trump	Trump
tells	tell	tell
black	black	black
people	peopl	people
,	,	,
what	what	what
do	do	do
you	you	you
have	have	have
to	to	to
lose	lose	lose
by	by	by
voting	vote	voting
for	for	for
me	me	me
,	,	,
he	he	he
s	s	s
getting	get	getting
close	close	close
to	to	to
a	a	a
message	messag	message
that	that	that
will	will	will
work	work	work
,	,	,
but	but	but
it	it	it
s	s	s
not	not	not
quite	quit	quite
there	there	there
yet	yet	yet
,	,	,
Carter	carter	Carter
explained	explain	explained
We	we	We
re	re	re
going	go	going
to	to	to
go	go	go
back	back	back
to	to	to
these	these	these
communities	communiti	community
in	in	in
Florida	florida	Florida
,	,	,
Ohio	ohio	Ohio
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
Michigan	michigan	Michigan
,	,	,
and	and	and
across	across	across
the	the	the
country	countri	country
to	to	to
lead	lead	lead
people	peopl	people
to	to	to
the	the	the
facts	fact	fact
about	about	about
the	the	the
Clintons	clinton	Clintons
and	and	and
Democrats	democrat	Democrats
failures	failur	failure
with	with	with
our	our	our
struggling	struggl	struggling
communities	communiti	community
,	,	,
Carter	carter	Carter
said	said	said
For	for	For
Carter	carter	Carter
and	and	and
the	the	the
Black	black	Black
Men	men	Men
for	for	for
Bernie	berni	Bernie
,	,	,
they	they	they
can	can	can
t	t	t
unlearn	unlearn	unlearn
what	what	what
they	they	they
discovered	discov	discovered
about	about	about
Hillary	hillari	Hillary
during	dure	during
the	the	the
primary	primari	primary
.	.	.
We	we	We
know	know	know
that	that	that
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
the	the	the
rich	rich	rich
donors	donor	donor
of	of	of
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
,	,	,
Carter	carter	Carter
said	said	said
.	.	.
We	we	We
know	know	know
that	that	that
Bill	bill	Bill
and	and	and
Hillary	hillari	Hillary
did	did	did
major	major	major
damage	damag	damage
to	to	to
our	our	our
communities	communiti	community
the	the	the
last	last	last
time	time	time
they	they	they
were	were	were
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.
We	we	We
know	know	know
they	they	they
will	will	will
lie	lie	lie
about	about	about
their	their	their
opponents	oppon	opponent
by	by	by
unfairly	unfair	unfairly
labeling	label	labeling
them	them	them
sexists	sexist	sexist
and	and	and
racists	racist	racist
and	and	and
radicals	radic	radical
.	.	.
Donald	donald	Donald
Trump	trump	Trump
isn	isn	isn
t	t	t
a	a	a
typical	typic	typical
politician	politician	politician
and	and	and
he	he	he
isn	isn	isn
t	t	t
beholden	beholden	beholden
to	to	to
the	the	the
same	same	same
old	old	old
political	polit	political
powers	power	power
,	,	,
Carter	carter	Carter
continued	continu	continued
.	.	.
We	we	We
want	want	want
to	to	to
earn	earn	earn
our	our	our
seat	seat	seat
at	at	at
the	the	the
table	tabl	table
in	in	in
his	his	his
administration	administr	administration
and	and	and
I	i	I
think	think	think
he	he	he
and	and	and
the	the	the
Republicans	republican	Republicans
are	are	are
smart	smart	smart
enough	enough	enough
to	to	to
realize	realiz	realize
that	that	that
when	when	when
we	we	we
deliver	deliv	deliver
them	them	them
a	a	a
historic	histor	historic
number	number	number
of	of	of
minority	minor	minority
votes	vote	vote
,	,	,
they	they	they
better	better	better
do	do	do
a	a	a
better	better	better
job	job	job
than	than	than
the	the	the
Democrats	democrat	Democrats
have	have	have
done	done	done
or	or	or
they	they	they
re	re	re
never	never	never
going	go	going
to	to	to
get	get	get
an	an	an
opportunity	opportun	opportunity
like	like	like
this	this	this
again	again	again
.	.	.
For	for	For
entire	entir	entire
story	stori	story
Breitbart	breitbart	Breitbart
News	news	News
