Conservatives	conserv	Conservatives
Vote	vote	Vote
Protectors	protector	Protectors
had	had	had
a	a	a
bad	bad	bad
idea	idea	idea
and	and	and
ordered	order	ordered
them	them	them
taken	taken	taken
down	down	down
.	.	.
Campaign	campaign	Campaign
Legal	legal	Legal
Center	center	Center
deputy	deputi	deputy
director	director	director
Danielle	daniell	Danielle
Lang	lang	Lang
called	call	called
the	the	the
tactics	tactic	tactic
a	a	a
clear	clear	clear
voter	voter	voter
intimidation	intimid	intimidation
scheme	scheme	scheme
.	.	.
It	it	It
s	s	s
inherently	inher	inherently
intimidating	intimid	intimidating
and	and	and
an	an	an
invasion	invas	invasion
of	of	of
privacy	privaci	privacy
,	,	,
she	she	she
told	told	told
HuffPo	huffpo	HuffPo
in	in	in
reference	refer	reference
to	to	to
the	the	the
videotaping	videotap	videotaping
.	.	.
When	when	When
that	that	that
s	s	s
being	be	being
live	live	live
streamed	stream	streamed
to	to	to
the	the	the
internet	internet	internet
,	,	,
it	it	it
amplifies	amplifi	amplifies
the	the	the
potentially	potenti	potentially
intimidating	intimid	intimidating
aspect	aspect	aspect
of	of	of
it	it	it
,	,	,
and	and	and
violates	violat	violates
a	a	a
sense	sens	sense
of	of	of
security	secur	security
and	and	and
privacy	privaci	privacy
people	peopl	people
have	have	have
a	a	a
right	right	right
to	to	to
enjoy	enjoy	enjoy
at	at	at
the	the	the
polls	poll	poll
.	.	.
Objectively	object	Objectively
,	,	,
intimidating	intimid	intimidating
voters	voter	voter
is	is	is
unlawful	unlaw	unlawful
,	,	,
no	no	no
matter	matter	matter
where	where	where
you	you	you
do	do	do
it	it	it
.	.	.
Indeed	inde	Indeed
,	,	,
but	but	but
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
been	been	been
calling	call	calling
upon	upon	upon
his	his	his
supporters	support	supporter
to	to	to
do	do	do
because	becaus	because
he	he	he
has	has	ha
repeatedly	repeat	repeatedly
claimed	claim	claimed
that	that	that
the	the	the
election	elect	election
is	is	is
rigged	rig	rigged
against	against	against
him	him	him
.	.	.
As	as	As
it	it	it
turns	turn	turn
out	out	out
,	,	,
he	he	he
s	s	s
right	right	right
about	about	about
the	the	the
election	elect	election
being	be	being
rigged	rig	rigged
,	,	,
only	onli	only
it	it	it
s	s	s
conservatives	conserv	conservative
who	who	who
are	are	are
trying	tri	trying
to	to	to
rig	rig	rig
it	it	it
in	in	in
favor	favor	favor
of	of	of
Trump	trump	Trump
.	.	.
Earlier	earlier	Earlier
this	this	this
week	week	week
,	,	,
a	a	a
Wisconsin	wisconsin	Wisconsin
city	citi	city
clerk	clerk	clerk
in	in	in
Green	green	Green
Bay	bay	Bay
got	got	got
caught	caught	caught
trying	tri	trying
to	to	to
intentionally	intent	intentionally
prevent	prevent	prevent
college	colleg	college
students	student	student
from	from	from
voting	vote	voting
by	by	by
arguing	argu	arguing
in	in	in
an	an	an
email	email	email
to	to	to
the	the	the
Wisconsin	wisconsin	Wisconsin
Ethics	ethic	Ethics
Commission	commiss	Commission
that	that	that
an	an	an
extra	extra	extra
polling	poll	polling
place	place	place
should	should	should
not	not	not
be	be	be
opened	open	opened
near	near	near
the	the	the
University	univers	University
of	of	of
Wisconsin	wisconsin	Wisconsin
-Green	-green	-Green
Bay	bay	Bay
because	becaus	because
she	she	she
has	has	ha
merely	mere	merely
heard	heard	heard
that	that	that
students	student	student
lean	lean	lean
Democrat	democrat	Democrat
.	.	.
I	i	I
was	was	wa
reading	read	reading
the	the	the
statutes	statut	statute
and	and	and
read	read	read
No	no	No
site	site	site
may	may	may
be	be	be
designated	design	designated
that	that	that
affords	afford	affords
an	an	an
advantage	advantag	advantage
to	to	to
any	ani	any
political	polit	political
party	parti	party
,	,	,
Republican	republican	Republican
appointed	appoint	appointed
clerk	clerk	clerk
Kris	kris	Kris
Teske	tesk	Teske
wrote	wrote	wrote
.	.	.
UWGB	uwgb	UWGB
is	is	is
a	a	a
polling	poll	polling
location	locat	location
for	for	for
students	student	student
and	and	and
residents	resid	resident
on	on	on
Election	elect	Election
Day	day	Day
but	but	but
I	i	I
feel	feel	feel
by	by	by
asking	ask	asking
for	for	for
this	this	this
to	to	to
be	be	be
the	the	the
site	site	site
for	for	for
early	earli	early
voting	vote	voting
is	is	is
encouraging	encourag	encouraging
the	the	the
students	student	student
to	to	to
vote	vote	vote
more	more	more
than	than	than
benefiting	benefit	benefiting
the	the	the
city	citi	city
as	as	a
a	a	a
whole	whole	whole
.	.	.
I	i	I
have	have	have
heard	heard	heard
it	it	it
said	said	said
that	that	that
students	student	student
lean	lean	lean
more	more	more
toward	toward	toward
the	the	the
democrats	democrat	democrat
and	and	and
he	he	he
is	is	is
a	a	a
democrat	democrat	democrat
.	.	.
I	i	I
have	have	have
spoken	spoken	spoken
with	with	with
our	our	our
Chief	chief	Chief
of	of	of
Staff	staff	Staff
and	and	and
others	other	others
at	at	at
City	citi	City
Hall	hall	Hall
and	and	and
they	they	they
agree	agre	agree
that	that	that
budget	budget	budget
wise	wise	wise
this	this	this
isn	isn	isn
t	t	t
going	go	going
to	to	to
happen	happen	happen
.	.	.
I	i	I
would	would	would
like	like	like
to	to	to
know	know	know
your	your	your
thoughts	thought	thought
on	on	on
this	this	this
.	.	.
Do	do	Do
I	i	I
have	have	have
an	an	an
argument	argument	argument
about	about	about
it	it	it
being	be	being
more	more	more
of	of	of
a	a	a
benefit	benefit	benefit
to	to	to
the	the	the
democrats	democrat	democrat
.	.	.
So	so	So
not	not	not
only	onli	only
are	are	are
Trump	trump	Trump
supporters	support	supporter
trying	tri	trying
to	to	to
rig	rig	rig
the	the	the
election	elect	election
with	with	with
voter	voter	voter
intimidation	intimid	intimidation
tactics	tactic	tactic
using	use	using
hypocritical	hypocrit	hypocritical
methods	method	method
,	,	,
they	they	they
are	are	are
using	use	using
voter	voter	voter
suppression	suppress	suppression
tactics	tactic	tactic
as	as	a
well	well	well
.	.	.
And	and	And
that	that	that
is	is	is
likely	like	likely
going	go	going
to	to	to
cause	caus	cause
a	a	a
lot	lot	lot
of	of	of
Election	elect	Election
Day	day	Day
chaos	chao	chaos
.	.	.
Voters	voter	Voters
should	should	should
be	be	be
prepared	prepar	prepared
to	to	to
stand	stand	stand
up	up	up
for	for	for
their	their	their
right	right	right
to	to	to
vote	vote	vote
no	no	no
matter	matter	matter
what	what	what
Trump	trump	Trump
s	s	s
deplorables	deplor	deplorables
try	tri	try
to	to	to
do	do	do
to	to	to
keep	keep	keep
them	them	them
from	from	from
exercising	exercis	exercising
it	it	it
.	.	.
Featured	featur	Featured
Image	imag	Image
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
Images	imag	Images
