Last	last	Last
period	period	period
that	that	that
Moore	moor	Moore
is	is	is
reported	report	reported
to	to	to
have	have	have
allegedly	alleg	allegedly
called	call	called
Corfman	corfman	Corfman
purportedly	purport	purportedly
on	on	on
Corfman	corfman	Corfman
s	s	s
bedroom	bedroom	bedroom
phone	phone	phone
to	to	to
arrange	arrang	arrange
at	at	at
least	least	least
one	one	one
encounter	encount	encounter
.	.	.
The	the	The
Washington	washington	Washington
Post	post	Post
cited	cite	cited
Corfman	corfman	Corfman
as	as	a
remembering	rememb	remembering
that	that	that
she	she	she
provided	provid	provided
Moore	moor	Moore
with	with	with
her	her	her
number	number	number
when	when	when
she	she	she
was	was	wa
14	14	14
.	.	.

She	she	She
said	said	said
that	that	that
she	she	she
spoke	spoke	spoke
to	to	to
Moore	moor	Moore
from	from	from
what	what	what
she	she	she
described	describ	described
as	as	a
the	the	the
phone	phone	phone
in	in	in
her	her	her
bedroom	bedroom	bedroom
.	.	.
Today	today	Today
,	,	,
the	the	the
left	left	left
got	got	got
some	some	some
very	veri	very
bad	bad	bad
new	new	new
about	about	about
their	their	their
hit	hit	hit
job	job	job
on	on	on
Roy	roy	Roy
Moore	moor	Moore
it	it	it
appears	appear	appears
that	that	that
polls	poll	poll
show	show	show
Alabama	alabama	Alabama
voters	voter	voter
aren	aren	aren
t	t	t
buying	buy	buying
it	it	it
Breitbart	breitbart	Breitbart
News	news	News
Two	two	Two
new	new	new
polls	poll	poll
demonstrate	demonstr	demonstrate
that	that	that
GOP	gop	GOP
nominee	nomine	nominee
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
Judge	judg	Judge
Roy	roy	Roy
Moore	moor	Moore
remains	remain	remains
unaffected	unaffect	unaffected
entirely	entir	entirely
by	by	by
smears	smear	smear
in	in	in
the	the	the
Washington	washington	Washington
Post	post	Post
against	against	against
him	him	him
,	,	,
and	and	and
his	his	his
lead	lead	lead
before	befor	before
the	the	the
Post	post	Post
piece	piec	piece
on	on	on
Thursday	thursday	Thursday
afternoon	afternoon	afternoon
remains	remain	remains
intact	intact	intact
.	.	.

One	one	One
of	of	of
the	the	the
polls	poll	poll
,	,	,
which	which	which
were	were	were
both	both	both
provided	provid	provided
by	by	by
the	the	the
pollster	pollster	pollster
to	to	to
Breitbart	breitbart	Breitbart
News	news	News
exclusively	exclus	exclusively
on	on	on
Saturday	saturday	Saturday
evening	even	evening
,	,	,
was	was	wa
conducted	conduct	conducted
on	on	on
Thursday	thursday	Thursday
morning	morn	morning
before	befor	before
the	the	the
publication	public	publication
of	of	of
the	the	the
Post	post	Post
piece	piec	piece
that	that	that
afternoon	afternoon	afternoon
.	.	.

The	the	The
second	second	second
one	one	one
was	was	wa
conducted	conduct	conducted
on	on	on
Saturday	saturday	Saturday
evening	even	evening
.	.	.

Together	togeth	Together
,	,	,
they	they	they
show	show	show
Judge	judg	Judge
Moore	moor	Moore
s	s	s
lead	lead	lead
over	over	over
Democrat	democrat	Democrat
Doug	doug	Doug
Jones	jone	Jones
has	has	ha
been	been	been
virtually	virtual	virtually
unaffected	unaffect	unaffected
since	sinc	since
the	the	the
Post	post	Post
story	stori	story
came	came	came
out	out	out
.	.	.
The	the	The
first	first	first
survey	survey	survey
,	,	,
which	which	which
was	was	wa
conducted	conduct	conducted
entirely	entir	entirely
before	befor	before
noon	noon	noon
local	local	local
time	time	time
on	on	on
Thursday	thursday	Thursday
,	,	,
shows	show	show
Moore	moor	Moore
leading	lead	leading
Jones	jone	Jones
by	by	by
50	50	50
percent	percent	percent
to	to	to
39	39	39
.	.	.
2	2	2
percent	percent	percent
with	with	with
10	10	10
.	.	.
8	8	8
percent	percent	percent
undecided	undecid	undecided
.	.	.

That	that	That
survey	survey	survey
of	of	of
1	1	1
,	,	,
354	354	354
likely	like	likely
voters	voter	voter
in	in	in
the	the	the
upcoming	upcom	upcoming
Dec	dec	Dec
.	.	.

12	12	12
special	special	special
election	elect	election
has	has	ha
a	a	a
margin	margin	margin
of	of	of
error	error	error
of	of	of
3	3	3
.	.	.
5	5	5
percent	percent	percent
.	.	.
The	the	The
second	second	second
survey	survey	survey
,	,	,
conducted	conduct	conducted
Saturday	saturday	Saturday
evening	even	evening
two	two	two
days	day	day
after	after	after
the	the	the
Post	post	Post
piece	piec	piece
hit	hit	hit
,	,	,
roiling	roil	roiling
Alabama	alabama	Alabama
s	s	s
political	polit	political
scene	scene	scene
shows	show	show
Moore	moor	Moore
and	and	and
Jones	jone	Jones
with	with	with
about	about	about
the	the	the
exact	exact	exact
same	same	same
percentages	percentag	percentage
as	as	a
before	befor	before
.	.	.

Moore	moor	Moore
s	s	s
position	posit	position
in	in	in
this	this	this
second	second	second
poll	poll	poll
is	is	is
49	49	49
.	.	.
8	8	8
percent	percent	percent
meaning	mean	meaning
he	he	he
only	onli	only
dropped	drop	dropped
0	0	0
.	.	.
2	2	2
percent	percent	percent
since	sinc	since
the	the	the
story	stori	story
hit	hit	hit
and	and	and
Jones	jone	Jones
has	has	ha
only	onli	only
picked	pick	picked
up	up	up
0	0	0
.	.	.
4	4	4
percent	percent	percent
to	to	to
reach	reach	reach
39	39	39
.	.	.
6	6	6
percent	percent	percent
total	total	total
.	.	.

The	the	The
second	second	second
survey	survey	survey
,	,	,
which	which	which
polled	poll	polled
1	1	1
,	,	,
536	536	536
likely	like	likely
voters	voter	voter
with	with	with
a	a	a
margin	margin	margin
of	of	of
error	error	error
of	of	of
3	3	3
.	.	.
3	3	3
percent	percent	percent
,	,	,
has	has	ha
10	10	10
.	.	.
5	5	5
percent	percent	percent
as	as	a
undecided	undecid	undecided
.	.	.

The	the	The
polling	poll	polling
between	between	between
Thursday	thursday	Thursday
morning	morn	morning
and	and	and
Saturday	saturday	Saturday
showed	show	showed
far	far	far
less	less	le
movement	movement	movement
than	than	than
I	i	I
originally	origin	originally
expected	expect	expected
,	,	,
pollster	pollster	pollster
John	john	John
Wahl	wahl	Wahl
told	told	told
Breitbart	breitbart	Breitbart
News	news	News
.	.	.

The	the	The
controversy	controversi	controversy
surrounding	surround	surrounding
the	the	the
Washington	washington	Washington
Post	post	Post
article	articl	article
seems	seem	seems
to	to	to
have	have	have
galvanized	galvan	galvanized
the	the	the
support	support	support
of	of	of
both	both	both
candidates	candid	candidate
,	,	,
but	but	but
not	not	not
changed	chang	changed
the	the	the
actual	actual	actual
percentages	percentag	percentage
in	in	in
a	a	a
significant	signific	significant
manner	manner	manner
.	.	.

The	the	The
Moore	moor	Moore
campaign	campaign	campaign
has	has	ha
already	alreadi	already
weathered	weather	weathered
a	a	a
considerable	consider	considerable
amount	amount	amount
of	of	of
political	polit	political
attacks	attack	attack
during	dure	during
this	this	this
campaign	campaign	campaign
season	season	season
,	,	,
and	and	and
I	i	I
expect	expect	expect
most	most	most
of	of	of
his	his	his
lightest	lightest	lightest
support	support	support
to	to	to
have	have	have
blown	blown	blown
off	off	off
during	dure	during
these	these	these
attacks	attack	attack
.	.	.

His	his	His
current	current	current
support	support	support
level	level	level
is	is	is
holding	hold	holding
fairly	fair	fairly
steady	steadi	steady
.	.	.

Another	anoth	Another
liberal	liber	liberal
publication	public	publication
,	,	,
The	the	The
Hill	hill	Hill
,	,	,
reported	report	reported
that	that	that
Moore	moor	Moore
was	was	wa
losing	lose	losing
in	in	in
the	the	the
polls	poll	poll
to	to	to
Jones	jone	Jones
after	after	after
the	the	the
hit	hit	hit
piece	piec	piece
on	on	on
Moore	moor	Moore
was	was	wa
published	publish	published
in	in	in
the	the	the
Washington	washington	Washington
Post	post	Post
.	.	.
The	the	The
Hill	hill	Hill
-Democrat	-democrat	-Democrat
Doug	doug	Doug
Jones	jone	Jones
is	is	is
leading	lead	leading
Republican	republican	Republican
Roy	roy	Roy
Moore	moor	Moore
in	in	in
Alabama	alabama	Alabama
s	s	s
Senate	senat	Senate
race	race	race
in	in	in
the	the	the
wake	wake	wake
of	of	of
explosive	explos	explosive
accusations	accus	accusation
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
against	against	against
Moore	moor	Moore
,	,	,
according	accord	according
to	to	to
a	a	a
new	new	new
poll	poll	poll
released	releas	released
Sunday	sunday	Sunday
.	.	.
Forty	forti	Forty
-six	-six	-six
percent	percent	percent
of	of	of
likely	like	likely
voters	voter	voter
polled	poll	polled
said	said	said
they	they	they
would	would	would
vote	vote	vote
for	for	for
Jones	jone	Jones
,	,	,
while	while	while
42	42	42
percent	percent	percent
said	said	said
they	they	they
would	would	would
vote	vote	vote
for	for	for
Moore	moor	Moore
,	,	,
according	accord	according
to	to	to
the	the	the
Louisiana	louisiana	Louisiana
-based	-base	-based
JMC	jmc	JMC
Analytics	analyt	Analytics
and	and	and
Polling	poll	Polling
.	.	.
The	the	The
survey	survey	survey
was	was	wa
conducted	conduct	conducted
on	on	on
Nov	nov	Nov
.	.	.

9	9	9
and	and	and
Nov	nov	Nov
.	.	.

11	11	11
,	,	,
after	after	after
The	the	The
Washington	washington	Washington
Post	post	Post
reported	report	reported
that	that	that
a	a	a
woman	woman	woman
said	said	said
Moore	moor	Moore
had	had	had
initiated	initi	initiated
a	a	a
sexual	sexual	sexual
encounter	encount	encounter
with	with	with
her	her	her
in	in	in
1979	1979	1979
,	,	,
when	when	when
she	she	she
was	was	wa
14	14	14
years	year	year
old	old	old
and	and	and
he	he	he
was	was	wa
32	32	32
.	.	.
The	the	The
RealClearPolitics	realclearpolit	RealClearPolitics
poll	poll	poll
has	has	ha
Moore	moor	Moore
and	and	and
Jones	jone	Jones
tied	tie	tied
.	.	.

The	the	The
poll	poll	poll
showing	show	showing
Moore	moor	Moore
losing	lose	losing
to	to	to
Jones	jone	Jones
was	was	wa
conducted	conduct	conducted
by	by	by
JMP	jmp	JMP
,	,	,
the	the	the
same	same	same
polling	poll	polling
operation	oper	operation
who	who	who
gave	gave	gave
us	us	u
this	this	this
hilariously	hilari	hilariously
inaccurate	inaccur	inaccurate
poll	poll	poll
,	,	,
only	onli	only
one	one	one
week	week	week
before	befor	before
the	the	the
general	general	general
election	elect	election
in	in	in
2016	2016	2016
We	we	We
re	re	re
gonna	gonna	gonna
go	go	go
out	out	out
on	on	on
a	a	a
limb	limb	limb
,	,	,
and	and	and
say	say	say
that	that	that
this	this	this
so	so	so
-called	-call	-called
scandal	scandal	scandal
involving	involv	involving
Judge	judg	Judge
Roy	roy	Roy
Moore	moor	Moore
is	is	is
going	go	going
to	to	to
backfire	backfir	backfire
spectacularly	spectacular	spectacularly
on	on	on
the	the	the
left	left	left
,	,	,
and	and	and
will	will	will
ultimately	ultim	ultimately
only	onli	only
shine	shine	shine
a	a	a
spotlight	spotlight	spotlight
on	on	on
the	the	the
hypocrisy	hypocrisi	hypocrisy
of	of	of
the	the	the
Democrat	democrat	Democrat
Party	parti	Party
,	,	,
who	who	who
ignored	ignor	ignored
the	the	the
sexual	sexual	sexual
misconduct	misconduct	misconduct
of	of	of
former	former	former
President	presid	President
Bill	bill	Bill
Clinton	clinton	Clinton
and	and	and
his	his	his
enabling	enabl	enabling
wife	wife	wife
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
decades	decad	decade
.	.	.

