On	on	On
Mountain	mountain	Mountain
as	as	a
they	they	they
vie	vie	vie
for	for	for
the	the	the
GOP	gop	GOP
nomination	nomin	nomination
.	.	.
The	the	The
words	word	word
of	of	of
Trump	trump	Trump
or	or	or
any	ani	any
of	of	of
his	his	his
colleagues	colleagu	colleague
,	,	,
the	the	the
Vice	vice	Vice
President	presid	President
said	said	said
,	,	,
is	is	is
the	the	the
antithesis	antithesi	antithesis
of	of	of
how	how	how
most	most	most
Americans	american	Americans
feel	feel	feel
It	it	It
s	s	s
a	a	a
heated	heat	heated
campaign	campaign	campaign
season	season	season
and	and	and
I	i	I
just	just	just
want	want	want
you	you	you
to	to	to
know	know	know
,	,	,
Mr	mr	Mr
.	.	.
President	presid	President
,	,	,
that	that	that
the	the	the
most	most	most
heated	heat	heated
rhetoric	rhetor	rhetoric
you	you	you
ve	ve	ve
heard	heard	heard
from	from	from
competitors	competitor	competitor
for	for	for
the	the	the
nomination	nomin	nomination
for	for	for
president	presid	president
is	is	is
not	not	not
who	who	who
we	we	we
are	are	are
as	as	a
the	the	the
American	american	American
people	peopl	people
.	.	.
It	it	It
is	is	is
not	not	not
the	the	the
view	view	view
that	that	that
is	is	is
the	the	the
view	view	view
of	of	of
the	the	the
majority	major	majority
of	of	of
the	the	the
American	american	American
people	peopl	people
.	.	.
It	it	It
s	s	s
the	the	the
exact	exact	exact
opposite	opposit	opposite
.	.	.
It	it	It
s	s	s
the	the	the
opposite	opposit	opposite
view	view	view
.	.	.
The	the	The
GOP	gop	GOP
s	s	s
rhetoric	rhetor	rhetoric
toward	toward	toward
Hispanics	hispan	Hispanics
has	has	ha
been	been	been
rather	rather	rather
hateful	hate	hateful
,	,	,
but	but	but
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
attracted	attract	attracted
the	the	the
most	most	most
scrutiny	scrutini	scrutiny
with	with	with
his	his	his
assertion	assert	assertion
that	that	that
the	the	the
Mexican	mexican	Mexican
Government	govern	Government
sends	send	sends
people	peopl	people
to	to	to
the	the	the
United	unit	United
States	state	States
people	peopl	people
who	who	who
,	,	,
according	accord	according
to	to	to
the	the	the
billionaire	billionair	billionaire
bankruptcy	bankruptci	bankruptcy
expert	expert	expert
,	,	,
are	are	are
all	all	all
rapists	rapist	rapist
,	,	,
drug	drug	drug
dealers	dealer	dealer
,	,	,
and	and	and
murderers	murder	murderer
.	.	.
In	in	In
fact	fact	fact
,	,	,
he	he	he
plans	plan	plan
to	to	to
build	build	build
a	a	a
wall	wall	wall
and	and	and
force	forc	force
Mexico	mexico	Mexico
to	to	to
pay	pay	pay
for	for	for
it	it	it
,	,	,
because	becaus	because
Trump	trump	Trump
is	is	is
apparently	appar	apparently
too	too	too
stupid	stupid	stupid
to	to	to
realize	realiz	realize
that	that	that
tunnels	tunnel	tunnel
are	are	are
a	a	a
thing	thing	thing
.	.	.
Trump	trump	Trump
s	s	s
hate	hate	hate
is	is	is
so	so	so
pervasive	pervas	pervasive
that	that	that
two	two	two
former	former	former
Mexican	mexican	Mexican
Presidents	presid	Presidents
have	have	have
recently	recent	recently
spoken	spoken	spoken
up	up	up
in	in	in
opposition	opposit	opposition
to	to	to
the	the	the
horrible	horribl	horrible
rhetoric	rhetor	rhetoric
spouted	spout	spouted
at	at	at
any	ani	any
of	of	of
his	his	his
rallies	ralli	rally
.	.	.
In	in	In
early	earli	early
February	februari	February
,	,	,
Felipe	felip	Felipe
Calderon	calderon	Calderon
informed	inform	informed
Trump	trump	Trump
that	that	that
it	it	it
is	is	is
extremely	extrem	extremely
unlikely	unlik	unlikely
that	that	that
his	his	his
country	countri	country
would	would	would
build	build	build
his	his	his
signature	signatur	signature
campaign	campaign	campaign
promise	promis	promise
We	we	We
are	are	are
not	not	not
going	go	going
to	to	to
pay	pay	pay
any	ani	any
single	singl	single
cent	cent	cent
for	for	for
such	such	such
a	a	a
stupid	stupid	stupid
wall	wall	wall
!	!	!
And	and	And
it	it	it
s	s	s
going	go	going
to	to	to
be	be	be
completely	complet	completely
useless	useless	useless
.	.	.
No	no	No
offense	offens	offense
,	,	,
no	no	no
offense	offens	offense
to	to	to
America	america	America
.	.	.
So	so	So
Donald	donald	Donald
Trump	trump	Trump
is	is	is
ambitious	ambiti	ambitious
but	but	but
not	not	not
exactly	exact	exactly
very	veri	very
well	well	well
-informed	-inform	-informed
man	man	man
,	,	,
I	i	I
don	don	don
t	t	t
want	want	want
to	to	to
say	say	say
ignorant	ignor	ignorant
,	,	,
but	but	but
he	he	he
is	is	is
not	not	not
very	veri	very
well	well	well
informed	inform	informed
.	.	.
Later	later	Later
in	in	in
the	the	the
month	month	month
,	,	,
former	former	former
President	presid	President
Vicente	vicent	Vicente
Fox	fox	Fox
was	was	wa
a	a	a
bit	bit	bit
more	more	more
blunt	blunt	blunt
I	i	I
declare	declar	declare
.	.	.
I	i	I
m	m	m
not	not	not
gonna	gonna	gonna
pay	pay	pay
for	for	for
that	that	that
f	f	f
cking	cking	cking
wall	wall	wall
!	!	!
Trump	trump	Trump
s	s	s
anti	anti	anti
-Hispanic	-hispan	-Hispanic
hate	hate	hate
speech	speech	speech
has	has	ha
even	even	even
inspired	inspir	inspired
violence	violenc	violence
against	against	against
a	a	a
completely	complet	completely
legal	legal	legal
homeless	homeless	homeless
man	man	man
.	.	.
In	in	In
August	august	August
,	,	,
two	two	two
men	men	men
inspired	inspir	inspired
by	by	by
Donald	donald	Donald
declared	declar	declared
that	that	that
the	the	the
billionaire	billionair	billionaire
was	was	wa
right	right	right
before	befor	before
beating	beat	beating
the	the	the
helpless	helpless	helpless
and	and	and
unarmed	unarm	unarmed
man	man	man
with	with	with
a	a	a
metal	metal	metal
pipe	pipe	pipe
and	and	and
urinating	urin	urinating
on	on	on
him	him	him
.	.	.
Rather	rather	Rather
than	than	than
condemn	condemn	condemn
the	the	the
attack	attack	attack
,	,	,
Trump	trump	Trump
called	call	called
the	the	the
men	men	men
passionate	passion	passionate
individuals	individu	individual
who	who	who
want	want	want
to	to	to
make	make	make
America	america	America
great	great	great
again	again	again
.	.	.
It	it	It
is	is	is
impressive	impress	impressive
that	that	that
Biden	biden	Biden
would	would	would
take	take	take
it	it	it
upon	upon	upon
himself	himself	himself
to	to	to
apologize	apolog	apologize
but	but	but
those	those	those
who	who	who
truly	truli	truly
bear	bear	bear
the	the	the
shame	shame	shame
are	are	are
our	our	our
frenemies	frenemi	frenemies
on	on	on
the	the	the
Right	right	Right
.	.	.
Unfortunately	unfortun	Unfortunately
,	,	,
they	they	they
will	will	will
never	never	never
apologize	apolog	apologize
because	becaus	because
they	they	they
are	are	are
incapable	incap	incapable
of	of	of
feeling	feel	feeling
shame	shame	shame
.	.	.
Watch	watch	Watch
Biden	biden	Biden
apologize	apolog	apologize
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab
