Prof	prof	Prof
lives	live	life
and	and	and
could	could	could
hasten	hasten	hasten
the	the	the
end	end	end
of	of	of
the	the	the
conflict	conflict	conflict
.	.	.
I	i	I
am	am	am
well	well	well
aware	awar	aware
of	of	of
the	the	the
really	realli	really
legitimate	legitim	legitimate
concerns	concern	concern
you	you	you
have	have	have
expressed	express	expressed
from	from	from
both	both	both
the	the	the
president	presid	president
and	and	and
the	the	the
general	general	general
,	,	,
Clinton	clinton	Clinton
said	said	said
in	in	in
response	respons	response
to	to	to
a	a	a
question	question	question
from	from	from
Fox	fox	Fox
News	news	News
debate	debat	debate
moderator	moder	moderator
Chris	chris	Chris
Wallace	wallac	Wallace
.	.	.
This	this	This
would	would	would
not	not	not
be	be	be
done	done	done
just	just	just
on	on	on
the	the	the
first	first	first
day	day	day
.	.	.
This	this	This
would	would	would
take	take	take
a	a	a
lot	lot	lot
of	of	of
negotiation	negoti	negotiation
and	and	and
would	would	would
also	also	also
take	take	take
making	make	making
it	it	it
clear	clear	clear
to	to	to
the	the	the
Russians	russian	Russians
and	and	and
Syrians	syrian	Syrians
that	that	that
our	our	our
purpose	purpos	purpose
here	here	here
was	was	wa
to	to	to
provide	provid	provide
safe	safe	safe
zones	zone	zone
on	on	on
the	the	the
ground	ground	ground
I	i	I
think	think	think
we	we	we
could	could	could
strike	strike	strike
a	a	a
deal	deal	deal
and	and	and
make	make	make
it	it	it
clear	clear	clear
to	to	to
the	the	the
Russians	russian	Russians
and	and	and
the	the	the
Syrians	syrian	Syrians
that	that	that
this	this	this
was	was	wa
something	someth	something
that	that	that
we	we	we
believe	believ	believe
was	was	wa
in	in	in
the	the	the
best	best	best
interest	interest	interest
of	of	of
the	the	the
people	peopl	people
on	on	on
the	the	the
ground	ground	ground
in	in	in
Syria	syria	Syria
.	.	.
Fox	fox	Fox
News	news	News
,	,	,
emphasis	emphasi	emphasis
added	ad	added
At	at	At
present	present	present
,	,	,
under	under	under
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
the	the	the
joint	joint	joint
chiefs	chief	chief
of	of	of
staff	staff	staff
are	are	are
opposed	oppos	opposed
to	to	to
the	the	the
No	no	No
Fly	fli	Fly
zone	zone	zone
.	.	.
The	the	The
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
are	are	are
appointed	appoint	appointed
by	by	by
the	the	the
Secretary	secretari	Secretary
of	of	of
Defense	defens	Defense
.	.	.
Under	under	Under
a	a	a
Clinton	clinton	Clinton
presidency	presid	presidency
,	,	,
a	a	a
new	new	new
Secretary	secretari	Secretary
of	of	of
Defense	defens	Defense
as	as	a
well	well	well
as	as	a
a	a	a
new	new	new
Chairman	chairman	Chairman
of	of	of
the	the	the
joint	joint	joint
chiefs	chief	chief
of	of	of
staff	staff	staff
,	,	,
firmly	firm	firmly
committed	commit	committed
to	to	to
A	a	A
No	no	No
fly	fli	fly
Zone	zone	Zone
over	over	over
Syria	syria	Syria
would	would	would
be	be	be
appointed	appoint	appointed
.	.	.
Mich	mich	Mich
le	le	le
Angelique	angeliqu	Angelique
Flournoy	flournoy	Flournoy
,	,	,
a	a	a
former	former	former
Under	under	Under
Secretary	secretari	Secretary
of	of	of
Defense	defens	Defense
for	for	for
Policy	polici	Policy
is	is	is
Hillary	hillari	Hillary
s	s	s
choice	choic	choice
for	for	for
the	the	the
position	posit	position
of	of	of
Secretary	secretari	Secretary
of	of	of
Defense	defens	Defense
,	,	,
who	who	who
favors	favor	favor
the	the	the
No	no	No
Fly	fli	Fly
Zone	zone	Zone
option	option	option
.	.	.
According	accord	According
to	to	to
Defense	defens	Defense
One	one	One
The	the	The
woman	woman	woman
expected	expect	expected
to	to	to
run	run	run
the	the	the
Pentagon	pentagon	Pentagon
under	under	under
Hillary	hillari	Hillary
Clinton	clinton	Clinton
said	said	said
she	she	she
would	would	would
direct	direct	direct
U	u	U
.	.	.
S	s	S
.	.	.
troops	troop	troop
to	to	to
push	push	push
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
s	s	s
forces	forc	force
out	out	out
of	of	of
southern	southern	southern
Syria	syria	Syria
and	and	and
would	would	would
send	send	send
more	more	more
American	american	American
boots	boot	boot
to	to	to
fight	fight	fight
the	the	the
Islamic	islam	Islamic
State	state	State
in	in	in
the	the	the
region	region	region
.	.	.
Confirmed	confirm	Confirmed
by	by	by
the	the	the
Leaked	leak	Leaked
Emails	email	Emails
Michele	michel	Michele
Flournoy	flournoy	Flournoy
is	is	is
a	a	a
crony	croni	crony
of	of	of
the	the	the
Clintons	clinton	Clintons
.	.	.
She	she	She
has	has	ha
called	call	called
for	for	for
limited	limit	limited
military	militari	military
coercion	coercion	coercion
to	to	to
help	help	help
remove	remov	remove
Assad	assad	Assad
from	from	from
power	power	power
in	in	in
Syria	syria	Syria
,	,	,
including	includ	including
a	a	a
no	no	no
bombing	bomb	bombing
zone	zone	zone
over	over	over
parts	part	part
of	of	of
Syria	syria	Syria
held	held	held
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
rebels	rebel	rebel
.	.	.
This	this	This
is	is	is
tantamount	tantamount	tantamount
to	to	to
a	a	a
no	no	no
fly	fli	fly
zone	zone	zone
to	to	to
protect	protect	protect
the	the	the
terrorists	terrorist	terrorist
including	includ	including
ISIS	isi	ISIS
Daesh	daesh	Daesh
from	from	from
actions	action	action
by	by	by
Syrian	syrian	Syrian
and	and	and
Russian	russian	Russian
forces	forc	force
.	.	.
According	accord	According
to	to	to
Defense	defens	Defense
One	one	One
Flournoy	flournoy	Flournoy
did	did	did
not	not	not
deny	deni	deny
the	the	the
entire	entir	entire
report	report	report
that	that	that
she	she	she
favors	favor	favor
increased	increas	increased
U	u	U
.	.	.
S	s	S
.	.	.
intervention	intervent	intervention
;	;	;
for	for	for
instance	instanc	instance
,	,	,
she	she	she
acknowledged	acknowledg	acknowledged
her	her	her
support	support	support
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
strikes	strike	strike
using	use	using
standoff	standoff	standoff
weapons	weapon	weapon
to	to	to
retaliate	retali	retaliate
against	against	against
Syrian	syrian	Syrian
military	militari	military
targets	target	target
to	to	to
enforce	enforc	enforce
the	the	the
no	no	no
-bomb	-bomb	-bomb
zone	zone	zone
Continue	continu	Continue
this	this	this
article	articl	article
at	at	at
Global	global	Global
ResearchREAD	researchread	ResearchREAD
MORE	more	MORE
HILLARY	hillari	HILLARY
NEWS	news	NEWS
AT	at	AT
21st	21st	21st
Century	centuri	Century
Wire	wire	Wire
Clinton	clinton	Clinton
Files	file	Files
