Former	former	Former
statement	statement	statement
to	to	to
make	make	make
.	.	.

Maybe	mayb	Maybe
if	if	if
has	has	ha
-been	-been	-been
Tea	tea	Tea
Party	parti	Party
politicians	politician	politician
such	such	such
as	as	a
Walsh	walsh	Walsh
didn	didn	didn
t	t	t
say	say	say
things	thing	thing
like	like	like
Obama	obama	Obama
has	has	ha
done	done	done
nothing	noth	nothing
but	but	but
hate	hate	hate
on	on	on
cops	cop	cop
repeatedly	repeat	repeatedly
on	on	on
social	social	social
media	media	medium
and	and	and
on	on	on
television	televis	television
,	,	,
then	then	then
those	those	those
average	averag	average
people	peopl	people
might	might	might
not	not	not
be	be	be
so	so	so
quick	quick	quick
to	to	to
jump	jump	jump
to	to	to
the	the	the
conclusion	conclus	conclusion
that	that	that
President	presid	President
Obama	obama	Obama
hates	hate	hate
police	polic	police
officers	offic	officer
.	.	.

You	you	You
would	would	would
think	think	think
that	that	that
a	a	a
self	self	self
-identifying	-identifi	-identifying
above	abov	above
average	averag	average
person	person	person
like	like	like
Walsh	walsh	Walsh
would	would	would
understand	understand	understand
that	that	that
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
segment	segment	segment
below	below	below
.	.	.
https://www.youtube.com/watch?v=jmENSX7lQigFeatured	https://www.youtube.com/watch?v=jmensx7lqigfeatur	https://www.youtube.com/watch?v=jmENSX7lQigFeatured
image	imag	image
from	from	from
video	video	video
screenshot	screenshot	screenshot

