If	if	If
impeachment	impeach	impeachment
proceedings	proceed	proceeding
against	against	against
former	former	former
President	presid	President
Richard	richard	Richard
Nixon	nixon	Nixon
during	dure	during
the	the	the
Watergate	waterg	Watergate
scandal	scandal	scandal
.	.	.
Republican	republican	Republican
analyst	analyst	analyst
David	david	David
Gergen	gergen	Gergen
delivered	deliv	delivered
that	that	that
explanation	explan	explanation
during	dure	during
a	a	a
segment	segment	segment
on	on	on
CNN	cnn	CNN
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
When	when	When
Anderson	anderson	Anderson
Cooper	cooper	Cooper
asked	ask	asked
Gergen	gergen	Gergen
to	to	to
weigh	weigh	weigh
in	in	in
,	,	,
the	the	the
longtime	longtim	longtime
Republican	republican	Republican
said	said	said
that	that	that
Trump	trump	Trump
has	has	ha
entered	enter	entered
impeachment	impeach	impeachment
territory	territori	territory
.	.	.
I	i	I
was	was	wa
in	in	in
the	the	the
Nixon	nixon	Nixon
Administration	administr	Administration
as	as	a
you	you	you
know	know	know
and	and	and
I	i	I
thought	thought	thought
after	after	after
watching	watch	watching
the	the	the
Clinton	clinton	Clinton
impeachment	impeach	impeachment
,	,	,
I	i	I
thought	thought	thought
I	i	I
would	would	would
never	never	never
see	see	see
another	anoth	another
one	one	one
,	,	,
Gergen	gergen	Gergen
began	began	began
.	.	.
But	but	But
I	i	I
think	think	think
we	we	we
re	re	re
in	in	in
impeachment	impeach	impeachment
territory	territori	territory
for	for	for
the	the	the
first	first	first
time	time	time
.	.	.
The	the	The
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
was	was	wa
the	the	the
number	number	number
one	one	one
charge	charg	charge
against	against	against
Nixon	nixon	Nixon
that	that	that
brought	brought	brought
him	him	him
down	down	down
.	.	.
Obstruction	obstruct	Obstruction
of	of	of
justice	justic	justice
was	was	wa
the	the	the
number	number	number
one	one	one
charge	charg	charge
against	against	against
Bill	bill	Bill
Clinton	clinton	Clinton
,	,	,
Gergen	gergen	Gergen
continued	continu	continued
.	.	.
It	it	It
looks	look	look
like	like	like
he	he	he
was	was	wa
trying	tri	trying
to	to	to
impede	imped	impede
the	the	the
investigation	investig	investigation
.	.	.
He	he	He
was	was	wa
using	use	using
his	his	his
power	power	power
to	to	to
do	do	do
that	that	that
,	,	,
and	and	and
when	when	when
James	jame	James
Comey	comey	Comey
didn	didn	didn
t	t	t
go	go	go
along	along	along
with	with	with
him	him	him
,	,	,
when	when	when
he	he	he
wasn	wasn	wasn
t	t	t
his	his	his
boy	boy	boy
,	,	,
he	he	he
fired	fire	fired
him	him	him
This	this	This
is	is	is
of	of	of
enormous	enorm	enormous
consequence	consequ	consequence
for	for	for
his	his	his
presidency	presid	presidency
.	.	.
Gergen	gergen	Gergen
then	then	then
concluded	conclud	concluded
that	that	that
all	all	all
the	the	the
bombshells	bombshel	bombshell
dropped	drop	dropped
over	over	over
the	the	the
last	last	last
week	week	week
,	,	,
including	includ	including
Comey	comey	Comey
s	s	s
firing	fire	firing
,	,	,
sharing	share	sharing
classified	classifi	classified
intelligence	intellig	intelligence
with	with	with
the	the	the
Russians	russian	Russians
,	,	,
and	and	and
the	the	the
revelation	revel	revelation
that	that	that
Trump	trump	Trump
asked	ask	asked
Comey	comey	Comey
to	to	to
drop	drop	drop
the	the	the
investigation	investig	investigation
are	are	are
causing	caus	causing
Trump	trump	Trump
s	s	s
presidency	presid	presidency
to	to	to
unravel	unravel	unravel
.	.	.
What	what	What
we	we	we
see	see	see
is	is	is
a	a	a
presidency	presid	presidency
that	that	that
s	s	s
starting	start	starting
to	to	to
come	come	come
apart	apart	apart
,	,	,
Gergen	gergen	Gergen
said	said	said
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
.	.	.
It	it	It
is	is	is
now	now	now
clear	clear	clear
that	that	that
Trump	trump	Trump
fired	fire	fired
Comey	comey	Comey
because	becaus	because
he	he	he
refused	refus	refused
to	to	to
drop	drop	drop
the	the	the
investigation	investig	investigation
.	.	.
That	that	That
is	is	is
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
and	and	and
should	should	should
result	result	result
in	in	in
Trump	trump	Trump
being	be	being
impeached	impeach	impeached
.	.	.
Of	of	Of
course	cours	course
,	,	,
Republicans	republican	Republicans
in	in	in
Congress	congress	Congress
have	have	have
no	no	no
interest	interest	interest
in	in	in
impeaching	impeach	impeaching
Trump	trump	Trump
.	.	.
That	that	That
would	would	would
require	requir	require
having	have	having
the	the	the
courage	courag	courage
and	and	and
a	a	a
soul	soul	soul
.	.	.
Featured	featur	Featured
Image	imag	Image
Screenshot	screenshot	Screenshot
