Brooklyn	brooklyn	Brooklyn
NYPD	nypd	NYPD
on	on	on
campus	campus	campus
in	in	in
any	ani	any
respect	respect	respect
even	even	even
if	if	if
it	it	it
s	s	s
just	just	just
to	to	to
take	take	take
breaks	break	break
and	and	and
use	use	use
bathrooms	bathroom	bathroom
.	.	.

After	after	After
discovering	discov	discovering
The	the	The
Excelsior	excelsior	Excelsior
s	s	s
report	report	report
,	,	,
The	the	The
New	new	New
York	york	York
Post	post	Post
took	took	took
a	a	a
trip	trip	trip
to	to	to
the	the	the
WEB	web	WEB
,	,	,
where	where	where
officers	offic	officer
are	are	are
now	now	now
encouraged	encourag	encouraged
to	to	to
use	use	use
the	the	the
bathroom	bathroom	bathroom
,	,	,
and	and	and
found	found	found
an	an	an
out	out	out
of	of	of
order	order	order
sign	sign	sign
on	on	on
the	the	the
stall	stall	stall
door	door	door
,	,	,
with	with	with
a	a	a
dirty	dirti	dirty
and	and	and
broken	broken	broken
toilet	toilet	toilet
on	on	on
the	the	the
inside	insid	inside
.	.	.

The	the	The
bathroom	bathroom	bathroom
is	is	is
horrendous	horrend	horrendous
.	.	.

You	you	You
can	can	can
only	onli	only
wash	wash	wash
your	your	your
hands	hand	hand
in	in	in
one	one	one
of	of	of
the	the	the
sinks	sink	sink
because	becaus	because
the	the	the
other	other	other
two	two	two
are	are	are
broken	broken	broken
,	,	,
one	one	one
student	student	student
told	told	told
the	the	the
Post	post	Post
,	,	,
though	though	though
others	other	others
argued	argu	argued
that	that	that
NYPD	nypd	NYPD
should	should	should
not	not	not
be	be	be
allowed	allow	allowed
on	on	on
campus	campus	campus
at	at	at
all	all	all
.	.	.

I	i	I
know	know	know
students	student	student
from	from	from
every	everi	every
background	background	background
and	and	and
across	across	across
every	everi	every
major	major	major
.	.	.

They	they	They
don	don	don
t	t	t
feel	feel	feel
comfortable	comfort	comfortable
around	around	around
cops	cop	cop
.	.	.

They	they	They
just	just	just
don	don	don
t	t	t
.	.	.

It	it	It
makes	make	make
safe	safe	safe
spaces	space	space
feel	feel	feel
not	not	not
so	so	so
safe	safe	safe
,	,	,
one	one	one
unidentified	unidentifi	unidentified
student	student	student
remarked	remark	remarked
,	,	,
with	with	with
another	anoth	another
telling	tell	telling
the	the	the
Post	post	Post
that	that	that
it	it	it
s	s	s
weird	weird	weird
seeing	see	seeing
cops	cop	cop
on	on	on
campus	campus	campus
.	.	.
But	but	But
members	member	member
of	of	of
the	the	the
NYPD	nypd	NYPD
who	who	who
monitor	monitor	monitor
the	the	the
neighborhood	neighborhood	neighborhood
surrounding	surround	surrounding
the	the	the
school	school	school
told	told	told
the	the	the
Post	post	Post
that	that	that
the	the	the
student	student	student
sentiments	sentiment	sentiment
are	are	are
insane	insan	insane
.	.	.

Campus	campus	Campus
Reform	reform	Reform

