Former	former	Former
Hollywood	hollywood	Hollywood
tape	tape	tape
may	may	may
not	not	not
be	be	be
authentic	authent	authentic
.	.	.
But	but	But
something	someth	something
deeper	deeper	deeper
has	has	ha
been	been	been
consuming	consum	consuming
Mr	mr	Mr
.	.	.
Trump	trump	Trump
.	.	.
He	he	He
sees	see	see
the	the	the
calls	call	call
for	for	for
Mr	mr	Mr
.	.	.
Moore	moor	Moore
to	to	to
step	step	step
aside	asid	aside
as	as	a
a	a	a
version	version	version
of	of	of
the	the	the
response	respons	response
to	to	to
the	the	the
now	now	now
-famous	-famous	-famous
Access	access	Access
Hollywood	hollywood	Hollywood
tape	tape	tape
,	,	,
in	in	in
which	which	which
he	he	he
boasted	boast	boasted
about	about	about
grabbing	grab	grabbing
women	women	woman
s	s	s
genitalia	genitalia	genitalia
,	,	,
and	and	and
the	the	the
flood	flood	flood
of	of	of
groping	grope	groping
accusations	accus	accusation
against	against	against
him	him	him
that	that	that
followed	follow	followed
soon	soon	soon
after	after	after
.	.	.
He	he	He
suggested	suggest	suggested
to	to	to
a	a	a
senator	senat	senator
earlier	earlier	earlier
this	this	this
year	year	year
that	that	that
it	it	it
was	was	wa
not	not	not
authentic	authent	authentic
,	,	,
and	and	and
repeated	repeat	repeated
that	that	that
claim	claim	claim
to	to	to
an	an	an
adviser	advis	adviser
more	more	more
recently	recent	recently
.	.	.
So	so	So
,	,	,
to	to	to
reiterate	reiter	reiterate
,	,	,
Trump	trump	Trump
told	told	told
an	an	an
adviser	advis	adviser
recently	recent	recently
that	that	that
the	the	the
video	video	video
and	and	and
tape	tape	tape
of	of	of
him	him	him
talking	talk	talking
about	about	about
perving	perv	perving
on	on	on
women	women	woman
is	is	is
fake	fake	fake
news	news	news
.	.	.
And	and	And
he	he	he
also	also	also
told	told	told
that	that	that
to	to	to
a	a	a
Senator	senat	Senator
after	after	after
it	it	it
was	was	wa
released	releas	released
.	.	.
We	we	We
see	see	see
a	a	a
pattern	pattern	pattern
here	here	here
.	.	.
Maybe	mayb	Maybe
Trump	trump	Trump
s	s	s
cult	cult	cult
-like	-like	-like
following	follow	following
will	will	will
believe	believ	believe
this	this	this
crap	crap	crap
but	but	but
the	the	the
rest	rest	rest
of	of	of
us	us	u
remember	rememb	remember
that	that	that
tape	tape	tape
all	all	all
too	too	too
well	well	well
.	.	.
That	that	That
tape	tape	tape
was	was	wa
an	an	an
indicating	indic	indicating
factor	factor	factor
that	that	that
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
is	is	is
unfit	unfit	unfit
for	for	for
office	offic	office
,	,	,
morally	moral	morally
and	and	and
intellectually	intellectu	intellectually
.	.	.
Photo	photo	Photo
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
Getty	getti	Getty
Images	imag	Images
