There	there	There
can	can	can
funnel	funnel	funnel
money	money	money
to	to	to
himself	himself	himself
,	,	,
and	and	and
there	there	there
s	s	s
nothing	noth	nothing
anybody	anybodi	anybody
can	can	can
do	do	do
about	about	about
it	it	it
because	becaus	because
it	it	it
s	s	s
perfectly	perfect	perfectly
legal	legal	legal
.	.	.
It	it	It
s	s	s
also	also	also
more	more	more
than	than	than
a	a	a
little	littl	little
suspicious	suspici	suspicious
,	,	,
because	becaus	because
,	,	,
as	as	a
the	the	the
headline	headlin	headline
of	of	of
the	the	the
Miami	miami	Miami
Herald	herald	Herald
s	s	s
story	stori	story
notes	note	note
,	,	,
Trump	trump	Trump
has	has	ha
perfected	perfect	perfected
the	the	the
art	art	art
of	of	of
the	the	the
campaign	campaign	campaign
expense	expens	expense
,	,	,
in	in	in
such	such	such
a	a	a
way	way	way
that	that	that
he	he	he
personally	person	personally
profits	profit	profit
,	,	,
even	even	even
if	if	if
he	he	he
ultimately	ultim	ultimately
isn	isn	isn
t	t	t
elected	elect	elected
.	.	.
But	but	But
wait	wait	wait
!	!	!
If	if	If
it	it	it
s	s	s
not	not	not
illegal	illeg	illegal
,	,	,
why	whi	why
is	is	is
it	it	it
suspicious	suspici	suspicious
?	?	?
Quite	quit	Quite
simply	simpli	simply
,	,	,
if	if	if
you	you	you
want	want	want
to	to	to
know	know	know
how	how	how
a	a	a
presidential	presidenti	presidential
candidate	candid	candidate
is	is	is
going	go	going
to	to	to
run	run	run
the	the	the
country	countri	country
,	,	,
look	look	look
at	at	at
how	how	how
they	they	they
run	run	run
their	their	their
campaign	campaign	campaign
.	.	.
Trump	trump	Trump
won	won	won
t	t	t
just	just	just
run	run	run
the	the	the
country	countri	country
like	like	like
a	a	a
business	busi	business
;	;	;
he	he	he
ll	ll	ll
very	veri	very
likely	like	likely
find	find	find
ways	way	way
to	to	to
use	use	use
the	the	the
Office	offic	Office
of	of	of
the	the	the
President	presid	President
to	to	to
line	line	line
his	his	his
own	own	own
pockets	pocket	pocket
while	while	while
he	he	he
holds	hold	hold
that	that	that
position	posit	position
.	.	.
In	in	In
the	the	the
end	end	end
,	,	,
Trump	trump	Trump
only	onli	only
cares	care	care
about	about	about
Trump	trump	Trump
,	,	,
and	and	and
his	his	his
campaign	campaign	campaign
finance	financ	finance
records	record	record
prove	prove	prove
it	it	it
better	better	better
than	than	than
anything	anyth	anything
else	els	else
he	he	he
s	s	s
done	done	done
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Jeff	jeff	Jeff
Swensen	swensen	Swensen
Getty	getti	Getty
Images	imag	Images
