Former	former	Former
consult	consult	consult
the	the	the
Justice	justic	Justice
Department	depart	Department
while	while	while
crafting	craft	crafting
the	the	the
ban	ban	ban
and	and	and
Yates	yate	Yates
didn	didn	didn
t	t	t
even	even	even
know	know	know
about	about	about
it	it	it
until	until	until
she	she	she
got	got	got
a	a	a
call	call	call
from	from	from
her	her	her
principal	princip	principal
deputy	deputi	deputy
who	who	who
had	had	had
read	read	read
about	about	about
it	it	it
in	in	in
the	the	the
New	new	New
York	york	York
Times	time	Times
.	.	.

That	that	That
was	was	wa
on	on	on
a	a	a
Friday	friday	Friday
evening	even	evening
.	.	.

She	she	She
studied	studi	studied
the	the	the
bill	bill	bill
as	as	a
much	much	much
as	as	a
she	she	she
could	could	could
over	over	over
the	the	the
weekend	weekend	weekend
and	and	and
then	then	then
convened	conven	convened
a	a	a
meeting	meet	meeting
with	with	with
lifetime	lifetim	lifetime
civil	civil	civil
department	depart	department
staffers	staffer	staffer
,	,	,
holdover	holdov	holdover
employees	employe	employee
from	from	from
President	presid	President
Obama	obama	Obama
s	s	s
time	time	time
in	in	in
office	offic	office
and	and	and
newly	newli	newly
-hired	-hire	-hired
Trump	trump	Trump
staff	staff	staff
.	.	.

Her	her	Her
question	question	question
to	to	to
them	them	them
was	was	wa
simple	simpl	simple
How	how	How
would	would	would
you	you	you
defend	defend	defend
Trump	trump	Trump
s	s	s
travel	travel	travel
ban	ban	ban
?	?	?

We	we	We
went	went	went
around	around	around
the	the	the
table	tabl	table
with	with	with
my	my	my
asking	ask	asking
them	them	them
,	,	,
All	all	All
right	right	right
,	,	,
tell	tell	tell
me	me	me
why	whi	why
you	you	you
think	think	think
this	this	this
is	is	is
lawful	law	lawful
?	?	?

How	how	How
are	are	are
we	we	we
going	go	going
to	to	to
defend	defend	defend
this	this	this
?	?	?
'	'	'
Yates	yate	Yates
said	said	said
.	.	.

Without	without	Without
revealing	reveal	revealing
our	our	our
internal	intern	internal
discussions	discuss	discussion
here	here	here
,	,	,
at	at	at
the	the	the
end	end	end
of	of	of
that	that	that
,	,	,
I	i	I
was	was	wa
not	not	not
comfortable	comfort	comfortable
that	that	that
it	it	it
was	was	wa
,	,	,
in	in	in
fact	fact	fact
,	,	,
lawful	law	lawful
or	or	or
constitutional	constitut	constitutional
and	and	and
kept	kept	kept
the	the	the
senior	senior	senior
Trump	trump	Trump
appointee	appointe	appointee
back	back	back
to	to	to
tell	tell	tell
him	him	him
I	i	I
was	was	wa
very	veri	very
uncomfortable	uncomfort	uncomfortable
where	where	where
we	we	we
were	were	were
.	.	.

After	after	After
speaking	speak	speaking
to	to	to
several	sever	several
other	other	other
people	peopl	people
about	about	about
the	the	the
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
Yates	yate	Yates
said	said	said
she	she	she
just	just	just
couldn	couldn	couldn
t	t	t
defend	defend	defend
it	it	it
.	.	.

So	so	So
,	,	,
Trump	trump	Trump
fired	fire	fired
her	her	her
like	like	like
he	he	he
fires	fire	fire
anybody	anybodi	anybody
who	who	who
doesn	doesn	doesn
t	t	t
kiss	kiss	kiss
his	his	his
a	a	a
and	and	and
tell	tell	tell
him	him	him
that	that	that
he	he	he
can	can	can
do	do	do
no	no	no
wrong	wrong	wrong
.	.	.

Nevertheless	nevertheless	Nevertheless
,	,	,
she	she	she
persisted	persist	persisted
.	.	.
Watch	watch	Watch
Sally	salli	Sally
Yates	yate	Yates
explain	explain	explain
why	whi	why
she	she	she
couldn	couldn	couldn
t	t	t
say	say	say
Trump	trump	Trump
s	s	s
Muslim	muslim	Muslim
ban	ban	ban
was	was	wa
anything	anyth	anything
other	other	other
than	than	than
just	just	just
that	that	that
,	,	,
a	a	a
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
here	here	here
1	1	1
That	that	That
s	s	s
how	how	how
we	we	we
found	found	found
out	out	out
about	about	about
it	it	it
at	at	at
@TheJusticeDept	@thejusticedept	@TheJusticeDept
Read	read	Read
abt	abt	abt
it	it	it
on	on	on
the	the	the
internet	internet	internet
.	.	.

@SallyQYates	@sallyqy	@SallyQYates
talks	talk	talk
#TravelBan	#travelban	#TravelBan
pic.twitter.com/xTHWJHHULQ	pic.twitter.com/xthwjhhulq	pic.twitter.com/xTHWJHHULQ
Josh	josh	Josh
Weinberger	weinberg	Weinberger
@kitson	@kitson	@kitson
June	june	June
27	27	27
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

