Dubbed	dub	Dubbed
white	white	white
voters	voter	voter
are	are	are
literally	liter	literally
the	the	the
key	key	key
to	to	to
Donald	donald	Donald
Trump	trump	Trump
s	s	s
success	success	success
,	,	,
and	and	and
they	they	they
hold	hold	hold
the	the	the
key	key	key
to	to	to
the	the	the
swing	swing	swing
state	state	state
vote	vote	vote
If	if	If
Trump	trump	Trump
were	were	were
able	abl	able
to	to	to
activate	activ	activate
merely	mere	merely
one	one	one
of	of	of
every	everi	every
eight	eight	eight
of	of	of
these	these	these
missing	miss	missing
whites	white	white
to	to	to
vote	vote	vote
for	for	for
him	him	him
,	,	,
he	he	he
would	would	would
wipe	wipe	wipe
out	out	out
Obama	obama	Obama
s	s	s
2012	2012	2012
margins	margin	margin
in	in	in
three	three	three
states	state	state
Florida	florida	Florida
,	,	,
Ohio	ohio	Ohio
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
win	win	win
both	both	both
the	the	the
Electoral	elector	Electoral
College	colleg	College
and	and	and
the	the	the
popular	popular	popular
vote	vote	vote
.	.	.

If	if	If
he	he	he
were	were	were
able	abl	able
to	to	to
activate	activ	activate
one	one	one
of	of	of
every	everi	every
five	five	five
,	,	,
he	he	he
could	could	could
add	add	add
Virginia	virginia	Virginia
,	,	,
Nevada	nevada	Nevada
,	,	,
Iowa	iowa	Iowa
and	and	and
New	new	New
Hampshire	hampshir	Hampshire
.	.	.
So	so	So
,	,	,
in	in	in
order	order	order
to	to	to
merely	mere	merely
catch	catch	catch
up	up	up
to	to	to
President	presid	President
Obama	obama	Obama
,	,	,
Trump	trump	Trump
needs	need	need
to	to	to
register	regist	register
at	at	at
least	least	least
5	5	5
million	million	million
more	more	more
people	peopl	people
.	.	.

Considering	consid	Considering
registration	registr	registration
among	among	among
nonwhite	nonwhit	nonwhite
voters	voter	voter
who	who	who
overwhelmingly	overwhelm	overwhelmingly
favor	favor	favor
Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
up	up	up
in	in	in
battleground	battleground	battleground
states	state	state
like	like	like
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
North	north	North
Carolina	carolina	Carolina
compared	compar	compared
to	to	to
white	white	white
registrants	registr	registrant
,	,	,
and	and	and
Clinton	clinton	Clinton
is	is	is
gaining	gain	gaining
with	with	with
white	white	white
women	women	woman
,	,	,
Trump	trump	Trump
has	has	ha
even	even	even
more	more	more
to	to	to
go	go	go
.	.	.
If	if	If
Trump	trump	Trump
hopes	hope	hope
to	to	to
overtake	overtak	overtake
Obama	obama	Obama
s	s	s
numbers	number	number
in	in	in
the	the	the
crucial	crucial	crucial
swing	swing	swing
states	state	state
,	,	,
he	he	he
better	better	better
hurry	hurri	hurry
up	up	up
.	.	.
The	the	The
voting	vote	voting
registration	registr	registration
deadlines	deadlin	deadline
in	in	in
Florida	florida	Florida
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Ohio	ohio	Ohio
are	are	are
on	on	on
October	octob	October
11	11	11
,	,	,
less	less	le
than	than	than
two	two	two
weeks	week	week
away	away	away
.	.	.

In	in	In
less	less	le
than	than	than
three	three	three
weeks	week	week
,	,	,
Virginia	virginia	Virginia
and	and	and
Nevada	nevada	Nevada
will	will	will
reach	reach	reach
their	their	their
deadlines	deadlin	deadline
,	,	,
October	octob	October
18	18	18
.	.	.
Here	here	Here
are	are	are
the	the	the
dates	date	date
of	of	of
individual	individu	individual
state	state	state
deadlines	deadlin	deadline
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
has	has	ha
18	18	18
days	day	day
to	to	to
register	regist	register
at	at	at
least	least	least
5	5	5
million	million	million
white	white	white
voters	voter	voter
in	in	in
5	5	5
swing	swing	swing
states	state	state
,	,	,
which	which	which
translates	translat	translates
to	to	to
277	277	277
,	,	,
777	777	777
voters	voter	voter
a	a	a
day	day	day
.	.	.
Considering	consid	Considering
his	his	his
horrendous	horrend	horrendous
excuse	excus	excuse
for	for	for
a	a	a
ground	ground	ground
game	game	game
,	,	,
that	that	that
won	won	won
t	t	t
be	be	be
an	an	an
easy	easi	easy
feat	feat	feat
.	.	.
As	as	As
of	of	of
right	right	right
now	now	now
,	,	,
Democrats	democrat	Democrats
have	have	have
the	the	the
upper	upper	upper
hand	hand	hand
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Virginia	virginia	Virginia
,	,	,
where	where	where
metropolitan	metropolitan	metropolitan
,	,	,
non	non	non
-white	-white	-white
registrants	registr	registrant
are	are	are
trouncing	trounc	trouncing
rural	rural	rural
whites	white	white
.	.	.
FiveThirtyEight	fivethirtyeight	FiveThirtyEight
finds	find	find
that	that	that
Trump	trump	Trump
s	s	s
shoddy	shoddi	shoddy
ground	ground	ground
game	game	game
,	,	,
mixed	mix	mixed
with	with	with
laziness	lazi	laziness
enabled	enabl	enabled
by	by	by
the	the	the
RNC	rnc	RNC
,	,	,
hurt	hurt	hurt
his	his	his
chances	chanc	chance
greatly	great	greatly
So	so	So
what	what	what
s	s	s
going	go	going
on	on	on
?	?	?

It	it	It
could	could	could
be	be	be
that	that	that
Trump	trump	Trump
is	is	is
motivating	motiv	motivating
slightly	slight	slightly
more	more	more
new	new	new
voters	voter	voter
against	against	against
him	him	him
than	than	than
for	for	for
him	him	him
.	.	.

Or	or	Or
,	,	,
perhaps	perhap	perhaps
more	more	more
likely	like	likely
,	,	,
it	it	it
could	could	could
be	be	be
that	that	that
white	white	white
working	work	working
class	class	class
voters	voter	voter
are	are	are
out	out	out
there	there	there
to	to	to
be	be	be
activated	activ	activated
,	,	,
but	but	but
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
and	and	and
the	the	the
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
have	have	have
waited	wait	waited
until	until	until
too	too	too
late	late	late
to	to	to
build	build	build
the	the	the
analytics	analyt	analytics
and	and	and
ground	ground	ground
infrastructure	infrastructur	infrastructure
necessary	necessari	necessary
to	to	to
identify	identifi	identify
and	and	and
register	regist	register
them	them	them
.	.	.

That	that	That
s	s	s
where	where	where
Clinton	clinton	Clinton
and	and	and
the	the	the
Democrats	democrat	Democrats
have	have	have
excelled	excel	excelled
.	.	.
So	so	So
with	with	with
less	less	le
than	than	than
three	three	three
weeks	week	week
to	to	to
go	go	go
until	until	until
more	more	more
than	than	than
half	half	half
the	the	the
states	state	state
end	end	end
the	the	the
registration	registr	registration
process	process	process
,	,	,
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
has	has	ha
already	alreadi	already
hit	hit	hit
a	a	a
wall	wall	wall
no	no	no
pun	pun	pun
intended	intend	intended
.	.	.

Democrats	democrat	Democrats
shouldn	shouldn	shouldn
t	t	t
get	get	get
too	too	too
excited	excit	excited
.	.	.

The	the	The
chances	chanc	chance
that	that	that
a	a	a
massive	massiv	massive
voter	voter	voter
turnout	turnout	turnout
on	on	on
election	elect	election
day	day	day
could	could	could
propel	propel	propel
Trump	trump	Trump
to	to	to
the	the	the
presidency	presid	presidency
is	is	is
a	a	a
possibility	possibl	possibility
.	.	.

Democrats	democrat	Democrats
need	need	need
to	to	to
keep	keep	keep
up	up	up
their	their	their
registration	registr	registration
efforts	effort	effort
,	,	,
and	and	and
launch	launch	launch
a	a	a
Get	get	Get
Out	out	Out
the	the	the
Vote	vote	Vote
movement	movement	movement
of	of	of
equal	equal	equal
or	or	or
better	better	better
proportions	proport	proportion
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Spencer	spencer	Spencer
Platt	platt	Platt
Getty	getti	Getty
Images	imag	Images

