OUR	our	OUR
the	the	the
rise	rise	rise
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
Western	western	Western
Europe	europ	Europe
,	,	,
it	it	it
s	s	s
worth	worth	worth
mentioning	mention	mentioning
that	that	that
the	the	the
Obama	obama	Obama
administration	administr	administration
issued	issu	issued
around	around	around
680	680	680
,	,	,
000	000	000
green	green	green
cards	card	card
to	to	to
foreigners	foreign	foreigner
from	from	from
Muslim	muslim	Muslim
countries	countri	country
during	dure	during
a	a	a
five	five	five
-year	-year	-year
period	period	period
,	,	,
according	accord	according
to	to	to
data	data	data
published	publish	published
by	by	by
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
DHS	dhs	DHS
.	.	.

The	the	The
stats	stat	stats
,	,	,
the	the	the
latest	latest	latest
made	made	made
available	avail	available
by	by	by
DHS	dhs	DHS
,	,	,
also	also	also
show	show	show
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
admits	admit	admits
more	more	more
than	than	than
double	doubl	double
the	the	the
number	number	number
of	of	of
immigrants	immigr	immigrant
from	from	from
Muslim	muslim	Muslim
nations	nation	nation
than	than	than
from	from	from
the	the	the
European	european	European
Union	union	Union
.	.	.
This	this	This
disturbing	disturb	disturbing
information	inform	information
was	was	wa
circulated	circul	circulated
by	by	by
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
s	s	s
subcommittee	subcommitte	subcommittee
on	on	on
Immigration	immigr	Immigration
,	,	,
which	which	which
assesses	assess	ass
that	that	that
if	if	if
there	there	there
s	s	s
no	no	no
change	chang	change
in	in	in
the	the	the
current	current	current
policy	polici	policy
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
will	will	will
likely	like	likely
grant	grant	grant
another	anoth	another
680	680	680
,	,	,
000	000	000
migrants	migrant	migrant
possibly	possibl	possibly
more	more	more
from	from	from
Muslim	muslim	Muslim
-majority	-major	-majority
countries	countri	country
green	green	green
cards	card	card
in	in	in
the	the	the
next	next	next
five	five	five
years	year	year
.	.	.

According	accord	According
to	to	to
the	the	the
DHS	dhs	DHS
figures	figur	figure
cited	cite	cited
by	by	by
the	the	the
panel	panel	panel
,	,	,
Uncle	uncl	Uncle
Sam	sam	Sam
issued	issu	issued
approximately	approxim	approximately
680	680	680
,	,	,
000	000	000
green	green	green
cards	card	card
to	to	to
immigrants	immigr	immigrant
from	from	from
49	49	49
Muslim	muslim	Muslim
nations	nation	nation
from	from	from
fiscal	fiscal	fiscal
year	year	year
2009	2009	2009
through	through	through
fiscal	fiscal	fiscal
year	year	year
2013	2013	2013
.	.	.

Over	over	Over
the	the	the
same	same	same
period	period	period
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
issued	issu	issued
only	onli	only
270	270	270
,	,	,
000	000	000
green	green	green
cards	card	card
to	to	to
migrants	migrant	migrant
from	from	from
the	the	the
European	european	European
Union	union	Union
,	,	,
according	accord	according
to	to	to
a	a	a
committee	committe	committee
announcement	announc	announcement
that	that	that
reminds	remind	reminds
us	us	u
a	a	a
green	green	green
card	card	card
entitles	entitl	entitles
recipients	recipi	recipient
to	to	to
access	access	access
federal	feder	federal
benefits	benefit	benefit
,	,	,
lifetime	lifetim	lifetime
residency	resid	residency
,	,	,
work	work	work
authorization	author	authorization
,	,	,
and	and	and
a	a	a
direct	direct	direct
route	rout	route
to	to	to
becoming	becom	becoming
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
citizen	citizen	citizen
.	.	.

Some	some	Some
of	of	of
the	the	the
recipients	recipi	recipient
are	are	are
admitted	admit	admitted
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
as	as	a
refugees	refuge	refugee
so	so	so
they	they	they
immediately	immedi	immediately
qualify	qualifi	qualify
for	for	for
federal	feder	federal
welfare	welfar	welfare
benefits	benefit	benefit
like	like	like
food	food	food
stamps	stamp	stamp
and	and	and
Medicaid	medicaid	Medicaid
.	.	.
The	the	The
DHS	dhs	DHS
stats	stat	stats
include	includ	include
a	a	a
breakdown	breakdown	breakdown
of	of	of
the	the	the
countries	countri	country
where	where	where
the	the	the
migrants	migrant	migrant
came	came	came
from	from	from
.	.	.

Pakistan	pakistan	Pakistan
and	and	and
Iraq	iraq	Iraq
sent	sent	sent
over	over	over
the	the	the
most	most	most
with	with	with
83	83	83
,	,	,
000	000	000
apiece	apiec	apiece
and	and	and
Bangladesh	bangladesh	Bangladesh
had	had	had
75	75	75
,	,	,
000	000	000
.	.	.

Seventy	seventi	Seventy
-three	-three	-three
thousand	thousand	thousand
came	came	came
from	from	from
Iran	iran	Iran
,	,	,
45	45	45
,	,	,
000	000	000
from	from	from
Egypt	egypt	Egypt
,	,	,
31	31	31
,	,	,
000	000	000
from	from	from
Somalia	somalia	Somalia
,	,	,
24	24	24
,	,	,
000	000	000
from	from	from
Uzbekistan	uzbekistan	Uzbekistan
,	,	,
Turkey	turkey	Turkey
and	and	and
Morocco	morocco	Morocco
had	had	had
22	22	22
,	,	,
000	000	000
each	each	each
,	,	,
Jordan	jordan	Jordan
and	and	and
Albania	albania	Albania
20	20	20
,	,	,
000	000	000
each	each	each
and	and	and
Lebanon	lebanon	Lebanon
and	and	and
Yemen	yemen	Yemen
each	each	each
had	had	had
16	16	16
,	,	,
000	000	000
.	.	.

Rounding	round	Rounding
out	out	out
the	the	the
five	five	five
-digit	-digit	-digit
club	club	club
is	is	is
Indonesia	indonesia	Indonesia
15	15	15
,	,	,
000	000	000
,	,	,
Syria	syria	Syria
14	14	14
,	,	,
000	000	000
,	,	,
Sudan	sudan	Sudan
13	13	13
,	,	,
000	000	000
,	,	,
Afghanistan	afghanistan	Afghanistan
11	11	11
,	,	,
000	000	000
and	and	and
Sierra	sierra	Sierra
Leone	leon	Leone
10	10	10
,	,	,
000	000	000
.	.	.

The	the	The
rest	rest	rest
,	,	,
including	includ	including
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
Algeria	algeria	Algeria
,	,	,
Kosovo	kosovo	Kosovo
and	and	and
Libya	libya	Libya
,	,	,
only	onli	only
sent	sent	sent
over	over	over
a	a	a
few	few	few
thousand	thousand	thousand
during	dure	during
the	the	the
five	five	five
-year	-year	-year
period	period	period
covered	cover	covered
by	by	by
the	the	the
DHS	dhs	DHS
data	data	data
.	.	.

By	by	By
contrast	contrast	contrast
,	,	,
only	onli	only
65	65	65
,	,	,
000	000	000
green	green	green
cards	card	card
were	were	were
granted	grant	granted
to	to	to
migrants	migrant	migrant
from	from	from
the	the	the
European	european	European
Union	union	Union
country	countri	country
United	unit	United
Kingdom	kingdom	Kingdom
with	with	with
the	the	the
highest	highest	highest
number	number	number
during	dure	during
this	this	this
period	period	period
.	.	.

The	the	The
Senate	senat	Senate
committee	committe	committee
reveals	reveal	reveals
that	that	that
DHS	dhs	DHS
has	has	ha
not	not	not
yet	yet	yet
published	publish	published
statistics	statist	statistic
covering	cover	covering
fiscal	fiscal	fiscal
year	year	year
2014	2014	2014
and	and	and
fiscal	fiscal	fiscal
year	year	year
2015	2015	2015
so	so	so
we	we	we
ll	ll	ll
be	be	be
on	on	on
the	the	the
lookout	lookout	lookout
for	for	for
that	that	that
.	.	.
National	nation	National
security	secur	security
has	has	ha
never	never	never
appeared	appear	appeared
to	to	to
be	be	be
a	a	a
priority	prioriti	priority
for	for	for
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
but	but	but
this	this	this
is	is	is
downright	downright	downright
alarming	alarm	alarming
as	as	a
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
encounters	encount	encounter
burgeoning	burgeon	burgeoning
threats	threat	threat
from	from	from
radical	radic	radical
Islamists	islamist	Islamists
.	.	.
Read	read	Read
more	more	more
Judicial	judici	Judicial
Watch	watch	Watch

