There	there	There
Sherman	sherman	Sherman
says	say	say
When	when	When
a	a	a
guy	guy	guy
takes	take	take
a	a	a
knee	knee	knee
,	,	,
you	you	you
can	can	can
ignore	ignor	ignore
it	it	it
.	.	.

You	you	You
can	can	can
say	say	say
he	he	he
s	s	s
not	not	not
being	be	being
patriotic	patriot	patriotic
.	.	.

He	he	He
s	s	s
not	not	not
honoring	honor	honoring
the	the	the
flag	flag	flag
.	.	.

I	i	I
m	m	m
doing	do	doing
none	none	none
of	of	of
those	those	those
things	thing	thing
.	.	.

I	i	I
m	m	m
saying	say	saying
straight	straight	straight
up	up	up
,	,	,
this	this	this
is	is	is
wrong	wrong	wrong
and	and	and
we	we	we
need	need	need
to	to	to
do	do	do
something	someth	something
.	.	.

And	and	And
something	someth	something
most	most	most
certainly	certain	certainly
needs	need	need
to	to	to
be	be	be
done	done	done
,	,	,
and	and	and
done	done	done
now	now	now
.	.	.
Watch	watch	Watch
Sherman	sherman	Sherman
speak	speak	speak
here	here	here
Wow	wow	Wow
this	this	this
is	is	is
a	a	a
must	must	must
-watch	-watch	-watch
.	.	.
Seattle	seattl	Seattle
Seahawks	seahawk	Seahawks
Richard	richard	Richard
Sherman	sherman	Sherman
addresses	address	address
police	polic	police
killings	kill	killing
of	of	of
African	african	African
American	american	American
men	men	men
at	at	at
presser	presser	presser
,	,	,
then	then	then
walks	walk	walk
out	out	out
.	.	.

pic.twitter.com/GOAOSgufAx	pic.twitter.com/goaosgufax	pic.twitter.com/GOAOSgufAx
Kyle	kyle	Kyle
Griffin	griffin	Griffin
@kylegriffin1	@kylegriffin1	@kylegriffin1
September	septemb	September
22	22	22
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

