After	after	After
and	and	and
continued	continu	continued
to	to	to
accept	accept	accept
their	their	their
help	help	help
.	.	.
Donald	donald	Donald
Trump	trump	Trump
even	even	even
made	made	made
a	a	a
direct	direct	direct
plea	plea	plea
to	to	to
the	the	the
Russian	russian	Russian
government	govern	government
to	to	to
interfere	interfer	interfere
further	further	further
in	in	in
the	the	the
election	elect	election
in	in	in
a	a	a
press	press	press
conference	confer	conference
on	on	on
July	juli	July
27	27	27
,	,	,
saying	say	saying
,	,	,
Russia	russia	Russia
,	,	,
if	if	if
you	you	you
re	re	re
listening	listen	listening
,	,	,
I	i	I
hope	hope	hope
you	you	you
re	re	re
able	abl	able
to	to	to
find	find	find
the	the	the
30	30	30
,	,	,
000	000	000
emails	email	email
that	that	that
are	are	are
missing	miss	missing
.	.	.
The	the	The
letter	letter	letter
also	also	also
notes	note	note
Russian	russian	Russian
government	govern	government
officials	offici	official
revealed	reveal	revealed
that	that	that
they	they	they
had	had	had
maintained	maintain	maintained
contact	contact	contact
with	with	with
the	the	the
Trump	trump	Trump
campaign	campaign	campaign
during	dure	during
the	the	the
election	elect	election
,	,	,
and	and	and
stated	state	stated
that	that	that
they	they	they
were	were	were
familiar	familiar	familiar
with	with	with
most	most	most
of	of	of
the	the	the
individuals	individu	individual
associated	associ	associated
with	with	with
Mr	mr	Mr
.	.	.
Trump	trump	Trump
.	.	.
Media	media	Media
inquiries	inquiri	inquiry
into	into	into
whether	whether	whether
the	the	the
FBI	fbi	FBI
was	was	wa
investigating	investig	investigating
Donald	donald	Donald
Trump	trump	Trump
s	s	s
July	juli	July
plea	plea	plea
for	for	for
Russian	russian	Russian
interference	interfer	interference
in	in	in
the	the	the
election	elect	election
resulted	result	resulted
in	in	in
a	a	a
Glomar	glomar	Glomar
response	respons	response
neither	neither	neither
confirming	confirm	confirming
nor	nor	nor
denying	deni	denying
the	the	the
existence	exist	existence
of	of	of
an	an	an
investigation	investig	investigation
,	,	,
rather	rather	rather
than	than	than
the	the	the
more	more	more
typical	typic	typical
response	respons	response
of	of	of
denying	deni	denying
the	the	the
request	request	request
outright	outright	outright
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
officials	offici	official
reportedly	report	reportedly
probed	probe	probed
Trump	trump	Trump
foreign	foreign	foreign
policy	polici	policy
advisor	advisor	advisor
Carter	carter	Carter
Page	page	Page
in	in	in
regard	regard	regard
to	to	to
travel	travel	travel
to	to	to
his	his	his
Moscow	moscow	Moscow
during	dure	during
the	the	the
campaign	campaign	campaign
.	.	.
The	the	The
FBI	fbi	FBI
reportedly	report	reportedly
began	began	began
an	an	an
inquiry	inquiri	inquiry
into	into	into
Trump	trump	Trump
associates	associ	associate
following	follow	following
reports	report	report
of	of	of
a	a	a
multi	multi	multi
-million	-million	-million
dollar	dollar	dollar
business	busi	business
relationship	relationship	relationship
with	with	with
pro	pro	pro
-Putin	-putin	-Putin
figures	figur	figure
in	in	in
Ukraine	ukrain	Ukraine
and	and	and
Russia	russia	Russia
,	,	,
and	and	and
reports	report	report
of	of	of
an	an	an
effort	effort	effort
to	to	to
sway	sway	sway
American	american	American
public	public	public
opinion	opinion	opinion
in	in	in
favor	favor	favor
of	of	of
Ukraine	ukrain	Ukraine
s	s	s
pro	pro	pro
-Putin	-putin	-Putin
government	govern	government
.	.	.
Michael	michael	Michael
Flynn	flynn	Flynn
,	,	,
Trump	trump	Trump
campaign	campaign	campaign
aide	aid	aide
and	and	and
the	the	the
announced	announc	announced
incoming	incom	incoming
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
,	,	,
traveled	travel	traveled
to	to	to
Russia	russia	Russia
in	in	in
December	decemb	December
of	of	of
2015	2015	2015
for	for	for
a	a	a
gala	gala	gala
event	event	event
celebrating	celebr	celebrating
RT	rt	RT
,	,	,
a	a	a
state	state	state
-controlled	-control	-controlled
propaganda	propaganda	propaganda
network	network	network
,	,	,
at	at	at
which	which	which
he	he	he
was	was	wa
seated	seat	seated
next	next	next
to	to	to
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
.	.	.
The	the	The
letter	letter	letter
is	is	is
signed	sign	signed
by	by	by
nine	nine	nine
Democrats	democrat	Democrats
and	and	and
one	one	one
Republican	republican	Republican
.	.	.
If	if	If
Trump	trump	Trump
is	is	is
sworn	sworn	sworn
into	into	into
office	offic	office
,	,	,
his	his	his
administration	administr	administration
will	will	will
be	be	be
the	the	the
most	most	most
compromised	compromis	compromised
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
history	histori	history
.	.	.
This	this	This
whole	whole	whole
situation	situat	situation
is	is	is
such	such	such
a	a	a
hot	hot	hot
mess	mess	mess
that	that	that
a	a	a
former	former	former
CIA	cia	CIA
operative	oper	operative
said	said	said
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
may	may	may
have	have	have
to	to	to
vote	vote	vote
again	again	again
.	.	.
Photo	photo	Photo
via	via	via
Drew	drew	Drew
Angerer	anger	Angerer
Getty	getti	Getty
