Nobody	nobodi	Nobody
and	and	and
rape	rape	rape
,	,	,
then	then	then
it	it	it
s	s	s
going	go	going
to	to	to
take	take	take
an	an	an
iron	iron	iron
crowbar	crowbar	crowbar
to	to	to
beat	beat	beat
it	it	it
into	into	into
his	his	his
brain	brain	brain
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Bill	bill	Bill
Pugliano	pugliano	Pugliano
Getty	getti	Getty
Images	imag	Images
