Wednesday	wednesday	Wednesday
indirectly	indirect	indirectly
related	relat	related
to	to	to
gun	gun	gun
control	control	control
,	,	,
before	befor	before
being	be	being
kicked	kick	kicked
out	out	out
of	of	of
the	the	the
show	show	show
.	.	.

Neat	neat	Neat
asked	ask	asked
people	peopl	people
what	what	what
they	they	they
thought	thought	thought
was	was	wa
driving	drive	driving
the	the	the
huge	huge	huge
boom	boom	boom
in	in	in
gun	gun	gun
sales	sale	sale
that	that	that
were	were	were
seen	seen	seen
last	last	last
year	year	year
.	.	.
They	they	They
re	re	re
answers	answer	answer
were	were	were
nearly	near	nearly
identical	ident	identical
fear	fear	fear
.	.	.

Fear	fear	Fear
is	is	is
what	what	what
is	is	is
driving	drive	driving
the	the	the
record	record	record
sales	sale	sale
of	of	of
firearms	firearm	firearm
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

It	it	It
has	has	ha
been	been	been
well	well	well
documented	document	documented
that	that	that
mass	mass	mass
shootings	shoot	shooting
drive	drive	drive
gun	gun	gun
sales	sale	sale
.	.	.

So	so	So
does	doe	doe
talk	talk	talk
of	of	of
gun	gun	gun
control	control	control
,	,	,
when	when	when
President	presid	President
Obama	obama	Obama
is	is	is
elected	elect	elected
reelected	reelect	reelected
,	,	,
and	and	and
when	when	when
minuscule	minuscul	minuscule
actions	action	action
on	on	on
gun	gun	gun
control	control	control
are	are	are
taken	taken	taken
.	.	.

In	in	In
December	decemb	December
of	of	of
2015	2015	2015
,	,	,
after	after	after
President	presid	President
Obama	obama	Obama
announced	announc	announced
he	he	he
would	would	would
be	be	be
taking	take	taking
executive	execut	executive
actions	action	action
to	to	to
slightly	slight	slightly
increase	increas	increase
gun	gun	gun
regulations	regul	regulation
,	,	,
1	1	1
.	.	.
6	6	6
million	million	million
guns	gun	gun
were	were	were
sold	sold	sold
.	.	.

The	the	The
only	onli	only
other	other	other
month	month	month
that	that	that
has	has	ha
topped	top	topped
that	that	that
record	record	record
was	was	wa
in	in	in
January	januari	January
of	of	of
2013	2013	2013
,	,	,
which	which	which
coincided	coincid	coincided
with	with	with
both	both	both
the	the	the
Sandy	sandi	Sandy
Hook	hook	Hook
Elementary	elementari	Elementary
massacre	massacr	massacre
,	,	,
and	and	and
Obama	obama	Obama
s	s	s
second	second	second
term	term	term
.	.	.
But	but	But
those	those	those
types	type	type
of	of	of
questions	question	question
are	are	are
not	not	not
what	what	what
get	get	get
Neat	neat	Neat
kicked	kick	kicked
out	out	out
of	of	of
the	the	the
gun	gun	gun
show	show	show
.	.	.

While	while	While
talking	talk	talking
to	to	to
an	an	an
exhibitor	exhibitor	exhibitor
with	with	with
Smith	smith	Smith
Wesson	wesson	Wesson
,	,	,
Neat	neat	Neat
was	was	wa
shown	shown	shown
a	a	a
MP	mp	MP
1522	1522	1522
sport	sport	sport
rifle	rifl	rifle
.	.	.

Neat	neat	Neat
held	held	held
the	the	the
gun	gun	gun
and	and	and
casually	casual	casually
asked	ask	asked
the	the	the
exhibitor	exhibitor	exhibitor
So	so	So
,	,	,
is	is	is
the	the	the
same	same	same
gun	gun	gun
used	use	used
in	in	in
the	the	the
San	san	San
Bernardino	bernardino	Bernardino
shooting	shoot	shooting
?	?	?

Neat	neat	Neat
asks	ask	asks
.	.	.
The	the	The
exhibitor	exhibitor	exhibitor
dodged	dodg	dodged
the	the	the
question	question	question
,	,	,
simply	simpli	simply
answering	answer	answering
that	that	that
the	the	the
gun	gun	gun
is	is	is
MP	mp	MP
1522	1522	1522
sport	sport	sport
rifle	rifl	rifle
.	.	.

He	he	He
then	then	then
promptly	prompt	promptly
removes	remov	remove
his	his	his
microphone	microphon	microphone
.	.	.

At	at	At
that	that	that
point	point	point
Neat	neat	Neat
gets	get	get
an	an	an
e	e	e
-mail	-mail	-mail
asking	ask	asking
him	him	him
to	to	to
come	come	come
speak	speak	speak
to	to	to
the	the	the
communications	communic	communication
director	director	director
at	at	at
the	the	the
event	event	event
.	.	.

Neat	neat	Neat
and	and	and
his	his	his
crew	crew	crew
are	are	are
told	told	told
multiple	multipl	multiple
times	time	time
to	to	to
stop	stop	stop
filming	film	filming
,	,	,
and	and	and
refused	refus	refused
to	to	to
answer	answer	answer
any	ani	any
questions	question	question
while	while	while
the	the	the
camera	camera	camera
was	was	wa
rolling	roll	rolling
.	.	.

Neat	neat	Neat
then	then	then
left	left	left
the	the	the
gun	gun	gun
show	show	show
.	.	.
The	the	The
truly	truli	truly
disturbing	disturb	disturbing
and	and	and
important	import	important
aspect	aspect	aspect
of	of	of
the	the	the
encounter	encount	encounter
between	between	between
the	the	the
journalist	journalist	journalist
and	and	and
man	man	man
from	from	from
Smith	smith	Smith
Wesson	wesson	Wesson
is	is	is
that	that	that
it	it	it
shows	show	show
how	how	how
dangerous	danger	dangerous
breaking	break	breaking
the	the	the
fantasy	fantasi	fantasy
that	that	that
the	the	the
NRA	nra	NRA
and	and	and
other	other	other
lobby	lobbi	lobby
groups	group	group
sell	sell	sell
,	,	,
is	is	is
to	to	to
gun	gun	gun
manufacturers	manufactur	manufacturer
.	.	.

The	the	The
goal	goal	goal
of	of	of
public	public	public
relations	relat	relation
is	is	is
to	to	to
sell	sell	sell
a	a	a
credible	credibl	credible
version	version	version
of	of	of
reality	realiti	reality
.	.	.

The	the	The
reality	realiti	reality
that	that	that
weapons	weapon	weapon
manufacturing	manufactur	manufacturing
industry	industri	industry
wants	want	want
to	to	to
sell	sell	sell
is	is	is
that	that	that
their	their	their
weapons	weapon	weapon
are	are	are
tools	tool	tool
to	to	to
fight	fight	fight
dangerous	danger	dangerous
people	peopl	people
,	,	,
not	not	not
tools	tool	tool
used	use	used
by	by	by
dangerous	danger	dangerous
people	peopl	people
or	or	or
toddlers	toddler	toddler
.	.	.

Any	ani	Any
questioning	question	questioning
that	that	that
can	can	can
potentially	potenti	potentially
unravel	unravel	unravel
the	the	the
credibility	credibl	credibility
of	of	of
their	their	their
meticulously	meticul	meticulously
crafted	craft	crafted
version	version	version
of	of	of
reality	realiti	reality
must	must	must
be	be	be
silenced	silenc	silenced
,	,	,
or	or	or
disregarded	disregard	disregarded
as	as	a
the	the	the
deranged	derang	deranged
ramblings	rambl	ramblings
of	of	of
lunatics	lunat	lunatic
.	.	.
You	you	You
can	can	can
watch	watch	watch
the	the	the
video	video	video
,	,	,
in	in	in
full	full	full
,	,	,
below	below	below
.	.	.
https://www.facebook.com/GuardianUs/videos/1264293813597683/Featured	https://www.facebook.com/guardianus/videos/1264293813597683/featur	https://www.facebook.com/GuardianUs/videos/1264293813597683/Featured
Image	imag	Image
Credit	credit	Credit
Video	video	Video
Screenshot	screenshot	Screenshot
via	via	via
Facebook	facebook	Facebook
Guardian	guardian	Guardian
US	us	US

