American	american	American
seconds	second	second
each	each	each
.	.	.

That	that	That
s	s	s
about	about	about
2	2	2
.	.	.
6	6	6
hours	hour	hour
of	of	of
work	work	work
.	.	.

For	for	For
that	that	that
he	he	he
was	was	wa
paid	paid	paid
172	172	172
,	,	,
500	500	500
,	,	,
or	or	or
66	66	66
,	,	,
346	346	346
an	an	an
hour	hour	hour
.	.	.
Over	over	Over
the	the	the
15	15	15
-year	-year	-year
period	period	period
between	between	between
2000	2000	2000
and	and	and
2015	2015	2015
,	,	,
US	us	US
taxpayers	taxpay	taxpayer
spent	spent	spent
10	10	10
million	million	million
on	on	on
prayers	prayer	prayer
in	in	in
Washington	washington	Washington
.	.	.

In	in	In
the	the	the
meantime	meantim	meantime
,	,	,
elected	elect	elected
officials	offici	official
slashed	slash	slashed
spending	spend	spending
on	on	on
essential	essenti	essential
programs	program	program
like	like	like
WIC	wic	WIC
and	and	and
SNAP	snap	SNAP
as	as	a
well	well	well
as	as	a
other	other	other
assistance	assist	assistance
for	for	for
the	the	the
vulnerable	vulner	vulnerable
.	.	.
The	the	The
idea	idea	idea
that	that	that
taxpayers	taxpay	taxpayer
are	are	are
being	be	being
billed	bill	billed
exorbitant	exorbit	exorbitant
amounts	amount	amount
of	of	of
money	money	money
for	for	for
prayers	prayer	prayer
,	,	,
all	all	all
while	while	while
right	right	right
-wing	-wing	-wing
politicians	politician	politician
screech	screech	screech
about	about	about
the	the	the
national	nation	national
debt	debt	debt
and	and	and
wasteful	wast	wasteful
government	govern	government
spending	spend	spending
,	,	,
is	is	is
beyond	beyond	beyond
outrageous	outrag	outrageous
.	.	.
The	the	The
church	church	church
is	is	is
not	not	not
government	govern	government
and	and	and
government	govern	government
is	is	is
not	not	not
a	a	a
church	church	church
.	.	.

Everyone	everyon	Everyone
is	is	is
free	free	free
to	to	to
exercise	exercis	exercise
their	their	their
religious	religi	religious
beliefs	belief	belief
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Using	use	Using
millions	million	million
of	of	of
dollars	dollar	dollar
in	in	in
taxpayer	taxpay	taxpayer
money	money	money
to	to	to
support	support	support
daily	daili	daily
prayers	prayer	prayer
in	in	in
Washington	washington	Washington
,	,	,
however	howev	however
,	,	,
is	is	is
not	not	not
even	even	even
close	close	close
to	to	to
acceptable	accept	acceptable
.	.	.
The	the	The
Freedom	freedom	Freedom
From	from	From
Religion	religion	Religion
Foundation	foundat	Foundation
is	is	is
encouraging	encourag	encouraging
voters	voter	voter
to	to	to
make	make	make
their	their	their
voices	voic	voice
heard	heard	heard
on	on	on
this	this	this
issue	issu	issue
by	by	by
contacting	contact	contacting
their	their	their
elected	elect	elected
representatives	repres	representative
here	here	here
and	and	and
here	here	here
.	.	.
Image	imag	Image
credit	credit	credit
Wikipedia	wikipedia	Wikipedia

