When	when	When
Jones	jone	Jones
,	,	,
Fusion	fusion	Fusion
,	,	,
and	and	and
The	the	The
New	new	New
York	york	York
Times	time	Times
,	,	,
and	and	and
claimed	claim	claimed
credit	credit	credit
for	for	for
getting	get	getting
The	the	The
New	new	New
Hampshire	hampshir	Hampshire
Union	union	Union
Leader	leader	Leader
dropped	drop	dropped
from	from	from
a	a	a
debate	debat	debate
after	after	after
they	they	they
published	publish	published
a	a	a
front	front	front
-page	-page	-page
op	op	op
-ed	-ed	-ed
denouncing	denounc	denouncing
him	him	him
.	.	.
In	in	In
demonstration	demonstr	demonstration
of	of	of
his	his	his
racism	racism	racism
,	,	,
The	the	The
New	new	New
Tri	tri	Tri
-State	-state	-State
Defender	defend	Defender
,	,	,
a	a	a
traditionally	tradit	traditionally
black	black	black
publication	public	publication
,	,	,
can	can	can
t	t	t
even	even	even
get	get	get
responses	respons	response
to	to	to
emails	email	email
requesting	request	requesting
credentials	credenti	credential
.	.	.
Yet	yet	Yet
he	he	he
ll	ll	ll
issue	issu	issue
credentials	credenti	credential
to	to	to
Alex	alex	Alex
Jones	jone	Jones
InfoWars	infowar	InfoWars
,	,	,
which	which	which
is	is	is
quite	quit	quite
possibly	possibl	possibly
one	one	one
of	of	of
the	the	the
most	most	most
craftily	craftili	craftily
dumb	dumb	dumb
conspiracy	conspiraci	conspiracy
sites	site	site
on	on	on
the	the	the
internet	internet	internet
.	.	.
Trump	trump	Trump
claims	claim	claim
he	he	he
won	won	won
t	t	t
ban	ban	ban
any	ani	any
media	media	medium
from	from	from
the	the	the
White	white	White
House	hous	House
press	press	press
room	room	room
when	when	when
he	he	he
s	s	s
elected	elect	elected
,	,	,
telling	tell	telling
CNN	cnn	CNN
,	,	,
It	it	It
s	s	s
a	a	a
different	differ	different
thing	thing	thing
.	.	.
He	he	He
added	ad	added
When	when	When
I	i	I
m	m	m
representing	repres	representing
the	the	the
United	unit	United
States	state	States
,	,	,
I	i	I
wouldn	wouldn	wouldn
t	t	t
do	do	do
that	that	that
.	.	.
But	but	But
I	i	I
would	would	would
let	let	let
people	peopl	people
know	know	know
if	if	if
somebody	somebodi	somebody
s	s	s
untruthful	untruth	untruthful
.	.	.
Oh	oh	Oh
,	,	,
baloney	baloney	baloney
.	.	.
The	the	The
people	peopl	people
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
will	will	will
believe	believ	believe
that	that	that
when	when	when
they	they	they
see	see	see
it	it	it
.	.	.
However	howev	However
,	,	,
that	that	that
could	could	could
go	go	go
two	two	two
ways	way	way
.	.	.
One	one	One
is	is	is
obvious	obvious	obvious
he	he	he
ll	ll	ll
keep	keep	keep
banning	ban	banning
the	the	the
outlets	outlet	outlet
he	he	he
hates	hate	hate
until	until	until
there	there	there
are	are	are
none	none	none
left	left	left
to	to	to
cover	cover	cover
him	him	him
.	.	.
The	the	The
other	other	other
is	is	is
that	that	that
he	he	he
ll	ll	ll
come	come	come
to	to	to
his	his	his
senses	sens	sens
,	,	,
such	such	such
as	as	a
they	they	they
are	are	are
,	,	,
and	and	and
realize	realiz	realize
that	that	that
a	a	a
growing	grow	growing
blacklist	blacklist	blacklist
means	mean	mean
less	less	le
food	food	food
for	for	for
his	his	his
narcissistic	narcissist	narcissistic
ego	ego	ego
.	.	.
Either	either	Either
way	way	way
,	,	,
he	he	he
s	s	s
out	out	out
of	of	of
hand	hand	hand
with	with	with
his	his	his
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Gerardo	gerardo	Gerardo
Mora	mora	Mora
Getty	getti	Getty
Images	imag	Images
