Wow	wow	Wow
will	will	will
work	work	work
out	out	out
and	and	and
some	some	some
of	of	of
them	them	them
they	they	they
won	won	won
t	t	t
.	.	.

That	that	That
s	s	s
fine	fine	fine
.	.	.

Our	our	Our
constitution	constitut	constitution
provides	provid	provides
that	that	that
speakers	speaker	speaker
and	and	and
presidents	presid	president
can	can	can
fight	fight	fight
,	,	,
but	but	but
I	i	I
think	think	think
he	he	he
sends	send	sends
the	the	the
wrong	wrong	wrong
signal	signal	signal
and	and	and
a	a	a
signal	signal	signal
which	which	which
I	i	I
think	think	think
endangers	endang	endangers
the	the	the
House	hous	House
Republicans	republican	Republicans
and	and	and
endangers	endang	endangers
the	the	the
Senate	senat	Senate
Republicans	republican	Republicans
.	.	.

I	i	I
much	much	much
prefer	prefer	prefer
what	what	what
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
did	did	did
,	,	,
what	what	what
John	john	John
McCain	mccain	McCain
did	did	did
they	they	they
both	both	both
said	said	said
,	,	,
OK	ok	OK
game	game	game
s	s	s
over	over	over
,	,	,
we	we	we
have	have	have
a	a	a
nominee	nomine	nominee
.	.	.

I	i	I
m	m	m
for	for	for
him	him	him
,	,	,
he	he	he
continued	continu	continued
.	.	.

And	and	And
I	i	I
think	think	think
Paul	paul	Paul
Ryan	ryan	Ryan
has	has	ha
some	some	some
obligation	oblig	obligation
institutionally	institut	institutionally
to	to	to
be	be	be
responsive	respons	responsive
to	to	to
the	the	the
fact	fact	fact
that	that	that
the	the	the
people	peopl	people
of	of	of
the	the	the
party	parti	party
he	he	he
belongs	belong	belongs
to	to	to
have	have	have
chosen	chosen	chosen
a	a	a
nominee	nomine	nominee
.	.	.

And	and	And
frankly	frank	frankly
in	in	in
the	the	the
long	long	long
history	histori	history
of	of	of
American	american	American
politics	polit	politics
,	,	,
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
outrageously	outrag	outrageously
outside	outsid	outside
the	the	the
norm	norm	norm
.	.	.

This	this	This
kind	kind	kind
of	of	of
vitriol	vitriol	vitriol
you	you	you
get	get	get
does	doe	doe
not	not	not
reflect	reflect	reflect
accurately	accur	accurately
people	peopl	people
who	who	who
have	have	have
been	been	been
nominated	nomin	nominated
for	for	for
president	presid	president
over	over	over
the	the	the
last	last	last
200	200	200
years	year	year
.	.	.

Via	via	Via
Bretibart	bretibart	Bretibart
News	news	News

