Every	everi	Every
School	school	School
staff	staff	staff
should	should	should
address	address	address
students	student	student
by	by	by
their	their	their
chosen	chosen	chosen
name	name	name
and	and	and
pronouns	pronoun	pronoun
that	that	that
correspond	correspond	correspond
to	to	to
their	their	their
gender	gender	gender
identity	ident	identity
,	,	,
regardless	regardless	regardless
of	of	of
whether	whether	whether
there	there	there
has	has	ha
been	been	been
a	a	a
legal	legal	legal
name	name	name
change	chang	change
.	.	.
Students	student	Students
can	can	can
even	even	even
ask	ask	ask
to	to	to
have	have	have
their	their	their
chosen	chosen	chosen
name	name	name
and	and	and
gender	gender	gender
included	includ	included
in	in	in
the	the	the
district	district	district
s	s	s
information	inform	information
management	manag	management
systems	system	system
,	,	,
in	in	in
addition	addit	addition
to	to	to
the	the	the
student	student	student
s	s	s
legal	legal	legal
name	name	name
.	.	.
But	but	But
what	what	what
about	about	about
when	when	when
school	school	school
staff	staff	staff
members	member	member
are	are	are
speaking	speak	speaking
with	with	with
parents	parent	parent
about	about	about
their	their	their
son	son	son
or	or	or
daughter	daughter	daughter
?	?	?
The	the	The
guidance	guidanc	guidance
states	state	state
that	that	that
Transgender	transgend	Transgender
and	and	and
GNC	gnc	GNC
gender	gender	gender
nonconforming	nonconform	nonconforming
students	student	student
have	have	have
the	the	the
right	right	right
to	to	to
decide	decid	decide
when	when	when
,	,	,
with	with	with
whom	whom	whom
,	,	,
and	and	and
to	to	to
what	what	what
extent	extent	extent
to	to	to
share	share	share
private	privat	private
information	inform	information
.	.	.
Accordingly	accord	Accordingly
,	,	,
the	the	the
board	board	board
makes	make	make
clear	clear	clear
,	,	,
When	when	When
contacting	contact	contacting
the	the	the
parent	parent	parent
guardian	guardian	guardian
of	of	of
a	a	a
transgender	transgend	transgender
or	or	or
GNC	gnc	GNC
student	student	student
,	,	,
school	school	school
staff	staff	staff
should	should	should
use	use	use
the	the	the
student	student	student
s	s	s
legal	legal	legal
name	name	name
and	and	and
the	the	the
pronoun	pronoun	pronoun
corresponding	correspond	corresponding
to	to	to
the	the	the
student	student	student
s	s	s
assigned	assign	assigned
sex	sex	sex
at	at	at
birth	birth	birth
,	,	,
unless	unless	unless
the	the	the
student	student	student
or	or	or
parent	parent	parent
guardian	guardian	guardian
has	has	ha
specified	specifi	specified
otherwise	otherwis	otherwise
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
a	a	a
boy	boy	boy
named	name	named
Jake	jake	Jake
could	could	could
become	becom	become
a	a	a
girl	girl	girl
named	name	named
Jane	jane	Jane
at	at	at
school	school	school
,	,	,
seemingly	seem	seemingly
without	without	without
his	his	his
parents	parent	parent
ever	ever	ever
knowing	know	knowing
.	.	.
Names	name	Names
,	,	,
pronouns	pronoun	pronoun
,	,	,
and	and	and
genders	gender	gender
aren	aren	aren
t	t	t
the	the	the
only	onli	only
things	thing	thing
the	the	the
board	board	board
wants	want	want
students	student	student
to	to	to
choose	choos	choose
.	.	.
The	the	The
guidance	guidanc	guidance
informs	inform	informs
schools	school	school
that	that	that
Students	student	Students
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
use	use	use
the	the	the
restroom	restroom	restroom
in	in	in
accordance	accord	accordance
with	with	with
their	their	their
gender	gender	gender
identity	ident	identity
.	.	.
And	and	And
the	the	the
board	board	board
makes	make	make
clear	clear	clear
that	that	that
single	singl	single
-stall	-stall	-stall
bathrooms	bathroom	bathroom
are	are	are
not	not	not
inclusive	inclus	inclusive
enough	enough	enough
Alternative	altern	Alternative
and	and	and
non	non	non
-stigmatizing	-stigmat	-stigmatizing
options	option	option
,	,	,
such	such	such
as	as	a
an	an	an
all	all	all
-gender	-gender	-gender
or	or	or
singleuser	singleus	singleuser
restroom	restroom	restroom
e	e	e
.	.	.
g	g	g
.	.	.
,	,	,
staff	staff	staff
bathroom	bathroom	bathroom
or	or	or
nurse	nurs	nurse
s	s	s
office	offic	office
,	,	,
should	should	should
be	be	be
made	made	made
available	avail	available
to	to	to
students	student	student
who	who	who
request	request	request
them	them	them
,	,	,
but	but	but
not	not	not
presented	present	presented
as	as	a
the	the	the
only	onli	only
option	option	option
.	.	.
Locker	locker	Locker
rooms	room	room
also	also	also
should	should	should
become	becom	become
inclusive	inclus	inclusive
of	of	of
students	student	student
many	mani	many
gender	gender	gender
identities	ident	identity
.	.	.
A	a	A
student	student	student
should	should	should
not	not	not
be	be	be
required	requir	required
to	to	to
use	use	use
a	a	a
locker	locker	locker
room	room	room
that	that	that
is	is	is
incongruent	incongru	incongruent
with	with	with
their	their	their
gender	gender	gender
identity	ident	identity
,	,	,
the	the	the
guidance	guidanc	guidance
states	state	state
.	.	.
Locker	locker	Locker
room	room	room
usage	usag	usage
should	should	should
be	be	be
determined	determin	determined
on	on	on
a	a	a
case	case	case
-by-case	-by-cas	-by-case
basis	basi	basis
,	,	,
using	use	using
the	the	the
guiding	guid	guiding
principles	principl	principle
of	of	of
safety	safeti	safety
and	and	and
honoring	honor	honoring
the	the	the
student	student	student
s	s	s
gender	gender	gender
identity	ident	identity
and	and	and
expression	express	expression
.	.	.
Students	student	Students
who	who	who
are	are	are
bothered	bother	bothered
by	by	by
having	have	having
members	member	member
of	of	of
the	the	the
opposite	opposit	opposite
sex	sex	sex
in	in	in
their	their	their
locker	locker	locker
rooms	room	room
can	can	can
request	request	request
an	an	an
adjusted	adjust	adjusted
changing	chang	changing
schedule	schedul	schedule
or	or	or
use	use	use
of	of	of
a	a	a
private	privat	private
area	area	area
in	in	in
the	the	the
facility	facil	facility
.	.	.
The	the	The
board	board	board
quietly	quiet	quietly
issued	issu	issued
the	the	the
statement	statement	statement
and	and	and
guidance	guidanc	guidance
on	on	on
February	februari	February
23rd	23rd	23rd
,	,	,
without	without	without
a	a	a
press	press	press
release	releas	release
.	.	.
The	the	The
public	public	public
has	has	ha
only	onli	only
until	until	until
April	april	April
11th	11th	11th
to	to	to
comment	comment	comment
on	on	on
the	the	the
proposed	propos	proposed
guidance	guidanc	guidance
,	,	,
according	accord	according
to	to	to
the	the	the
Department	depart	Department
of	of	of
Education	educ	Education
website	websit	website
.	.	.
The	the	The
board	board	board
will	will	will
finalize	final	finalize
the	the	the
guidance	guidanc	guidance
at	at	at
a	a	a
meeting	meet	meeting
on	on	on
May	may	May
10th	10th	10th
.	.	.
Via	via	Via
Daily	daili	Daily
Caller	caller	Caller
