Diversity	divers	Diversity
The	the	The
Positive	posit	Positive
told	told	told
the	the	the
Observer	observ	Observer
,	,	,
later	later	later
adding	ad	adding
,	,	,
This	this	This
is	is	is
a	a	a
proactive	proactiv	proactive
and	and	and
conscientious	conscienti	conscientious
effort	effort	effort
to	to	to
be	be	be
gender	gender	gender
inclusive	inclus	inclusive
.	.	.
The	the	The
Cardinal	cardin	Cardinal
Newman	newman	Newman
Society	societi	Society
reached	reach	reached
out	out	out
to	to	to
Fordham	fordham	Fordham
University	univers	University
to	to	to
inquire	inquir	inquire
whether	whether	whether
the	the	the
restroom	restroom	restroom
initiative	initi	initiative
could	could	could
pose	pose	pose
a	a	a
conflict	conflict	conflict
with	with	with
Fordham	fordham	Fordham
s	s	s
Catholic	cathol	Catholic
identity	ident	identity
,	,	,
but	but	but
no	no	no
response	respons	response
was	was	wa
received	receiv	received
by	by	by
time	time	time
of	of	of
publication	public	publication
.	.	.
The	the	The
Catechism	catech	Catechism
of	of	of
the	the	the
Catholic	cathol	Catholic
Church	church	Church
states	state	state
the	the	the
following	follow	following
about	about	about
the	the	the
sexes	sex	sex
Man	man	Man
and	and	and
woman	woman	woman
have	have	have
been	been	been
created	creat	created
,	,	,
which	which	which
is	is	is
to	to	to
say	say	say
,	,	,
willed	will	willed
by	by	by
God	god	God
on	on	on
the	the	the
one	one	one
hand	hand	hand
,	,	,
in	in	in
perfect	perfect	perfect
equality	equal	equality
as	as	a
human	human	human
persons	person	person
;	;	;
on	on	on
the	the	the
other	other	other
,	,	,
in	in	in
their	their	their
respective	respect	respective
beings	be	being
as	as	a
man	man	man
and	and	and
woman	woman	woman
.	.	.
Being	be	Being
man	man	man
or	or	or
being	be	being
woman	woman	woman
is	is	is
a	a	a
reality	realiti	reality
which	which	which
is	is	is
good	good	good
and	and	and
willed	will	willed
by	by	by
God	god	God
In	in	In
their	their	their
being	be	being
-man	-man	-man
and	and	and
being	be	being
-woman	-woman	-woman
,	,	,
they	they	they
reflect	reflect	reflect
the	the	the
Creator	creator	Creator
s	s	s
wisdom	wisdom	wisdom
and	and	and
goodness	good	goodness
.	.	.
The	the	The
Observer	observ	Observer
noted	note	noted
that	that	that
Fordham	fordham	Fordham
s	s	s
assistant	assist	assistant
dean	dean	dean
and	and	and
director	director	director
of	of	of
the	the	the
Office	offic	Office
of	of	of
Multicultural	multicultur	Multicultural
Affairs	affair	Affairs
,	,	,
Juan	juan	Juan
Carlos	carlo	Carlos
Matos	mato	Matos
,	,	,
researched	research	researched
what	what	what
Fordham	fordham	Fordham
s	s	s
peer	peer	peer
Jesuit	jesuit	Jesuit
institutions	institut	institution
offer	offer	offer
in	in	in
terms	term	term
of	of	of
all	all	all
gender	gender	gender
restrooms	restroom	restroom
.	.	.
They	they	They
found	found	found
that	that	that
the	the	the
University	univers	University
of	of	of
San	san	San
Francisco	francisco	Francisco
uses	use	us
all	all	all
gender	gender	gender
bathroom	bathroom	bathroom
labeling	label	labeling
on	on	on
single	singl	single
stalled	stall	stalled
restrooms	restroom	restroom
and	and	and
Georgetown	georgetown	Georgetown
University	univers	University
has	has	ha
all	all	all
gender	gender	gender
signage	signag	signage
on	on	on
single	singl	single
-stalled	-stall	-stalled
bathrooms	bathroom	bathroom
accompanied	accompani	accompanied
by	by	by
both	both	both
male	male	male
and	and	and
female	femal	female
gender	gender	gender
icons	icon	icon
and	and	and
a	a	a
handicap	handicap	handicap
sign	sign	sign
.	.	.
Of	of	Of
the	the	the
nation	nation	nation
s	s	s
28	28	28
Jesuit	jesuit	Jesuit
colleges	colleg	college
,	,	,
only	onli	only
six	six	six
offer	offer	offer
gender	gender	gender
-neutral	-neutral	-neutral
bathrooms	bathroom	bathroom
on	on	on
their	their	their
campuses	campus	campus
.	.	.
Five	five	Five
more	more	more
are	are	are
rumored	rumor	rumored
to	to	to
be	be	be
considering	consid	considering
making	make	making
the	the	the
change	chang	change
,	,	,
the	the	the
Observer	observ	Observer
reported	report	reported
.	.	.
The	the	The
six	six	six
Jesuit	jesuit	Jesuit
colleges	colleg	college
with	with	with
gender	gender	gender
-neutral	-neutral	-neutral
bathrooms	bathroom	bathroom
are	are	are
reportedly	report	reportedly
Boston	boston	Boston
College	colleg	College
,	,	,
Fairfield	fairfield	Fairfield
University	univers	University
,	,	,
Fordham	fordham	Fordham
University	univers	University
,	,	,
Georgetown	georgetown	Georgetown
University	univers	University
,	,	,
Santa	santa	Santa
Clara	clara	Clara
University	univers	University
,	,	,
the	the	the
University	univers	University
of	of	of
San	san	San
Francisco	francisco	Francisco
and	and	and
the	the	the
University	univers	University
of	of	of
Scranton	scranton	Scranton
.	.	.
The	the	The
University	univers	University
of	of	of
San	san	San
Francisco	francisco	Francisco
lists	list	list
gender	gender	gender
-neutral	-neutral	-neutral
bathrooms	bathroom	bathroom
under	under	under
the	the	the
Gender	gender	Gender
Identity	ident	Identity
Expression	express	Expression
policy	polici	policy
of	of	of
its	it	it
Residential	residenti	Residential
Life	life	Life
website	websit	website
.	.	.
Moreover	moreov	Moreover
,	,	,
the	the	the
University	univers	University
recently	recent	recently
implemented	implement	implemented
gender	gender	gender
-inclusive	-inclus	-inclusive
housing	hous	housing
for	for	for
the	the	the
2015	2015	2015
-16	-16	-16
school	school	school
year	year	year
.	.	.
It	it	It
is	is	is
intended	intend	intended
that	that	that
the	the	the
gender	gender	gender
-inclusive	-inclus	-inclusive
housing	hous	housing
option	option	option
will	will	will
support	support	support
S	s	S
.	.	.
H	h	H
.	.	.
a	a	a
.	.	.
R	r	R
.	.	.
E	e	E
.	.	.
s	s	s
Student	student	Student
Housing	hous	Housing
and	and	and
Residential	residenti	Residential
Education	educ	Education
mission	mission	mission
to	to	to
create	creat	create
safe	safe	safe
,	,	,
affirming	affirm	affirming
,	,	,
and	and	and
inclusive	inclus	inclusive
communities	communiti	community
by	by	by
providing	provid	providing
options	option	option
for	for	for
students	student	student
of	of	of
varying	vari	varying
identities	ident	identity
and	and	and
preferences	prefer	preference
,	,	,
the	the	the
University	univers	University
housing	hous	housing
website	websit	website
reads	read	read
.	.	.
Students	student	Students
may	may	may
apply	appli	apply
for	for	for
the	the	the
gender	gender	gender
-inclusive	-inclus	-inclusive
housing	hous	housing
for	for	for
a	a	a
variety	varieti	variety
of	of	of
reasons	reason	reason
,	,	,
including	includ	including
if	if	if
they	they	they
identify	identifi	identify
as	as	a
transgender	transgend	transgender
,	,	,
do	do	do
not	not	not
wish	wish	wish
to	to	to
be	be	be
identified	identifi	identified
by	by	by
any	ani	any
sex	sex	sex
or	or	or
gender	gender	gender
identity	ident	identity
,	,	,
or	or	or
prefer	prefer	prefer
to	to	to
live	live	live
with	with	with
a	a	a
roommate	roommat	roommate
of	of	of
a	a	a
different	differ	different
gender	gender	gender
.	.	.
The	the	The
five	five	five
Jesuit	jesuit	Jesuit
colleges	colleg	college
reportedly	report	reportedly
considering	consid	considering
gender	gender	gender
-neutral	-neutral	-neutral
bathrooms	bathroom	bathroom
are	are	are
Creighton	creighton	Creighton
University	univers	University
,	,	,
Gonzaga	gonzaga	Gonzaga
University	univers	University
,	,	,
Loyola	loyola	Loyola
University	univers	University
New	new	New
Orleans	orlean	Orleans
,	,	,
Marquette	marquett	Marquette
University	univers	University
,	,	,
and	and	and
St	st	St
.	.	.
Joseph	joseph	Joseph
s	s	s
University	univers	University
.	.	.
The	the	The
Newman	newman	Newman
Society	societi	Society
has	has	ha
also	also	also
reported	report	reported
on	on	on
mounting	mount	mounting
pressure	pressur	pressure
for	for	for
gender	gender	gender
-neutral	-neutral	-neutral
bathrooms	bathroom	bathroom
at	at	at
Loyola	loyola	Loyola
University	univers	University
Chicago	chicago	Chicago
.	.	.
An	an	An
online	onlin	online
PDF	pdf	PDF
of	of	of
a	a	a
proposal	propos	proposal
from	from	from
Creighton	creighton	Creighton
University	univers	University
s	s	s
Gay	gay	Gay
-Straight	-straight	-Straight
Alliance	allianc	Alliance
and	and	and
Swanson	swanson	Swanson
Residence	resid	Residence
Hall	hall	Hall
Council	council	Council
claims	claim	claim
that	that	that
incorporating	incorpor	incorporating
gender	gender	gender
-neutral	-neutral	-neutral
restrooms	restroom	restroom
on	on	on
campus	campus	campus
maintains	maintain	maintains
the	the	the
Jesuit	jesuit	Jesuit
value	valu	value
of	of	of
cura	cura	cura
personalis	personali	personalis
and	and	and
helps	help	help
to	to	to
maintain	maintain	maintain
a	a	a
safe	safe	safe
environment	environ	environment
for	for	for
the	the	the
support	support	support
,	,	,
education	educ	education
,	,	,
and	and	and
assistance	assist	assistance
of	of	of
all	all	all
students	student	student
.	.	.
Via	via	Via
EAG	eag	EAG
News	news	News
