No	no	No
Puerto	puerto	Puerto
Rico	rico	Rico
,	,	,
and	and	and
just	just	just
5	5	5
.	.	.
1	1	1
billion	billion	billion
sent	sent	sent
back	back	back
in	in	in
to	to	to
the	the	the
country	countri	country
,	,	,
data	data	data
shared	share	shared
on	on	on
The	the	The
Guardian	guardian	Guardian
showed	show	showed
.	.	.

The	the	The
data	data	data
showed	show	showed
that	that	that
the	the	the
biggest	biggest	biggest
beneficiaries	beneficiari	beneficiary
included	includ	included
India	india	India
and	and	and
China	china	China
,	,	,
which	which	which
each	each	each
received	receiv	received
more	more	more
than	than	than
60	60	60
billion	billion	billion
,	,	,
followed	follow	followed
by	by	by
the	the	the
Philippines	philippin	Philippines
24	24	24
billion	billion	billion
,	,	,
Mexico	mexico	Mexico
24	24	24
billion	billion	billion
and	and	and
Nigeria	nigeria	Nigeria
21	21	21
billion	billion	billion
.	.	.

World	world	World
Bank	bank	Bank
officials	offici	official
believe	believ	believe
the	the	the
amount	amount	amount
they	they	they
donate	donat	donate
could	could	could
be	be	be
billions	billion	billion
more	more	more
because	becaus	because
not	not	not
all	all	all
cash	cash	cash
is	is	is
sent	sent	sent
through	through	through
banks	bank	bank
and	and	and
money	money	money
transfer	transfer	transfer
companies	compani	company
on	on	on
which	which	which
the	the	the
figures	figur	figure
are	are	are
based	base	based
.	.	.
Read	read	Read
more	more	more
Daily	daili	Daily
Mail	mail	Mail

