Hillary	hillari	Hillary
tougher	tougher	tougher
for	for	for
the	the	the
most	most	most
qualified	qualifi	qualified
presidential	presidenti	presidential
candidate	candid	candidate
in	in	in
decades	decad	decade
to	to	to
compete	compet	compete
.	.	.

In	in	In
the	the	the
article	articl	article
in	in	in
Humans	human	Humans
of	of	of
New	new	New
York	york	York
,	,	,
Clinton	clinton	Clinton
talked	talk	talked
about	about	about
her	her	her
history	histori	history
and	and	and
about	about	about
how	how	how
hard	hard	hard
she	she	she
works	work	work
at	at	at
not	not	not
appearing	appear	appearing
too	too	too
feminine	feminin	feminine
.	.	.
She	she	She
relayed	relay	relayed
a	a	a
story	stori	story
about	about	about
law	law	law
school	school	school
,	,	,
and	and	and
how	how	how
hard	hard	hard
she	she	she
worked	work	worked
to	to	to
learn	learn	learn
to	to	to
control	control	control
her	her	her
emotions	emot	emotion
.	.	.

She	she	She
also	also	also
recognizes	recogn	recognizes
that	that	that
she	she	she
comes	come	come
across	across	across
as	as	a
cold	cold	cold
and	and	and
unemotional	unemot	unemotional
because	becaus	because
of	of	of
that	that	that
.	.	.

I	i	I
had	had	had
to	to	to
learn	learn	learn
as	as	a
a	a	a
young	young	young
woman	woman	woman
to	to	to
control	control	control
my	my	my
emotions	emot	emotion
.	.	.

And	and	And
that	that	that
s	s	s
a	a	a
hard	hard	hard
path	path	path
to	to	to
walk	walk	walk
.	.	.

Because	becaus	Because
you	you	you
need	need	need
to	to	to
protect	protect	protect
yourself	yourself	yourself
,	,	,
you	you	you
need	need	need
to	to	to
keep	keep	keep
steady	steadi	steady
,	,	,
but	but	but
at	at	at
the	the	the
same	same	same
time	time	time
you	you	you
don	don	don
t	t	t
want	want	want
to	to	to
seem	seem	seem
walled	wall	walled
off	off	off
.	.	.

And	and	And
sometimes	sometim	sometimes
I	i	I
think	think	think
I	i	I
come	come	come
across	across	across
more	more	more
in	in	in
the	the	the
walled	wall	walled
off	off	off
arena	arena	arena
.	.	.

And	and	And
if	if	if
I	i	I
create	creat	create
that	that	that
perception	percept	perception
,	,	,
then	then	then
I	i	I
take	take	take
responsibility	respons	responsibility
.	.	.

I	i	I
don	don	don
t	t	t
view	view	view
myself	myself	myself
as	as	a
cold	cold	cold
or	or	or
unemotional	unemot	unemotional
.	.	.

And	and	And
neither	neither	neither
do	do	do
my	my	my
friends	friend	friend
.	.	.

And	and	And
neither	neither	neither
does	doe	doe
my	my	my
family	famili	family
.	.	.

But	but	But
if	if	if
that	that	that
sometimes	sometim	sometimes
is	is	is
the	the	the
perception	percept	perception
I	i	I
create	creat	create
,	,	,
then	then	then
I	i	I
can	can	can
t	t	t
blame	blame	blame
people	peopl	people
for	for	for
thinking	think	thinking
that	that	that
.	.	.

As	as	As
for	for	for
the	the	the
inevitable	inevit	inevitable
comparisons	comparison	comparison
with	with	with
Bill	bill	Bill
Clinton	clinton	Clinton
and	and	and
Barack	barack	Barack
Obama	obama	Obama
,	,	,
well	well	well
,	,	,
she	she	she
knows	know	know
she	she	she
doesn	doesn	doesn
t	t	t
have	have	have
their	their	their
charisma	charisma	charisma
.	.	.

She	she	She
also	also	also
sees	see	see
how	how	how
hard	hard	hard
they	they	they
work	work	work
on	on	on
it	it	it
.	.	.

I	i	I
m	m	m
not	not	not
Barack	barack	Barack
Obama	obama	Obama
.	.	.

I	i	I
m	m	m
not	not	not
Bill	bill	Bill
Clinton	clinton	Clinton
.	.	.

Both	both	Both
of	of	of
them	them	them
carry	carri	carry
themselves	themselv	themselves
with	with	with
a	a	a
naturalness	natur	naturalness
that	that	that
is	is	is
very	veri	very
appealing	appeal	appealing
to	to	to
audiences	audienc	audience
.	.	.

But	but	But
I	i	I
m	m	m
married	marri	married
to	to	to
one	one	one
and	and	and
I	i	I
ve	ve	ve
worked	work	worked
for	for	for
the	the	the
other	other	other
,	,	,
so	so	so
I	i	I
know	know	know
how	how	how
hard	hard	hard
they	they	they
work	work	work
at	at	at
being	be	being
natural	natur	natural
.	.	.

It	it	It
s	s	s
not	not	not
something	someth	something
they	they	they
just	just	just
dial	dial	dial
in	in	in
.	.	.

They	they	They
work	work	work
and	and	and
they	they	they
practice	practic	practice
what	what	what
they	they	they
re	re	re
going	go	going
to	to	to
say	say	say
.	.	.

It	it	It
s	s	s
not	not	not
that	that	that
they	they	they
re	re	re
trying	tri	trying
to	to	to
be	be	be
somebody	somebodi	somebody
else	els	else
.	.	.

But	but	But
it	it	it
s	s	s
hard	hard	hard
work	work	work
to	to	to
present	present	present
yourself	yourself	yourself
in	in	in
the	the	the
best	best	best
possible	possibl	possible
way	way	way
.	.	.

She	she	She
also	also	also
notes	note	note
that	that	that
there	there	there
are	are	are
very	veri	very
few	few	few
role	role	role
models	model	model
for	for	for
women	women	woman
in	in	in
politics	polit	politics
and	and	and
that	that	that
Obama	obama	Obama
s	s	s
and	and	and
her	her	her
husband	husband	husband
s	s	s
type	type	type
of	of	of
charisma	charisma	charisma
doesn	doesn	doesn
t	t	t
work	work	work
for	for	for
women	women	woman
.	.	.
It	it	It
s	s	s
a	a	a
double	doubl	double
-edged	-edg	-edged
sword	sword	sword
.	.	.

Clinton	clinton	Clinton
is	is	is
accused	accus	accused
of	of	of
being	be	being
stiff	stiff	stiff
,	,	,
but	but	but
if	if	if
she	she	she
s	s	s
animated	anim	animated
,	,	,
things	thing	thing
get	get	get
even	even	even
worse	wors	worse
.	.	.

But	but	But
I	i	I
ve	ve	ve
learned	learn	learned
that	that	that
I	i	I
can	can	can
t	t	t
be	be	be
quite	quit	quite
so	so	so
passionate	passion	passionate
in	in	in
my	my	my
presentation	present	presentation
.	.	.

I	i	I
love	love	love
to	to	to
wave	wave	wave
my	my	my
arms	arm	arm
,	,	,
but	but	but
apparently	appar	apparently
that	that	that
s	s	s
a	a	a
little	littl	little
bit	bit	bit
scary	scari	scary
to	to	to
people	peopl	people
.	.	.

And	and	And
I	i	I
can	can	can
t	t	t
yell	yell	yell
too	too	too
much	much	much
.	.	.

It	it	It
comes	come	come
across	across	across
as	as	a
too	too	too
loud	loud	loud
or	or	or
too	too	too
shrill	shrill	shrill
or	or	or
too	too	too
this	this	this
or	or	or
too	too	too
that	that	that
.	.	.

Which	which	Which
is	is	is
funny	funni	funny
,	,	,
because	becaus	because
I	i	I
m	m	m
always	alway	always
convinced	convinc	convinced
that	that	that
the	the	the
people	peopl	people
in	in	in
the	the	the
front	front	front
row	row	row
are	are	are
loving	love	loving
it	it	it
.	.	.

If	if	If
Clinton	clinton	Clinton
wins	win	win
,	,	,
some	some	some
of	of	of
these	these	these
double	doubl	double
standards	standard	standard
might	might	might
start	start	start
drifting	drift	drifting
away	away	away
,	,	,
but	but	but
it	it	it
s	s	s
still	still	still
a	a	a
misogynistic	misogynist	misogynistic
world	world	world
.	.	.

A	a	A
woman	woman	woman
president	presid	president
won	won	won
t	t	t
solve	solv	solve
misogyny	misogyni	misogyny
any	ani	any
more	more	more
than	than	than
an	an	an
African	african	African
-American	-american	-American
president	presid	president
solved	solv	solved
racism	racism	racism
.	.	.

It	it	It
s	s	s
a	a	a
societal	societ	societal
problem	problem	problem
,	,	,
but	but	but
for	for	for
those	those	those
who	who	who
don	don	don
t	t	t
consider	consid	consider
themselves	themselv	themselves
sexist	sexist	sexist
,	,	,
perhaps	perhap	perhaps
it	it	it
s	s	s
time	time	time
to	to	to
take	take	take
a	a	a
good	good	good
hard	hard	hard
look	look	look
at	at	at
your	your	your
criticisms	critic	criticism
of	of	of
Clinton	clinton	Clinton
.	.	.

Would	would	Would
the	the	the
criticisms	critic	criticism
be	be	be
the	the	the
same	same	same
if	if	if
she	she	she
was	was	wa
a	a	a
man	man	man
?	?	?
Featured	featur	Featured
image	imag	image
via	via	via
Justin	justin	Justin
Sullivan	sullivan	Sullivan
Getty	getti	Getty
Images	imag	Images

