When	when	When
believe	believ	believe
we	we	we
can	can	can
win	win	win
,	,	,
and	and	and
stop	stop	stop
acting	act	acting
like	like	like
we	we	we
can	can	can
t	t	t
beat	beat	beat
ISIS	isi	ISIS
,	,	,
we	we	we
ll	ll	ll
beat	beat	beat
them	them	them
handily	handili	handily
.	.	.
That	that	That
s	s	s
not	not	not
true	true	true
.	.	.
Generals	general	Generals
Patton	patton	Patton
and	and	and
MacArthur	macarthur	MacArthur
were	were	were
so	so	so
successful	success	successful
in	in	in
part	part	part
because	becaus	because
they	they	they
were	were	were
realistic	realist	realistic
.	.	.
There	there	There
were	were	were
massive	massiv	massive
failures	failur	failure
during	dure	during
WWII	wwii	WWII
.	.	.
We	we	We
did	did	did
not	not	not
ride	ride	ride
in	in	in
on	on	on
this	this	this
white	white	white
horse	hors	horse
to	to	to
save	save	save
the	the	the
day	day	day
.	.	.
However	howev	However
,	,	,
Donnie	donni	Donnie
disgustingly	disgust	disgustingly
buys	buy	buy
into	into	into
that	that	that
very	veri	very
narrative	narrat	narrative
.	.	.
We	we	We
didn	didn	didn
t	t	t
.	.	.
MacArthur	macarthur	MacArthur
was	was	wa
already	alreadi	already
in	in	in
the	the	the
Philippines	philippin	Philippines
when	when	when
Japan	japan	Japan
attacked	attack	attacked
Pearl	pearl	Pearl
Harbor	harbor	Harbor
.	.	.
In	in	In
the	the	the
ensuing	ensu	ensuing
months	month	month
,	,	,
he	he	he
suffered	suffer	suffered
grievous	grievous	grievous
defeats	defeat	defeat
.	.	.
He	he	He
actually	actual	actually
ordered	order	ordered
a	a	a
withdrawal	withdraw	withdrawal
to	to	to
Australia	australia	Australia
to	to	to
regroup	regroup	regroup
.	.	.
He	he	He
was	was	wa
human	human	human
.	.	.
His	his	His
troops	troop	troop
were	were	were
human	human	human
.	.	.
Japan	japan	Japan
was	was	wa
a	a	a
juggernaut	juggernaut	juggernaut
at	at	at
the	the	the
time	time	time
,	,	,
and	and	and
we	we	we
couldn	couldn	couldn
t	t	t
beat	beat	beat
them	them	them
with	with	with
brute	brute	brute
force	forc	force
.	.	.
What	what	What
do	do	do
you	you	you
think	think	think
of	of	of
that	that	that
,	,	,
Donnie	donni	Donnie
?	?	?
MacArthur	macarthur	MacArthur
actually	actual	actually
ordered	order	ordered
a	a	a
retreat	retreat	retreat
.	.	.
Isn	isn	Isn
t	t	t
that	that	that
giving	give	giving
up	up	up
?	?	?
Isn	isn	Isn
t	t	t
that	that	that
what	what	what
you	you	you
re	re	re
railing	rail	railing
against	against	against
?	?	?
MacArthur	macarthur	MacArthur
is	is	is
remembered	rememb	remembered
as	as	a
great	great	great
because	becaus	because
of	of	of
things	thing	thing
like	like	like
this	this	this
.	.	.
Not	not	Not
in	in	in
spite	spite	spite
of	of	of
them	them	them
,	,	,
and	and	and
definitely	definit	definitely
not	not	not
because	becaus	because
they	they	they
didn	didn	didn
t	t	t
happen	happen	happen
.	.	.
Then	then	Then
there	there	there
s	s	s
Patton	patton	Patton
.	.	.
He	he	He
does	doe	doe
seem	seem	seem
to	to	to
have	have	have
been	been	been
more	more	more
the	the	the
style	style	style
that	that	that
you	you	you
see	see	see
in	in	in
your	your	your
head	head	head
.	.	.
For	for	For
instance	instanc	instance
,	,	,
he	he	he
s	s	s
reported	report	reported
to	to	to
have	have	have
said	said	said
We	we	We
shall	shall	shall
attack	attack	attack
and	and	and
attack	attack	attack
until	until	until
we	we	we
are	are	are
exhausted	exhaust	exhausted
,	,	,
and	and	and
then	then	then
we	we	we
shall	shall	shall
attack	attack	attack
again	again	again
.	.	.
Yet	yet	Yet
he	he	he
was	was	wa
surrounded	surround	surrounded
by	by	by
controversy	controversi	controversy
over	over	over
his	his	his
leadership	leadership	leadership
methods	method	method
.	.	.
Congress	congress	Congress
and	and	and
the	the	the
military	militari	military
actually	actual	actually
demanded	demand	demanded
his	his	his
removal	remov	removal
from	from	from
command	command	command
after	after	after
he	he	he
slapped	slap	slapped
a	a	a
soldier	soldier	soldier
who	who	who
was	was	wa
suffering	suffer	suffering
from	from	from
battle	battl	battle
fatigue	fatigu	fatigue
.	.	.
There	there	There
were	were	were
other	other	other
such	such	such
incidents	incid	incident
,	,	,
too	too	too
,	,	,
but	but	but
his	his	his
qualifications	qualif	qualification
are	are	are
what	what	what
kept	kept	kept
him	him	him
in	in	in
the	the	the
field	field	field
.	.	.
He	he	He
might	might	might
have	have	have
stormed	storm	stormed
through	through	through
battle	battl	battle
zones	zone	zone
like	like	like
Bastogne	bastogn	Bastogne
do	do	do
you	you	you
even	even	even
know	know	know
which	which	which
battle	battl	battle
that	that	that
was	was	wa
,	,	,
Donnie	donni	Donnie
?	?	?
,	,	,
ending	end	ending
them	them	them
,	,	,
but	but	but
he	he	he
was	was	wa
far	far	far
from	from	from
perfect	perfect	perfect
.	.	.
Donnie	donni	Donnie
,	,	,
all	all	all
you	you	you
do	do	do
is	is	is
talk	talk	talk
about	about	about
winning	win	winning
and	and	and
losing	lose	losing
,	,	,
and	and	and
yet	yet	yet
,	,	,
nobody	nobodi	nobody
has	has	ha
ever	ever	ever
conceded	conced	conceded
defeat	defeat	defeat
to	to	to
ISIS	isi	ISIS
.	.	.
Nobody	nobodi	Nobody
in	in	in
U	u	U
.	.	.
S	s	S
.	.	.
leadership	leadership	leadership
has	has	ha
said	said	said
,	,	,
We	we	We
can	can	can
t	t	t
beat	beat	beat
ISIS	isi	ISIS
.	.	.
Not	not	Not
our	our	our
president	presid	president
,	,	,
not	not	not
our	our	our
current	current	current
commanders	command	commander
.	.	.
A	a	A
coach	coach	coach
telling	tell	telling
his	his	his
football	footbal	football
team	team	team
We	we	We
can	can	can
t	t	t
do	do	do
this	this	this
,	,	,
hands	hand	hand
the	the	the
game	game	game
to	to	to
the	the	the
other	other	other
team	team	team
.	.	.
Our	our	Our
military	militari	military
doesn	doesn	doesn
t	t	t
operate	oper	operate
like	like	like
that	that	that
,	,	,
however	howev	however
.	.	.
It	it	It
never	never	never
has	has	ha
.	.	.
It	it	It
operates	oper	operates
with	with	with
the	the	the
understanding	understand	understanding
that	that	that
there	there	there
will	will	will
be	be	be
defeats	defeat	defeat
.	.	.
Learning	learn	Learning
from	from	from
those	those	those
defeats	defeat	defeat
is	is	is
key	key	key
to	to	to
beating	beat	beating
ISIS	isi	ISIS
something	someth	something
you	you	you
would	would	would
know	know	know
if	if	if
you	you	you
weren	weren	weren
t	t	t
such	such	such
a	a	a
conceited	conceit	conceited
bastard	bastard	bastard
.	.	.
On	on	On
the	the	the
ground	ground	ground
,	,	,
unit	unit	unit
commanders	command	commander
,	,	,
all	all	all
the	the	the
way	way	way
down	down	down
to	to	to
squad	squad	squad
leaders	leader	leader
,	,	,
will	will	will
give	give	give
pep	pep	pep
talks	talk	talk
.	.	.
Yes	yes	Yes
,	,	,
that	that	that
is	is	is
normal	normal	normal
,	,	,
and	and	and
you	you	you
and	and	and
I	i	I
both	both	both
know	know	know
it	it	it
.	.	.
However	howev	However
,	,	,
those	those	those
who	who	who
are	are	are
guiding	guid	guiding
the	the	the
entire	entir	entire
war	war	war
have	have	have
to	to	to
be	be	be
realistic	realist	realistic
,	,	,
or	or	or
they	they	they
will	will	will
end	end	end
up	up	up
losing	lose	losing
it	it	it
,	,	,
and	and	and
they	they	they
know	know	know
it	it	it
.	.	.
It	it	It
s	s	s
not	not	not
a	a	a
football	footbal	football
game	game	game
.	.	.
ISIS	isi	ISIS
is	is	is
not	not	not
WWII	wwii	WWII
,	,	,
and	and	and
it	it	it
s	s	s
definitely	definit	definitely
not	not	not
a	a	a
game	game	game
,	,	,
Donnie	donni	Donnie
.	.	.
Your	your	Your
treating	treat	treating
it	it	it
as	as	a
such	such	such
doesn	doesn	doesn
t	t	t
just	just	just
show	show	show
astonishing	astonish	astonishing
arrogance	arrog	arrogance
,	,	,
but	but	but
it	it	it
also	also	also
shows	show	show
that	that	that
you	you	you
re	re	re
wholly	wholli	wholly
unqualified	unqualifi	unqualified
to	to	to
be	be	be
the	the	the
Commander	command	Commander
in	in	in
Chief	chief	Chief
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
.	.	.
You	you	You
will	will	will
never	never	never
be	be	be
able	abl	able
to	to	to
understand	understand	understand
how	how	how
anything	anyth	anything
works	work	work
as	as	a
long	long	long
as	as	a
you	you	you
keep	keep	keep
treating	treat	treating
everything	everyth	everything
as	as	a
winning	win	winning
versus	versus	versus
losing	lose	losing
.	.	.
As	as	As
though	though	though
it	it	it
s	s	s
a	a	a
goddamn	goddamn	goddamn
football	footbal	football
game	game	game
.	.	.
It	it	It
s	s	s
not	not	not
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Joe	joe	Joe
Raedle	raedl	Raedle
Getty	getti	Getty
Images	imag	Images
