Kevin	kevin	Kevin
with	with	with
Detroit	detroit	Detroit
police	polic	police
.	.	.

It	it	It
should	should	should
go	go	go
without	without	without
saying	say	saying
that	that	that
an	an	an
impartial	imparti	impartial
investigation	investig	investigation
cannot	cannot	cannot
begin	begin	begin
with	with	with
a	a	a
biased	bias	biased
premise	premis	premise
.	.	.
Many	mani	Many
details	detail	detail
about	about	about
what	what	what
happened	happen	happened
that	that	that
day	day	day
are	are	are
not	not	not
available	avail	available
.	.	.

It	it	It
appears	appear	appears
that	that	that
an	an	an
unidentified	unidentifi	unidentified
Dearborn	dearborn	Dearborn
police	polic	police
officer	offic	officer
spotted	spot	spotted
Matthews	matthew	Matthews
walking	walk	walking
on	on	on
the	the	the
sidewalk	sidewalk	sidewalk
at	at	at
the	the	the
border	border	border
of	of	of
Detroit	detroit	Detroit
and	and	and
Dearborn	dearborn	Dearborn
.	.	.

The	the	The
Dearborn	dearborn	Dearborn
officer	offic	officer
placed	place	placed
a	a	a
call	call	call
to	to	to
dispatch	dispatch	dispatch
stating	state	stating
that	that	that
he	he	he
was	was	wa
approaching	approach	approaching
one	one	one
on	on	on
foot	foot	foot
.	.	.

Three	three	Three
minutes	minut	minute
later	later	later
the	the	the
officer	offic	officer
placed	place	placed
a	a	a
shots	shot	shot
fired	fire	fired
call	call	call
.	.	.
It	it	It
is	is	is
clear	clear	clear
that	that	that
the	the	the
officer	offic	officer
crossed	cross	crossed
the	the	the
boundary	boundari	boundary
between	between	between
Detroit	detroit	Detroit
and	and	and
Dearborn	dearborn	Dearborn
to	to	to
approach	approach	approach
Matthews	matthew	Matthews
.	.	.
They	they	They
claim	claim	claim
that	that	that
Matthews	matthew	Matthews
fled	fled	fled
on	on	on
foot	foot	foot
into	into	into
a	a	a
nearby	nearbi	nearby
backyard	backyard	backyard
.	.	.

Police	polic	Police
also	also	also
claim	claim	claim
that	that	that
a	a	a
struggle	struggl	struggle
ensued	ensu	ensued
and	and	and
that	that	that
Matthews	matthew	Matthews
reached	reach	reached
for	for	for
the	the	the
officers	offic	officer
gun	gun	gun
.	.	.

This	this	This
is	is	is
why	whi	why
he	he	he
was	was	wa
shot	shot	shot
at	at	at
least	least	least
six	six	six
times	time	time
.	.	.
According	accord	According
to	to	to
family	famili	family
members	member	member
,	,	,
Matthews	matthew	Matthews
was	was	wa
disabled	disabl	disabled
.	.	.

Aside	asid	Aside
from	from	from
being	be	being
diagnosed	diagnos	diagnosed
with	with	with
paranoid	paranoid	paranoid
schizophrenia	schizophrenia	schizophrenia
,	,	,
a	a	a
recent	recent	recent
car	car	car
accident	accid	accident
had	had	had
left	left	left
one	one	one
of	of	of
his	his	his
arms	arm	arm
virtually	virtual	virtually
unusable	unus	unusable
.	.	.

Voice	voic	Voice
of	of	of
Detroit	detroit	Detroit
reports	report	report
that	that	that
a	a	a
cast	cast	cast
had	had	had
just	just	just
been	been	been
removed	remov	removed
from	from	from
his	his	his
arm	arm	arm
,	,	,
and	and	and
that	that	that
his	his	his
fingers	finger	finger
remained	remain	remained
clenched	clench	clenched
up	up	up
.	.	.

The	the	The
officer	offic	officer
,	,	,
who	who	who
is	is	is
described	describ	described
as	as	a
a	a	a
white	white	white
male	male	male
with	with	with
five	five	five
years	year	year
on	on	on
the	the	the
force	forc	force
,	,	,
pursued	pursu	pursued
Matthews	matthew	Matthews
out	out	out
of	of	of
his	his	his
own	own	own
jurisdiction	jurisdict	jurisdiction
,	,	,
and	and	and
away	away	away
from	from	from
the	the	the
area	area	area
where	where	where
his	his	his
vehicle	vehicl	vehicle
s	s	s
dashcam	dashcam	dashcam
would	would	would
record	record	record
what	what	what
took	took	took
place	place	place
.	.	.

Police	polic	Police
have	have	have
not	not	not
stated	state	stated
whether	whether	whether
there	there	there
is	is	is
any	ani	any
video	video	video
or	or	or
audio	audio	audio
evidence	evid	evidence
in	in	in
this	this	this
case	case	case
.	.	.
Social	social	Social
justice	justic	justice
advocates	advoc	advocate
are	are	are
calling	call	calling
for	for	for
an	an	an
independent	independ	independent
investigation	investig	investigation
into	into	into
the	the	the
shooting	shoot	shooting
.	.	.
Detroit	detroit	Detroit
police	polic	police
commissioner	commission	commissioner
,	,	,
Ricardo	ricardo	Ricardo
Moore	moor	Moore
,	,	,
also	also	also
called	call	called
for	for	for
an	an	an
independent	independ	independent
investigation	investig	investigation
into	into	into
the	the	the
shooting	shoot	shooting
.	.	.

Moore	moor	Moore
expressed	express	expressed
concern	concern	concern
about	about	about
Police	polic	Police
Chief	chief	Chief
Craig	craig	Craig
s	s	s
statements	statement	statement
to	to	to
the	the	the
press	press	press
,	,	,
criticizing	critic	criticizing
him	him	him
for	for	for
escalating	escal	escalating
tensions	tension	tension
in	in	in
the	the	the
community	communiti	community
,	,	,
rather	rather	rather
than	than	than
increasing	increas	increasing
public	public	public
trust	trust	trust
.	.	.

Because	becaus	Because
of	of	of
Craig	craig	Craig
s	s	s
biased	bias	biased
statement	statement	statement
against	against	against
the	the	the
deceased	deceas	deceased
suspect	suspect	suspect
,	,	,
this	this	this
situation	situat	situation
would	would	would
warrant	warrant	warrant
an	an	an
independent	independ	independent
investigation	investig	investigation
from	from	from
the	the	the
Michigan	michigan	Michigan
State	state	State
Police	polic	Police
,	,	,
solely	sole	solely
.	.	.

Craig	craig	Craig
should	should	should
be	be	be
trying	tri	trying
to	to	to
give	give	give
the	the	the
public	public	public
trust	trust	trust
in	in	in
this	this	this
investigation	investig	investigation
,	,	,
as	as	a
opposed	oppos	opposed
to	to	to
creating	creat	creating
tension	tension	tension
between	between	between
the	the	the
community	communiti	community
and	and	and
the	the	the
police	polic	police
.	.	.

Both	both	Both
Craig	craig	Craig
and	and	and
Dearborn	dearborn	Dearborn
police	polic	police
chief	chief	chief
Haddad	haddad	Haddad
have	have	have
worked	work	worked
hard	hard	hard
to	to	to
demonize	demon	demonize
Matthews	matthew	Matthews
in	in	in
the	the	the
press	press	press
.	.	.

Although	although	Although
he	he	he
has	has	ha
no	no	no
felony	feloni	felony
criminal	crimin	criminal
record	record	record
,	,	,
both	both	both
the	the	the
Detroit	detroit	Detroit
and	and	and
Dearborn	dearborn	Dearborn
police	polic	police
chiefs	chief	chief
want	want	want
the	the	the
public	public	public
to	to	to
believe	believ	believe
that	that	that
Matthews	matthew	Matthews
had	had	had
a	a	a
crime	crime	crime
problem	problem	problem
.	.	.

According	accord	According
to	to	to
Reverend	reverend	Reverend
Charles	charl	Charles
Williams	william	Williams
II	ii	II
,	,	,
chair	chair	chair
of	of	of
the	the	the
National	nation	National
Action	action	Action
Network	network	Network
NAN	nan	NAN
Matthews	matthew	Matthews
was	was	wa
both	both	both
well	well	well
-loved	-love	-loved
and	and	and
well	well	well
-respected	-respect	-respected
in	in	in
the	the	the
community	communiti	community
,	,	,
in	in	in
spite	spite	spite
of	of	of
the	the	the
challenges	challeng	challenge
he	he	he
faced	face	faced
.	.	.

He	he	He
was	was	wa
one	one	one
of	of	of
those	those	those
folks	folk	folk
in	in	in
the	the	the
community	communiti	community
who	who	who
was	was	wa
definitely	definit	definitely
a	a	a
respected	respect	respected
person	person	person
.	.	.

Not	not	Not
only	onli	only
did	did	did
they	they	they
know	know	know
him	him	him
well	well	well
,	,	,
they	they	they
knew	knew	knew
his	his	his
challenges	challeng	challenge
well	well	well
.	.	.

Police	polic	Police
officers	offic	officer
on	on	on
the	the	the
Detroit	detroit	Detroit
side	side	side
knew	knew	knew
him	him	him
also	also	also
.	.	.

When	when	When
they	they	they
saw	saw	saw
him	him	him
wandering	wander	wandering
,	,	,
they	they	they
would	would	would
give	give	give
him	him	him
a	a	a
ride	ride	ride
to	to	to
his	his	his
mother	mother	mother
s	s	s
house	hous	house
.	.	.

It	it	It
is	is	is
concerning	concern	concerning
to	to	to
me	me	me
that	that	that
the	the	the
officer	offic	officer
claimed	claim	claimed
he	he	he
felt	felt	felt
threatened	threaten	threatened
.	.	.

Not	not	Not
only	onli	only
did	did	did
Kevin	kevin	Kevin
have	have	have
a	a	a
broken	broken	broken
arm	arm	arm
,	,	,
but	but	but
he	he	he
was	was	wa
a	a	a
very	veri	very
small	small	small
guy	guy	guy
.	.	.

Here	here	Here
s	s	s
more	more	more
on	on	on
the	the	the
story	stori	story
from	from	from
WXYZ	wxyz	WXYZ
.	.	.
Featured	featur	Featured
image	imag	image
credit	credit	credit
video	video	video
screen	screen	screen
capture	captur	capture
WXYZ	wxyz	WXYZ

