On	on	On
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
LaVoy	lavoy	LaVoy
has	has	ha
left	left	left
us	us	u
,	,	,
but	but	but
his	his	his
sacrifice	sacrific	sacrifice
will	will	will
never	never	never
be	be	be
far	far	far
from	from	from
the	the	the
lips	lip	lip
of	of	of
those	those	those
who	who	who
love	love	love
liberty	liberti	liberty
.	.	.

You	you	You
cannot	cannot	cannot
defeat	defeat	defeat
us	us	u
.	.	.

Our	our	Our
blood	blood	blood
is	is	is
seed	seed	seed
.	.	.
Posted	post	Posted
by	by	by
Bundy	bundi	Bundy
Ranch	ranch	Ranch
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
January	januari	January
26	26	26
,	,	,
2016The	2016the	2016The
reaction	reaction	reaction
from	from	from
the	the	the
not	not	not
-at-all-racist	-at-all-racist	-at-all-racist
right	right	right
wing	wing	wing
was	was	wa
immediate	immedi	immediate
and	and	and
100	100	100
predictable	predict	predictable
They	they	They
played	play	played
the	the	the
white	white	white
victim	victim	victim
card	card	card
.	.	.

Because	becaus	Because
white	white	white
people	peopl	people
are	are	are
oppressed	oppress	oppressed
in	in	in
America	america	America
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
If	if	If
these	these	these
people	peopl	people
were	were	were
protesting	protest	protesting
in	in	in
the	the	the
city	citi	city
and	and	and
were	were	were
a	a	a
different	differ	different
color	color	color
the	the	the
police	polic	police
and	and	and
FBI	fbi	FBI
would	would	would
have	have	have
left	left	left
them	them	them
alone	alon	alone
to	to	to
Posted	post	Posted
by	by	by
Kevin	kevin	Kevin
Bradshaw	bradshaw	Bradshaw
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
January	januari	January
26	26	26
,	,	,
2016	2016	2016
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Remember	rememb	Remember
when	when	when
the	the	the
police	polic	police
shot	shot	shot
and	and	and
killed	kill	killed
the	the	the
violent	violent	violent
Ferguson	ferguson	Ferguson
protestors	protestor	protestors
after	after	after
they	they	they
did	did	did
millions	million	million
in	in	in
damage	damag	damage
,	,	,
looted	loot	looted
,	,	,
Posted	post	Posted
by	by	by
Dane	dane	Dane
Frederick	frederick	Frederick
Hoover	hoover	Hoover
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
January	januari	January
27	27	27
,	,	,
2016In	2016in	2016In
the	the	the
alternate	altern	alternate
reality	realiti	reality
the	the	the
right	right	right
wing	wing	wing
lives	live	life
in	in	in
,	,	,
the	the	the
cops	cop	cop
went	went	went
easy	easi	easy
on	on	on
the	the	the
Ferguson	ferguson	Ferguson
protesters	protest	protester
.	.	.

They	they	They
must	must	must
have	have	have
missed	miss	missed
the	the	the
part	part	part
where	where	where
the	the	the
police	polic	police
showed	show	showed
up	up	up
in	in	in
full	full	full
military	militari	military
gear	gear	gear
like	like	like
an	an	an
invading	invad	invading
army	armi	army
.	.	.
Image	imag	Image
courtesy	courtesi	courtesy
of	of	of
The	the	The
Feminist	feminist	Feminist
WireThere	wirether	WireThere
were	were	were
tanks	tank	tank
in	in	in
Ferguson	ferguson	Ferguson
.	.	.

Fucking	fuck	Fucking
tanks	tank	tank
against	against	against
unarmed	unarm	unarmed
protesters	protest	protester
.	.	.

TANKS	tank	TANKS
!	!	!

Meanwhile	meanwhil	Meanwhile
,	,	,
the	the	the
armed	arm	armed
militants	milit	militant
in	in	in
Oregon	oregon	Oregon
promised	promis	promised
to	to	to
kill	kill	kill
anyone	anyon	anyone
that	that	that
tried	tri	tried
to	to	to
arrest	arrest	arrest
them	them	them
and	and	and
they	they	they
were	were	were
allowed	allow	allowed
to	to	to
hold	hold	hold
fucking	fuck	fucking
press	press	press
conferences	confer	conference
.	.	.

Clearly	clear	Clearly
,	,	,
Bundy	bundi	Bundy
and	and	and
his	his	his
terrorists	terrorist	terrorist
got	got	got
the	the	the
shaft	shaft	shaft
.	.	.
But	but	But
it	it	it
s	s	s
OK	ok	OK
!	!	!

The	the	The
White	white	White
Crusaders	crusad	Crusaders
at	at	at
the	the	the
not	not	not
-at-all-racist	-at-all-racist	-at-all-racist
Stormfront	stormfront	Stormfront
know	know	know
who	who	who
to	to	to
blame	blame	blame
!	!	!

The	the	The
Jews	jew	Jews
and	and	and
America	america	America
s	s	s
anti	anti	anti
-white	-white	-white
hatred	hatr	hatred
,	,	,
of	of	of
course	cours	course
__________________Adolf	__________________adolf	__________________Adolf
Hitlist	hitlist	Hitlist
s	s	s
S	s	S
.	.	.
O	o	O
.	.	.
F	f	F
.	.	.
Statements	statement	Statements
Of	of	Of
Fact	fact	Fact
1	1	1
.	.	.

The	the	The
Jews	jew	Jews
want	want	want
a	a	a
world	world	world
where	where	where
life	life	life
is	is	is
lived	live	lived
in	in	in
fear	fear	fear
,	,	,
and	and	and
cowardice	cowardic	cowardice
is	is	is
how	how	how
you	you	you
survive	surviv	survive
.	.	.

2	2	2
.	.	.

Multi	multi	Multi
-racialism	-racial	-racialism
breeds	breed	breed
racism	racism	racism
.	.	.

How	how	How
can	can	can
you	you	you
hate	hate	hate
minorities	minor	minority
if	if	if
you	you	you
don	don	don
t	t	t
know	know	know
any	ani	any
.	.	.

3	3	3
.	.	.

Trying	tri	Trying
to	to	to
fight	fight	fight
Communism	communism	Communism
with	with	with
Democracy	democraci	Democracy
is	is	is
like	like	like
trying	tri	trying
to	to	to
stab	stab	stab
someone	someon	someone
who	who	who
is	is	is
shooting	shoot	shooting
at	at	at
you	you	you
.	.	.

4	4	4
.	.	.

Black	black	Black
isn	isn	isn
t	t	t
the	the	the
opposite	opposit	opposite
of	of	of
White	white	White
!	!	!

Jewish	jewish	Jewish
is	is	is
!	!	!
On	on	On
the	the	the
contrary	contrari	contrary
,	,	,
you	you	you
should	should	should
read	read	read
the	the	the
report	report	report
that	that	that
the	the	the
USGS	usg	USGS
published	publish	published
about	about	about
the	the	the
area	area	area
.	.	.

I	i	I
think	think	think
the	the	the
Jewmerican	jewmerican	Jewmerican
regime	regim	regime
wanted	want	wanted
to	to	to
push	push	push
everyone	everyon	everyone
out	out	out
so	so	so
they	they	they
can	can	can
mine	mine	mine
those	those	those
metals	metal	metal
,	,	,
render	render	render
it	it	it
uninhabitable	uninhabit	uninhabitable
to	to	to
whites	white	white
at	at	at
the	the	the
same	same	same
time	time	time
,	,	,
and	and	and
sell	sell	sell
the	the	the
metals	metal	metal
to	to	to
China	china	China
,	,	,
Israel	israel	Israel
and	and	and
anyone	anyon	anyone
else	els	else
who	who	who
wants	want	want
to	to	to
harm	harm	harm
,	,	,
or	or	or
kill	kill	kill
us	us	u
.	.	.

They	they	They
have	have	have
driven	driven	driven
everyone	everyon	everyone
else	els	else
off	off	off
their	their	their
land	land	land
,	,	,
Bundy	bundi	Bundy
was	was	wa
the	the	the
last	last	last
.	.	.

Now	now	Now
we	we	we
will	will	will
see	see	see
that	that	that
the	the	the
feds	fed	fed
have	have	have
no	no	no
intention	intent	intention
to	to	to
leave	leav	leave
that	that	that
lands	land	land
as	as	a
a	a	a
refuge	refug	refuge
for	for	for
wildlife	wildlif	wildlife
.	.	.
I	i	I
m	m	m
furious	furious	furious
.	.	.

Absolutely	absolut	Absolutely
enraged	enrag	enraged
.	.	.

This	this	This
is	is	is
a	a	a
direct	direct	direct
,	,	,
frontal	frontal	frontal
assault	assault	assault
on	on	on
White	white	White
America	america	America
by	by	by
the	the	the
hostile	hostil	hostile
,	,	,
occupation	occup	occupation
government	govern	government
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
The	the	The
authorities	author	authority
shoot	shoot	shoot
and	and	and
kill	kill	kill
a	a	a
White	white	White
man	man	man
for	for	for
exercising	exercis	exercising
civil	civil	civil
rights	right	right
while	while	while
blacks	black	black
,	,	,
browns	brown	brown
and	and	and
their	their	their
liberal	liber	liberal
enablers	enabl	enablers
get	get	get
protected	protect	protected
and	and	and
publicly	public	publicly
lauded	laud	lauded
for	for	for
exercising	exercis	exercising
the	the	the
same	same	same
civil	civil	civil
rights	right	right
.	.	.
A	a	A
White	white	White
patriot	patriot	patriot
in	in	in
Oregon	oregon	Oregon
gets	get	get
a	a	a
bullet	bullet	bullet
.	.	.

Non	non	Non
-white	-white	-white
looters	looter	looter
in	in	in
Baltimore	baltimor	Baltimore
get	get	get
room	room	room
to	to	to
destroy	destroy	destroy
.	.	.

The	the	The
National	nation	National
Guard	guard	Guard
stands	stand	stand
idly	idl	idly
by	by	by
and	and	and
watches	watch	watch
while	while	while
blacks	black	black
burn	burn	burn
Ferguson	ferguson	Ferguson
.	.	.

Politicians	politician	Politicians
of	of	of
both	both	both
the	the	the
GOP	gop	GOP
and	and	and
Democrat	democrat	Democrat
varieties	varieti	variety
praise	prais	praise
the	the	the
non	non	non
-white	-white	-white
protesters	protest	protester
causing	caus	causing
chaos	chao	chaos
in	in	in
cities	citi	city
all	all	all
across	across	across
America	america	America
because	becaus	because
,	,	,
ya	ya	ya
know	know	know
,	,	,
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
.	.	.

White	white	White
lives	live	life
,	,	,
however	howev	however
,	,	,
are	are	are
apparently	appar	apparently
expendable	expend	expendable
when	when	when
the	the	the
federal	feder	federal
government	govern	government
wants	want	want
to	to	to
make	make	make
a	a	a
point	point	point
about	about	about
who	who	who
s	s	s
in	in	in
charge	charg	charge
.	.	.
What	what	What
s	s	s
wrong	wrong	wrong
with	with	with
this	this	this
picture	pictur	picture
,	,	,
kinsmen	kinsmen	kinsman
?	?	?
The	the	The
obvious	obvious	obvious
question	question	question
to	to	to
ask	ask	ask
now	now	now
is	is	is
how	how	how
many	mani	many
cops	cop	cop
will	will	will
be	be	be
assassinated	assassin	assassinated
over	over	over
the	the	the
death	death	death
of	of	of
a	a	a
right	right	right
wing	wing	wing
terrorist	terrorist	terrorist
?	?	?

Unlike	unlik	Unlike
the	the	the
Black	black	Black
Lives	live	Lives
Matter	matter	Matter
movement	movement	movement
,	,	,
right	right	right
wing	wing	wing
extremists	extremist	extremist
ARE	are	ARE
violent	violent	violent
.	.	.

Incredibly	incred	Incredibly
so	so	so
.	.	.

They	they	They
re	re	re
consumed	consum	consumed
with	with	with
visions	vision	vision
of	of	of
a	a	a
race	race	race
war	war	war
to	to	to
take	take	take
back	back	back
their	their	their
country	countri	country
from	from	from
all	all	all
of	of	of
Those	those	Those
People	peopl	People
and	and	and
see	see	see
anyone	anyon	anyone
with	with	with
a	a	a
badge	badg	badge
or	or	or
darker	darker	darker
skin	skin	skin
as	as	a
the	the	the
enemy	enemi	enemy
.	.	.

The	the	The
last	last	last
time	time	time
the	the	the
FBI	fbi	FBI
killed	kill	killed
a	a	a
right	right	right
wing	wing	wing
militant	milit	militant
,	,	,
they	they	they
went	went	went
on	on	on
a	a	a
rampage	rampag	rampage
that	that	that
ended	end	ended
with	with	with
the	the	the
Oklahoma	oklahoma	Oklahoma
City	citi	City
Bombing	bomb	Bombing
and	and	and
dozens	dozen	dozen
of	of	of
dead	dead	dead
children	children	child
.	.	.

The	the	The
right	right	right
is	is	is
far	far	far
more	more	more
radicalized	radic	radicalized
now	now	now
and	and	and
violence	violenc	violence
is	is	is
inevitable	inevit	inevitable
.	.	.
Will	will	Will
we	we	we
continue	continu	continue
to	to	to
ignore	ignor	ignore
right	right	right
wing	wing	wing
extremists	extremist	extremist
and	and	and
pretend	pretend	pretend
that	that	that
there	there	there
isn	isn	isn
t	t	t
a	a	a
burgeoning	burgeon	burgeoning
insurrection	insurrect	insurrection
fueled	fuel	fueled
by	by	by
racism	racism	racism
in	in	in
America	america	America
?	?	?

Or	or	Or
will	will	will
we	we	we
finally	final	finally
start	start	start
treating	treat	treating
them	them	them
like	like	like
the	the	the
terrorists	terrorist	terrorist
they	they	they
are	are	are
only	onli	only
after	after	after
the	the	the
next	next	next
federal	feder	federal
building	build	building
is	is	is
blown	blown	blown
up	up	up
?	?	?
Featured	featur	Featured
image	imag	image
via	via	via
Facebook	facebook	Facebook
.	.	.

