All	all	All
Vietnam	vietnam	Vietnam
War	war	War
,	,	,
and	and	and
the	the	the
party	parti	party
s	s	s
veiled	veil	veiled
racist	racist	racist
messages	messag	message
at	at	at
the	the	the
1968	1968	1968
Republican	republican	Republican
National	nation	National
Convention	convent	Convention
these	these	these
veiled	veil	veiled
racist	racist	racist
messages	messag	message
would	would	would
later	later	later
be	be	be
known	known	known
as	as	a
the	the	the
Southern	southern	Southern
Strategy	strategi	Strategy
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
,	,	,
on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
who	who	who
is	is	is
roughly	rough	roughly
the	the	the
same	same	same
age	age	age
as	as	a
Clinton	clinton	Clinton
,	,	,
stayed	stay	stayed
in	in	in
the	the	the
GOP	gop	GOP
for	for	for
a	a	a
lot	lot	lot
longer	longer	longer
,	,	,
but	but	but
realized	realiz	realized
coincidentally	coincident	coincidentally
,	,	,
during	dure	during
the	the	the
Clinton	clinton	Clinton
Administration	administr	Administration
that	that	that
they	they	they
were	were	were
nothing	noth	nothing
but	but	but
a	a	a
bunch	bunch	bunch
of	of	of
frauds	fraud	fraud
suckling	suckl	suckling
at	at	at
the	the	the
teat	teat	teat
of	of	of
big	big	big
money	money	money
I	i	I
was	was	wa
an	an	an
independent	independ	independent
.	.	.
I	i	I
was	was	wa
with	with	with
the	the	the
GOP	gop	GOP
for	for	for
a	a	a
while	while	while
because	becaus	because
I	i	I
really	realli	really
thought	thought	thought
that	that	that
it	it	it
was	was	wa
a	a	a
party	parti	party
that	that	that
was	was	wa
principled	principl	principled
in	in	in
its	it	it
conservative	conserv	conservative
approach	approach	approach
to	to	to
economics	econom	economics
and	and	and
to	to	to
markets	market	market
.	.	.
And	and	And
I	i	I
feel	feel	feel
like	like	like
the	the	the
GOP	gop	GOP
party	parti	party
just	just	just
left	left	left
that	that	that
.	.	.
They	they	They
moved	move	moved
to	to	to
a	a	a
party	parti	party
that	that	that
said	said	said
,	,	,
No	no	No
,	,	,
it	it	it
s	s	s
not	not	not
about	about	about
a	a	a
level	level	level
playing	play	playing
field	field	field
.	.	.
It	it	It
s	s	s
now	now	now
about	about	about
a	a	a
field	field	field
that	that	that
s	s	s
gotten	gotten	gotten
tilted	tilt	tilted
.	.	.
And	and	And
they	they	they
really	realli	really
stood	stood	stood
up	up	up
for	for	for
the	the	the
big	big	big
financial	financi	financial
institutions	institut	institution
when	when	when
the	the	the
big	big	big
financial	financi	financial
institutions	institut	institution
are	are	are
just	just	just
hammering	hammer	hammering
middle	middl	middle
class	class	class
American	american	American
families	famili	family
.	.	.
I	i	I
just	just	just
feel	feel	feel
like	like	like
that	that	that
s	s	s
a	a	a
party	parti	party
that	that	that
moved	move	moved
way	way	way
,	,	,
way	way	way
away	away	away
.	.	.
Two	two	Two
iconic	icon	iconic
,	,	,
liberal	liber	liberal
women	women	woman
.	.	.
Both	both	Both
former	former	former
Republicans	republican	Republicans
.	.	.
Now	now	Now
?	?	?
They	they	They
may	may	may
be	be	be
the	the	the
next	next	next
President	presid	President
and	and	and
Vice	vice	Vice
President	presid	President
of	of	of
the	the	the
United	unit	United
States	state	States
.	.	.
Compared	compar	Compared
to	to	to
Warren	warren	Warren
and	and	and
indeed	inde	indeed
Sanders	sander	Sanders
,	,	,
Clinton	clinton	Clinton
is	is	is
certainly	certain	certainly
the	the	the
more	more	more
moderate	moder	moderate
one	one	one
.	.	.
But	but	But
that	that	that
doesn	doesn	doesn
t	t	t
mean	mean	mean
she	she	she
isn	isn	isn
t	t	t
a	a	a
progressive	progress	progressive
in	in	in
her	her	her
own	own	own
right	right	right
,	,	,
fighting	fight	fighting
for	for	for
the	the	the
rights	right	right
of	of	of
women	women	woman
and	and	and
children	children	child
for	for	for
decades	decad	decade
and	and	and
standing	stand	standing
up	up	up
to	to	to
lobbies	lobbi	lobby
that	that	that
want	want	want
to	to	to
turn	turn	turn
back	back	back
the	the	the
clocks	clock	clock
.	.	.
Clinton	clinton	Clinton
s	s	s
compassion	compass	compassion
for	for	for
working	work	working
families	famili	family
,	,	,
coupled	coupl	coupled
with	with	with
Warren	warren	Warren
s	s	s
watchdog	watchdog	watchdog
zeal	zeal	zeal
for	for	for
the	the	the
big	big	big
banks	bank	bank
,	,	,
seems	seem	seems
to	to	to
make	make	make
us	us	u
forget	forget	forget
they	they	they
started	start	started
with	with	with
conservative	conserv	conservative
backgrounds	background	background
.	.	.
It	it	It
s	s	s
interesting	interest	interesting
how	how	how
that	that	that
works	work	work
.	.	.
From	from	From
humble	humbl	humble
,	,	,
conservative	conserv	conservative
backgrounds	background	background
to	to	to
being	be	being
the	the	the
front	front	front
page	page	page
news	news	news
on	on	on
the	the	the
cusp	cusp	cusp
of	of	of
history	histori	history
as	as	a
Democrats	democrat	Democrats
.	.	.
Some	some	Some
conservatives	conserv	conservative
cow	cow	cow
tow	tow	tow
to	to	to
the	the	the
elites	elit	elite
,	,	,
like	like	like
the	the	the
so	so	so
called	call	called
Reagan	reagan	Reagan
Democrats	democrat	Democrats
,	,	,
and	and	and
others	other	others
wake	wake	wake
up	up	up
one	one	one
day	day	day
,	,	,
look	look	look
around	around	around
,	,	,
and	and	and
realize	realiz	realize
that	that	that
the	the	the
system	system	system
isn	isn	isn
t	t	t
working	work	working
anymore	anymor	anymore
.	.	.
So	so	So
they	they	they
become	becom	become
Democrats	democrat	Democrats
,	,	,
and	and	and
fight	fight	fight
to	to	to
make	make	make
the	the	the
country	countri	country
a	a	a
better	better	better
place	place	place
.	.	.
While	while	While
the	the	the
Democrats	democrat	Democrats
have	have	have
hopefully	hope	hopefully
chosen	chosen	chosen
an	an	an
evolved	evolv	evolved
ticket	ticket	ticket
,	,	,
Republicans	republican	Republicans
have	have	have
nominated	nomin	nominated
a	a	a
constant	constant	constant
flip	flip	flip
flopper	flopper	flopper
;	;	;
Trump	trump	Trump
was	was	wa
a	a	a
Democrat	democrat	Democrat
before	befor	before
1987	1987	1987
;	;	;
Republican	republican	Republican
from	from	from
1987	1987	1987
to	to	to
1999	1999	1999
;	;	;
Reform	reform	Reform
from	from	from
1999	1999	1999
to	to	to
2001	2001	2001
;	;	;
Democrat	democrat	Democrat
again	again	again
from	from	from
2001	2001	2001
to	to	to
2009	2009	2009
;	;	;
Republican	republican	Republican
again	again	again
from	from	from
2009	2009	2009
to	to	to
2011	2011	2011
;	;	;
Independent	independ	Independent
from	from	from
2011	2011	2011
to	to	to
2012	2012	2012
;	;	;
and	and	and
is	is	is
now	now	now
a	a	a
Republican	republican	Republican
,	,	,
again	again	again
.	.	.
These	these	These
two	two	two
ladies	ladi	lady
had	had	had
what	what	what
s	s	s
called	call	called
a	a	a
natural	natur	natural
progression	progress	progression
.	.	.
Trump	trump	Trump
?	?	?
He	he	He
s	s	s
seen	seen	seen
opportunities	opportun	opportunity
to	to	to
benefit	benefit	benefit
him	him	him
and	and	and
only	onli	only
him	him	him
.	.	.
With	with	With
Warren	warren	Warren
and	and	and
Clinton	clinton	Clinton
,	,	,
America	america	America
gets	get	get
exactly	exact	exactly
what	what	what
they	they	they
see	see	see
.	.	.
With	with	With
Trump	trump	Trump
,	,	,
who	who	who
knows	know	know
.	.	.
But	but	But
what	what	what
we	we	we
do	do	do
know	know	know
is	is	is
this	this	this
Clinton	clinton	Clinton
Warren	warren	Warren
chose	chose	chose
to	to	to
become	becom	become
Democrats	democrat	Democrats
,	,	,
and	and	and
have	have	have
stuck	stuck	stuck
by	by	by
that	that	that
principle	principl	principle
for	for	for
decades	decad	decade
.	.	.
And	and	And
they	they	they
may	may	may
very	veri	very
well	well	well
be	be	be
our	our	our
next	next	next
President	presid	President
and	and	and
Vice	vice	Vice
President	presid	President
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Mark	mark	Mark
Wilson	wilson	Wilson
Getty	getti	Getty
Images	imag	Images
