Republican	republican	Republican
adding	ad	adding
,	,	,
then	then	then
absolutely	absolut	absolutely
please	pleas	please
go	go	go
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
everyone	everyon	everyone
.	.	.

She	she	She
actually	actual	actually
repeated	repeat	repeated
the	the	the
false	fals	false
statistics	statist	statistic
that	that	that
Donald	donald	Donald
used	use	used
that	that	that
have	have	have
already	alreadi	already
been	been	been
debunked	debunk	debunked
.	.	.

In	in	In
order	order	order
to	to	to
arrive	arriv	arrive
at	at	at
58	58	58
percent	percent	percent
,	,	,
one	one	one
would	would	would
have	have	have
to	to	to
add	add	add
in	in	in
all	all	all
black	black	black
youth	youth	youth
who	who	who
are	are	are
currently	current	currently
enrolled	enrol	enrolled
in	in	in
high	high	high
school	school	school
and	and	and
college	colleg	college
.	.	.

But	but	But
that	that	that
s	s	s
not	not	not
racist	racist	racist
at	at	at
all	all	all
,	,	,
mkay	mkay	mkay
?	?	?

But	but	But
he	he	he
s	s	s
saying	say	saying
,	,	,
you	you	you
can	can	can
t	t	t
do	do	do
any	ani	any
worse	wors	worse
,	,	,
she	she	she
concluded	conclud	concluded
.	.	.
Watch	watch	Watch
youtube	youtub	youtube
https://www.youtube.com/watch?v=8EH3zk0NShI]There	https://www.youtube.com/watch?v=8eh3zk0nshi]ther	https://www.youtube.com/watch?v=8EH3zk0NShI]There
s	s	s
nothing	noth	nothing
like	like	like
a	a	a
white	white	white
person	person	person
explaining	explain	explaining
to	to	to
black	black	black
people	peopl	people
how	how	how
they	they	they
should	should	should
live	live	live
and	and	and
by	by	by
using	use	using
false	fals	false
statitisitics	statitisit	statitisitics
.	.	.

In	in	In
2014	2014	2014
,	,	,
Donald	donald	Donald
tweeted	tweet	tweeted
,	,	,
President	presid	President
Obama	obama	Obama
has	has	ha
absolutely	absolut	absolutely
no	no	no
control	control	control
or	or	or
respect	respect	respect
over	over	over
the	the	the
African	african	African
American	american	American
community	communiti	community
they	they	they
have	have	have
fared	fare	fared
so	so	so
poorly	poor	poorly
under	under	under
his	his	his
presidency	presid	presidency
.	.	.

We	we	We
re	re	re
sure	sure	sure
Ms	ms	Ms
.	.	.
Conway	conway	Conway
doesn	doesn	doesn
t	t	t
find	find	find
that	that	that
offensive	offens	offensive
either	either	either
.	.	.
A	a	A
70	70	70
-year-old	-year-old	-year-old
white	white	white
man	man	man
feels	feel	feel
that	that	that
African	african	African
-Americans	-american	-Americans
should	should	should
be	be	be
controlled	control	controlled
and	and	and
that	that	that
s	s	s
the	the	the
same	same	same
white	white	white
supremacist	supremacist	supremacist
thinking	think	thinking
that	that	that
also	also	also
supports	support	support
his	his	his
candidacy	candidaci	candidacy
.	.	.

Imagine	imagin	Imagine
that	that	that
.	.	.

What	what	What
a	a	a
coincidence	coincid	coincidence
.	.	.
In	in	In
June	june	June
,	,	,
Trump	trump	Trump
was	was	wa
found	found	found
to	to	to
have	have	have
garnered	garner	garnered
a	a	a
whopping	whop	whopping
one	one	one
percent	percent	percent
among	among	among
African	african	African
-American	-american	-American
voters	voter	voter
.	.	.

It	it	It
s	s	s
only	onli	only
surprising	surpris	surprising
that	that	that
he	he	he
has	has	ha
any	ani	any
support	support	support
at	at	at
all	all	all
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.

