Reality	realiti	Reality
@KaivanShroff	@kaivanshroff	@KaivanShroff
December	decemb	December
18	18	18
,	,	,
2016Last	2016last	2016Last
Sunday	sunday	Sunday
,	,	,
Trump	trump	Trump
said	said	said
in	in	in
an	an	an
interview	interview	interview
on	on	on
Fox	fox	Fox
News	news	News
Sunday	sunday	Sunday
I	i	I
fully	fulli	fully
understand	understand	understand
the	the	the
One	one	One
China	china	China
policy	polici	policy
,	,	,
but	but	but
I	i	I
don	don	don
t	t	t
know	know	know
why	whi	why
we	we	we
have	have	have
to	to	to
be	be	be
bound	bound	bound
by	by	by
a	a	a
One	one	One
China	china	China
policy	polici	policy
unless	unless	unless
we	we	we
make	make	make
a	a	a
deal	deal	deal
with	with	with
China	china	China
having	have	having
to	to	to
do	do	do
with	with	with
other	other	other
things	thing	thing
,	,	,
including	includ	including
trade	trade	trade
.	.	.

Trump	trump	Trump
changes	chang	change
his	his	his
mind	mind	mind
like	like	like
the	the	the
wind	wind	wind
.	.	.

It	it	It
just	just	just
depends	depend	depends
on	on	on
what	what	what
he	he	he
wants	want	want
to	to	to
distract	distract	distract
us	us	u
from	from	from
.	.	.

And	and	And
Priebus	priebus	Priebus
just	just	just
lied	lie	lied
about	about	about
Trump	trump	Trump
s	s	s
lies	lie	lie
.	.	.
Image	imag	Image
via	via	via
screen	screen	screen
capture	captur	capture

