Though	though	Though
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
During	dure	During
your	your	your
campaign	campaign	campaign
you	you	you
attacked	attack	attacked
Muslim	muslim	Muslim
Americans	american	Americans
,	,	,
Hispanic	hispan	Hispanic
Americans	american	Americans
,	,	,
Female	femal	Female
Americans	american	Americans
,	,	,
Disabled	disabl	Disabled
Americans	american	Americans
Mark	mark	Mark
Pygas	pyga	Pygas
@MarkPygas	@markpyga	@MarkPygas
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
I'm	i'm	I'm
sure	sure	sure
you	you	you
had	had	had
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
it	it	it
,	,	,
though	though	though
.	.	.

pic.twitter.com/RILwITNPoA	pic.twitter.com/rilwitnpoa	pic.twitter.com/RILwITNPoA
Mark	mark	Mark
Pygas	pyga	Pygas
@MarkPygas	@markpyga	@MarkPygas
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@glogh1	@glogh1	@glogh1
@realDonaldTrumpNo	@realdonaldtrumpno	@realDonaldTrumpNo
smoke	smoke	smoke
without	without	without
fire	fire	fire
.	.	.

There's	there	There's
a	a	a
reason	reason	reason
these	these	these
guys	guy	guy
gave	gave	gave
official	offici	official
support	support	support
to	to	to
Trump	trump	Trump
pic.twitter.com/sreB3BGCPd	pic.twitter.com/sreb3bgcpd	pic.twitter.com/sreB3BGCPd
Tom	tom	Tom
Taylor	taylor	Taylor
@YesTomTaylor	@yestomtaylor	@YesTomTaylor
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Well	well	Well
,	,	,
if	if	if
the	the	the
dingleberry	dingleberri	dingleberry
who	who	who
thinks	think	think
Obama	obama	Obama
was	was	wa
born	born	born
a	a	a
Muslim	muslim	Muslim
says	say	say
so	so	so
,	,	,
it	it	it
must	must	must
be	be	be
true	true	true
!	!	!

REAL	real	REAL
NEWS	news	NEWS
!	!	!
!	!	!
!	!	!

Ben	ben	Ben
Hooper	hooper	Hooper
@BenHooperWrites	@benhooperwrit	@BenHooperWrites
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Oh	oh	Oh
go	go	go
fuck	fuck	fuck
yourself	yourself	yourself
,	,	,
traitor	traitor	traitor
.	.	.

Joe	joe	Joe
Harris	harri	Harris
@joeharris	@joeharri	@joeharris
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Are	are	Are
you	you	you
aware	awar	aware
if	if	if
members	member	member
of	of	of
your	your	your
staff	staff	staff
were	were	were
being	be	being
monitored	monitor	monitored
by	by	by
the	the	the
FBI	fbi	FBI
w	w	w
r	r	r
t	t	t
unusual	unusu	unusual
comms	comm	comms
.	.	.

with	with	with
Russian	russian	Russian
officials	offici	official
?	?	?

Productivty	productivti	Productivty
Tips	tip	Tips
?	?	?
?	?	?

@productivyttips	@productivyttip	@productivyttips
January	januari	January
19	19	19
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Have	have	Have
you	you	you
ever	ever	ever
taken	taken	taken
responsibility	respons	responsibility
for	for	for
your	your	your
shitty	shitti	shitty
actions	action	action
.	.	.
.	.	.
even	even	even
once	onc	once
?	?	?

Michelle	michell	Michelle
@RageMichelle	@ragemichell	@RageMichelle
January	januari	January
19	19	19
,	,	,
2017	2017	2017
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Oh	oh	Oh
,	,	,
geez	geez	geez
.	.	.

He	he	He
praised	prais	praised
your	your	your
Vlad	vlad	Vlad
for	for	for
protecting	protect	protecting
children	children	child
from	from	from
any	ani	any
homosexual	homosexu	homosexual
agenda	agenda	agenda
.	.	.
What	what	What
a	a	a
nut	nut	nut
!	!	!

https://t.co/DUpTZjIxwA	https://t.co/duptzjixwa	https://t.co/DUpTZjIxwA
Bess	bess	Bess
Kalb	kalb	Kalb
@bessbell	@bessbel	@bessbell
January	januari	January
19	19	19
,	,	,
2017Trump	2017trump	2017Trump
may	may	may
be	be	be
taking	take	taking
office	offic	office
,	,	,
but	but	but
he	he	he
is	is	is
already	alreadi	already
plagued	plagu	plagued
by	by	by
who	who	who
knows	know	know
how	how	how
many	mani	many
scandals	scandal	scandal
at	at	at
this	this	this
point	point	point
?	?	?

The	the	The
most	most	most
important	import	important
one	one	one
surrounds	surround	surround
Russia	russia	Russia
not	not	not
the	the	the
lady	ladi	lady
pee	pee	pee
bit	bit	bit
,	,	,
but	but	but
the	the	the
very	veri	very
serious	serious	serious
probability	probabl	probability
that	that	that
his	his	his
team	team	team
was	was	wa
directly	direct	directly
colluding	collud	colluding
with	with	with
the	the	the
enemy	enemi	enemy
to	to	to
install	instal	install
him	him	him
in	in	in
office	offic	office
.	.	.

In	in	In
any	ani	any
case	case	case
,	,	,
our	our	our
country	countri	country
is	is	is
fucked	fuck	fucked
.	.	.

He	he	He
knows	know	know
it	it	it
,	,	,
you	you	you
know	know	know
it	it	it
,	,	,
and	and	and
Putin	putin	Putin
knows	know	know
it	it	it
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Images	imag	Images
Mario	mario	Mario
Tama	tama	Tama
screengrab	screengrab	screengrab

