When	when	When
for	for	for
those	those	those
who	who	who
have	have	have
endorsed	endors	endorsed
him	him	him
.	.	.
On	on	On
Meet	meet	Meet
the	the	the
Press	press	Press
,	,	,
Clooney	clooney	Clooney
told	told	told
host	host	host
Chuck	chuck	Chuck
Todd	todd	Todd
why	whi	why
it	it	it
s	s	s
so	so	so
important	import	important
to	to	to
also	also	also
raise	rais	raise
money	money	money
for	for	for
down	down	down
-ticket	-ticket	-ticket
Democratic	democrat	Democratic
races	race	race
It	it	It
s	s	s
going	go	going
to	to	to
the	the	the
congressmen	congressmen	congressman
and	and	and
senators	senat	senator
to	to	to
try	tri	try
to	to	to
take	take	take
back	back	back
Congress	congress	Congress
.	.	.
And	and	And
the	the	the
reason	reason	reason
that	that	that
s	s	s
important	import	important
,	,	,
and	and	and
the	the	the
reason	reason	reason
it	it	it
s	s	s
important	import	important
to	to	to
me	me	me
,	,	,
is	is	is
because	becaus	because
we	we	we
need	need	need
I	i	I
m	m	m
a	a	a
Democrat	democrat	Democrat
.	.	.
So	so	So
if	if	if
you	you	you
re	re	re
a	a	a
Republican	republican	Republican
,	,	,
you	you	you
re	re	re
going	go	going
to	to	to
disagree	disagre	disagree
,	,	,
but	but	but
we	we	we
need	need	need
to	to	to
take	take	take
the	the	the
Senate	senat	Senate
back	back	back
.	.	.
Clooney	clooney	Clooney
also	also	also
made	made	made
the	the	the
very	veri	very
important	import	important
point	point	point
of	of	of
noting	note	noting
that	that	that
we	we	we
need	need	need
to	to	to
take	take	take
back	back	back
Congress	congress	Congress
so	so	so
that	that	that
we	we	we
can	can	can
actually	actual	actually
get	get	get
a	a	a
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
who	who	who
will	will	will
help	help	help
overturn	overturn	overturn
Citizens	citizen	Citizens
United	unit	United
and	and	and
get	get	get
big	big	big
money	money	money
out	out	out
of	of	of
politics	polit	politics
.	.	.
So	so	So
while	while	while
yes	yes	yes
,	,	,
he	he	he
did	did	did
agree	agre	agree
with	with	with
Sanders	sander	Sanders
that	that	that
we	we	we
need	need	need
to	to	to
get	get	get
big	big	big
money	money	money
out	out	out
,	,	,
it	it	it
s	s	s
not	not	not
going	go	going
to	to	to
happen	happen	happen
unless	unless	unless
there	there	there
is	is	is
support	support	support
of	of	of
Democrats	democrat	Democrats
nationwide	nationwid	nationwide
,	,	,
including	includ	including
monetarily	monetarili	monetarily
.	.	.
Keep	keep	Keep
in	in	in
mind	mind	mind
,	,	,
Clooney	clooney	Clooney
remarks	remark	remark
that	that	that
what	what	what
Sanders	sander	Sanders
has	has	ha
to	to	to
say	say	say
is	is	is
very	veri	very
important	import	important
,	,	,
including	includ	including
that	that	that
he	he	he
really	realli	really
likes	like	like
the	the	the
Vermont	vermont	Vermont
Senator	senat	Senator
,	,	,
and	and	and
if	if	if
he	he	he
were	were	were
to	to	to
get	get	get
the	the	the
nomination	nomin	nomination
he	he	he
will	will	will
do	do	do
whatever	whatev	whatever
he	he	he
can	can	can
to	to	to
get	get	get
him	him	him
elected	elect	elected
,	,	,
but	but	but
as	as	a
for	for	for
now	now	now
,	,	,
he	he	he
s	s	s
supporting	support	supporting
Hillary	hillari	Hillary
.	.	.
Party	parti	Party
strength	strength	strength
is	is	is
,	,	,
quite	quit	quite
literally	liter	literally
,	,	,
everything	everyth	everything
.	.	.
Without	without	Without
it	it	it
,	,	,
you	you	you
have	have	have
nothing	noth	nothing
.	.	.
You	you	You
have	have	have
a	a	a
mighty	mighti	mighty
platform	platform	platform
to	to	to
say	say	say
things	thing	thing
,	,	,
but	but	but
no	no	no
means	mean	mean
to	to	to
get	get	get
anything	anyth	anything
done	done	done
.	.	.
Those	those	Those
who	who	who
seek	seek	seek
to	to	to
divide	divid	divide
the	the	the
Democratic	democrat	Democratic
party	parti	party
don	don	don
t	t	t
realize	realiz	realize
how	how	how
dreadfully	dread	dreadfully
horrific	horrif	horrific
their	their	their
unintended	unintend	unintended
consequences	consequ	consequence
will	will	will
be	be	be
.	.	.
That	that	That
sort	sort	sort
of	of	of
myopic	myopic	myopic
thinking	think	thinking
,	,	,
while	while	while
in	in	in
an	an	an
ideal	ideal	ideal
world	world	world
would	would	would
make	make	make
no	no	no
difference	differ	difference
,	,	,
it	it	it
very	veri	very
clearly	clear	clearly
does	doe	doe
in	in	in
modern	modern	modern
-day	-day	-day
politics	polit	politics
,	,	,
and	and	and
it	it	it
s	s	s
not	not	not
about	about	about
to	to	to
change	chang	change
overnight	overnight	overnight
.	.	.
Kudos	kudo	Kudos
to	to	to
Clooney	clooney	Clooney
for	for	for
making	make	making
this	this	this
point	point	point
be	be	be
clearly	clear	clearly
known	known	known
,	,	,
and	and	and
also	also	also
for	for	for
voting	vote	voting
blue	blue	blue
no	no	no
matter	matter	matter
who	who	who
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
Featured	featur	Featured
photo	photo	photo
by	by	by
Kevin	kevin	Kevin
Winter	winter	Winter
Getty	getti	Getty
Images	imag	Images
