If	if	If
wetback	wetback	wetback
as	as	a
a	a	a
derogatory	derogatori	derogatory
term	term	term
against	against	against
Latinos	latino	Latinos
and	and	and
the	the	the
displacement	displac	displacement
of	of	of
thousands	thousand	thousand
of	of	of
men	men	men
,	,	,
women	women	woman
,	,	,
and	and	and
children	children	child
.	.	.
The	the	The
fact	fact	fact
is	is	is
that	that	that
,	,	,
like	like	like
Donald	donald	Donald
Trump	trump	Trump
,	,	,
Marc	marc	Marc
Anthony	anthoni	Anthony
is	is	is
an	an	an
American	american	American
citizen	citizen	citizen
and	and	and
a	a	a
native	nativ	native
New	new	New
Yorker	yorker	Yorker
.	.	.
But	but	But
while	while	while
Trump	trump	Trump
clings	cling	cling
to	to	to
a	a	a
racist	racist	racist
version	version	version
of	of	of
America	america	America
,	,	,
Anthony	anthoni	Anthony
believes	believ	belief
in	in	in
the	the	the
historical	histor	historical
diversity	divers	diversity
that	that	that
has	has	ha
made	made	made
America	america	America
great	great	great
over	over	over
countless	countless	countless
generations	generat	generation
.	.	.
That	that	That
being	be	being
said	said	said
,	,	,
Republicans	republican	Republicans
should	should	should
tread	tread	tread
carefully	care	carefully
if	if	if
they	they	they
really	realli	really
want	want	want
Latinos	latino	Latinos
to	to	to
vote	vote	vote
for	for	for
their	their	their
candidate	candid	candidate
in	in	in
November	novemb	November
.	.	.
After	after	After
all	all	all
,	,	,
70	70	70
percent	percent	percent
of	of	of
Latinos	latino	Latinos
voted	vote	voted
for	for	for
President	presid	President
Obama	obama	Obama
in	in	in
2012	2012	2012
.	.	.
If	if	If
the	the	the
GOP	gop	GOP
doesn	doesn	doesn
t	t	t
stop	stop	stop
being	be	being
racist	racist	racist
,	,	,
they	they	they
can	can	can
expect	expect	expect
even	even	even
more	more	more
Latinos	latino	Latinos
to	to	to
vote	vote	vote
against	against	against
them	them	them
this	this	this
time	time	time
around	around	around
.	.	.
Featured	featur	Featured
image	imag	image
from	from	from
Facebook	facebook	Facebook
