President	presid	President
That	that	That
is	is	is
not	not	not
surprising	surpris	surprising
.	.	.
The	the	The
White	white	White
House	hous	House
seems	seem	seems
to	to	to
come	come	come
away	away	away
from	from	from
most	most	most
events	event	event
,	,	,
from	from	from
the	the	the
Inauguration	inaugur	Inauguration
to	to	to
pretty	pretti	pretty
much	much	much
everything	everyth	everything
that	that	that
happens	happen	happens
everywhere	everywher	everywhere
,	,	,
with	with	with
a	a	a
different	differ	different
view	view	view
than	than	than
the	the	the
rest	rest	rest
of	of	of
us	us	u
.	.	.
Perhaps	perhap	Perhaps
the	the	the
best	best	best
way	way	way
to	to	to
look	look	look
at	at	at
this	this	this
is	is	is
how	how	how
Former	former	Former
Congressman	congressman	Congressman
John	john	John
Dingell	dingel	Dingell
Tweeted	tweet	Tweeted
It's	it	It's
a	a	a
bit	bit	bit
wild	wild	wild
to	to	to
see	see	see
the	the	the
Trump	trump	Trump
administration	administr	administration
begin	begin	begin
the	the	the
same	same	same
way	way	way
Nixon's	nixon	Nixon's
ended	end	ended
.	.	.
I'd	i'd	I'd
be	be	be
laughing	laugh	laughing
my	my	my
ass	ass	as
off	off	off
if	if	if
I	i	I
weren't	weren't	weren't
so	so	so
damn	damn	damn
worried	worri	worried
.	.	.
John	john	John
Dingell	dingel	Dingell
@JohnDingell	@johndingel	@JohnDingell
May	may	May
12	12	12
,	,	,
2017Featured	2017featur	2017Featured
image	imag	image
via	via	via
Alex	alex	Alex
Wong	wong	Wong
Getty	getti	Getty
Images	imag	Images
.	.	.
