Speaking	speak	Speaking
some	some	some
radical	radic	radical
fringe	fring	fringe
of	of	of
the	the	the
@GOP	@gop	@GOP
.	.	.
They're	they'r	They're
in	in	in
line	line	line
with	with	with
the	the	the
party	parti	party
platform	platform	platform
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016The	2016the	2016The
@GOP	@gop	@GOP
platform	platform	platform
is	is	is
the	the	the
most	most	most
anti	anti	anti
-choice	-choic	-choice
ever	ever	ever
defund	defund	defund
@PPFA	@ppfa	@PPFA
denounce	denounc	denounce
all	all	all
abortion	abort	abortion
.	.	.
Even	even	Even
cases	case	case
of	of	of
rape	rape	rape
,	,	,
incest	incest	incest
woman's	woman	woman's
potential	potenti	potential
death	death	death
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016And	2016and	2016And
OF	of	OF
COURSE	cours	COURSE
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
a	a	a
guy	guy	guy
who	who	who
doesn	doesn	doesn
t	t	t
feel	feel	feel
good	good	good
about	about	about
marriage	marriag	marriage
equality	equal	equality
picked	pick	picked
a	a	a
VP	vp	VP
famous	famous	famous
for	for	for
LGBT	lgbt	LGBT
discrimination	discrimin	discrimination
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016The	2016the	2016The
@GOP	@gop	@GOP
platform	platform	platform
says	say	say
overturn	overturn	overturn
marriage	marriag	marriage
equality	equal	equality
it	it	it
supports	support	support
parents	parent	parent
putting	put	putting
their	their	their
LGBT	lgbt	LGBT
children	children	child
through	through	through
conversion	convers	conversion
therapy	therapi	therapy
.	.	.
Disgusting	disgust	Disgusting
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016The	2016the	2016The
@GOP	@gop	@GOP
platform	platform	platform
even	even	even
says	say	say
that	that	that
children	children	child
not	not	not
from	from	from
natural	natur	natural
marriage	marriag	marriage
are	are	are
more	more	more
likely	like	likely
to	to	to
be	be	be
drug	drug	drug
addicts	addict	addict
.	.	.
Hateful	hate	Hateful
AND	and	AND
disgusting	disgust	disgusting
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016Terrifying	2016terrifi	2016Terrifying
to	to	to
think	think	think
of	of	of
@mike_pence	@mike_p	@mike_pence
being	be	being
a	a	a
heartbeat	heartbeat	heartbeat
from	from	from
presidency	presid	presidency
but	but	but
the	the	the
direction	direct	direction
@GOP	@gop	@GOP
wants	want	want
to	to	to
take	take	take
our	our	our
country	countri	country
is	is	is
MORE	more	MORE
terrifying	terrifi	terrifying
.	.	.
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
@elizabethforma	@elizabethforma	@elizabethforma
July	juli	July
16	16	16
,	,	,
2016Warren	2016warren	2016Warren
gets	get	get
it	it	it
,	,	,
and	and	and
hopefully	hope	hopefully
most	most	most
of	of	of
America	america	America
gets	get	get
it	it	it
,	,	,
too	too	too
.	.	.
Trump	trump	Trump
is	is	is
bad	bad	bad
for	for	for
America	america	America
,	,	,
and	and	and
with	with	with
Trump	trump	Trump
s	s	s
pick	pick	pick
of	of	of
Pence	penc	Pence
bad	bad	bad
just	just	just
went	went	went
to	to	to
worse	wors	worse
.	.	.
We	we	We
need	need	need
to	to	to
make	make	make
sure	sure	sure
a	a	a
Trump	trump	Trump
Pence	penc	Pence
administration	administr	administration
never	never	never
happens	happen	happens
for	for	for
the	the	the
sake	sake	sake
of	of	of
all	all	all
things	thing	thing
good	good	good
and	and	and
decent	decent	decent
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Mark	mark	Mark
Wilson	wilson	Wilson
Getty	getti	Getty
Images	imag	Images
