Arrogant	arrog	Arrogant
health	health	health
care	care	care
reform	reform	reform
fail	fail	fail
to	to	to
end	end	end
up	up	up
on	on	on
his	his	his
desk	desk	desk
,	,	,
even	even	even
though	though	though
,	,	,
as	as	a
with	with	with
health	health	health
care	care	care
,	,	,
the	the	the
political	polit	political
reality	realiti	reality
indicated	indic	indicated
all	all	all
along	along	along
how	how	how
difficult	difficult	difficult
it	it	it
was	was	wa
going	go	going
to	to	to
be	be	be
to	to	to
pass	pass	pas
legislation	legisl	legislation
.	.	.

Our	our	Our
new	new	new
president	presid	president
,	,	,
of	of	of
course	cours	course
,	,	,
has	has	ha
not	not	not
been	been	been
in	in	in
this	this	this
line	line	line
of	of	of
work	work	work
before	befor	before
.	.	.

And	and	And
I	i	I
think	think	think
he	he	he
had	had	had
excessive	excess	excessive
expectations	expect	expectation
about	about	about
how	how	how
quickly	quick	quickly
things	thing	thing
happen	happen	happen
in	in	in
the	the	the
democratic	democrat	democratic
process	process	process
,	,	,
McConnell	mcconnel	McConnell
told	told	told
the	the	the
group	group	group
.	.	.

So	so	So
part	part	part
of	of	of
the	the	the
reason	reason	reason
I	i	I
think	think	think
people	peopl	people
feel	feel	feel
we	we	we
re	re	re
underperforming	underperform	underperforming
is	is	is
because	becaus	because
too	too	too
many	mani	many
artificial	artifici	artificial
deadlines	deadlin	deadline
unrelated	unrel	unrelated
to	to	to
the	the	the
reality	realiti	reality
of	of	of
the	the	the
complexity	complex	complexity
of	of	of
legislating	legisl	legislating
may	may	may
not	not	not
have	have	have
been	been	been
fully	fulli	fully
understood	understood	understood
.	.	.

President	presid	President
Trump	trump	Trump
tweeted	tweet	tweeted
back	back	back
to	to	to
McConnell	mcconnel	McConnell
GET	get	GET
BACK	back	BACK
TO	to	TO
WORK	work	WORK
!	!	!

Here	here	Here
s	s	s
the	the	the
list	list	list
of	of	of
Republican	republican	Republican
Senators	senat	Senators
who	who	who
went	went	went
against	against	against
President	presid	President
Trump	trump	Trump
PRIMARY	primari	PRIMARY
THEM	them	THEM
!	!	!

Cornyn	cornyn	Cornyn
Corker	corker	Corker
Tillis	tilli	Tillis
Isakson	isakson	Isakson
Collins	collin	Collins
Hatch	hatch	Hatch
Gardner	gardner	Gardner
Heller	heller	Heller
Flake	flake	Flake
Young	young	Young
CapitoThe	capitoth	CapitoThe
more	more	more
these	these	these
Senators	senat	Senators
push	push	push
against	against	against
Trump	trump	Trump
,	,	,
the	the	the
more	more	more
the	the	the
American	american	American
people	peopl	people
will	will	will
turn	turn	turn
on	on	on
the	the	the
Republican	republican	Republican
turncoats	turncoat	turncoat
!	!	!

