There	there	There
to	to	to
listen	listen	listen
to	to	to
their	their	their
parents	parent	parent
if	if	if
their	their	their
parents	parent	parent
tell	tell	tell
them	them	them
something	someth	something
different	differ	different
.	.	.
The	the	The
government	govern	government
curriculum	curriculum	curriculum
plans	plan	plan
to	to	to
tell	tell	tell
the	the	the
little	littl	little
children	children	child
their	their	their
parents	parent	parent
are	are	are
ignorant	ignor	ignorant
,	,	,
and	and	and
they	they	they
don	don	don
t	t	t
understand	understand	understand
because	becaus	because
of	of	of
the	the	the
way	way	way
the	the	the
parents	parent	parent
were	were	were
taught	taught	taught
.	.	.
Or	or	Or
the	the	the
little	littl	little
children	children	child
will	will	will
be	be	be
told	told	told
their	their	their
parents	parent	parent
are	are	are
bigoted	bigot	bigoted
because	becaus	because
they	they	they
do	do	do
not	not	not
accept	accept	accept
Islam	islam	Islam
and	and	and
gay	gay	gay
marriage	marriag	marriage
.	.	.
Likely	like	Likely
#SBOE	#sboe	#SBOE
member	member	member
Mary	mari	Mary
Lou	lou	Lou
Bruner	bruner	Bruner
pre	pre	pre
-K	-k	-K
is	is	is
feds	fed	fed
indoctrinating	indoctrin	indoctrinating
kids	kid	kid
to	to	to
make	make	make
them	them	them
sexually	sexual	sexually
confused	confus	confused
#txlege	#txlege	#txlege
pic.twitter.com/ngMtsOq1S3	pic.twitter.com/ngmtsoq1s3	pic.twitter.com/ngMtsOq1S3
Evan	evan	Evan
Smith	smith	Smith
@evanasmith	@evanasmith	@evanasmith
April	april	April
22	22	22
,	,	,
2016The	2016the	2016The
fact	fact	fact
that	that	that
this	this	this
woman	woman	woman
is	is	is
running	run	running
for	for	for
the	the	the
Texas	texa	Texas
State	state	State
Board	board	Board
of	of	of
Education	educ	Education
and	and	and
could	could	could
very	veri	very
well	well	well
have	have	have
influence	influenc	influence
over	over	over
what	what	what
is	is	is
taught	taught	taught
is	is	is
absolutely	absolut	absolutely
terrifying	terrifi	terrifying
.	.	.
Bruner	bruner	Bruner
is	is	is
clearly	clear	clearly
a	a	a
few	few	few
sandwiches	sandwich	sandwich
short	short	short
of	of	of
a	a	a
picnic	picnic	picnic
.	.	.
Newsflash	newsflash	Newsflash
to	to	to
Bruner	bruner	Bruner
you	you	you
re	re	re
not	not	not
taught	taught	taught
to	to	to
be	be	be
gay	gay	gay
,	,	,
and	and	and
teaching	teach	teaching
acceptance	accept	acceptance
and	and	and
love	love	love
of	of	of
others	other	others
is	is	is
actually	actual	actually
the	the	the
Christian	christian	Christian
thing	thing	thing
to	to	to
do	do	do
.	.	.
As	as	As
a	a	a
person	person	person
who	who	who
was	was	wa
raised	rais	raised
in	in	in
a	a	a
very	veri	very
evangelical	evangel	evangelical
Christian	christian	Christian
home	home	home
and	and	and
is	is	is
also	also	also
a	a	a
lesbian	lesbian	lesbian
,	,	,
let	let	let
me	me	me
tell	tell	tell
you	you	you
,	,	,
if	if	if
you	you	you
re	re	re
taught	taught	taught
to	to	to
be	be	be
gay	gay	gay
,	,	,
where	where	where
the	the	the
hell	hell	hell
did	did	did
I	i	I
learn	learn	learn
it	it	it
?	?	?
The	the	The
only	onli	only
learned	learn	learned
behavior	behavior	behavior
Bruner	bruner	Bruner
is	is	is
promoting	promot	promoting
is	is	is
wanting	want	wanting
to	to	to
teach	teach	teach
kids	kid	kid
to	to	to
be	be	be
discriminatory	discriminatori	discriminatory
,	,	,
vindictive	vindict	vindictive
,	,	,
and	and	and
hateful	hate	hateful
of	of	of
anyone	anyon	anyone
who	who	who
doesn	doesn	doesn
t	t	t
fit	fit	fit
her	her	her
definition	definit	definition
of	of	of
how	how	how
to	to	to
live	live	live
one	one	one
s	s	s
life	life	life
.	.	.
Bruner	bruner	Bruner
needs	need	need
to	to	to
stay	stay	stay
as	as	a
far	far	far
away	away	away
from	from	from
educational	educ	educational
decisions	decis	decision
as	as	a
possible	possibl	possible
.	.	.
She	she	She
needs	need	need
to	to	to
keep	keep	keep
her	her	her
crazy	crazi	crazy
conspiracy	conspiraci	conspiracy
theories	theori	theory
within	within	within
the	the	the
confines	confin	confines
of	of	of
her	her	her
own	own	own
home	home	home
.	.	.
She	she	She
s	s	s
truly	truli	truly
what	what	what
is	is	is
actually	actual	actually
dangerous	danger	dangerous
,	,	,
not	not	not
kids	kid	kid
getting	get	getting
early	earli	early
childhood	childhood	childhood
education	educ	education
.	.	.
For	for	For
goodness	good	goodness
sake	sake	sake
.	.	.
Featured	featur	Featured
Photo	photo	Photo
by	by	by
Sean	sean	Sean
Gallup	gallup	Gallup
Getty	getti	Getty
Images	imag	Images
