Self	self	Self
Does	doe	Does
Allen	allen	Allen
really	realli	really
want	want	want
to	to	to
compare	compar	compare
his	his	his
list	list	list
of	of	of
previous	previous	previous
jobs	job	job
with	with	with
the	the	the
president	presid	president
?	?	?

We	we	We
didn	didn	didn
t	t	t
think	think	think
so	so	so
.	.	.
This	this	This
wasn	wasn	wasn
t	t	t
the	the	the
first	first	first
time	time	time
Allen	allen	Allen
has	has	ha
used	use	used
jokes	joke	joke
on	on	on
the	the	the
show	show	show
to	to	to
make	make	make
fun	fun	fun
of	of	of
President	presid	President
Obama	obama	Obama
,	,	,
either	either	either
.	.	.

Back	back	Back
in	in	in
October	octob	October
,	,	,
he	he	he
blamed	blame	blamed
Obama	obama	Obama
for	for	for
not	not	not
being	be	being
able	abl	able
to	to	to
have	have	have
a	a	a
pit	pit	pit
underneath	underneath	underneath
his	his	his
car	car	car
.	.	.

We	we	We
must	must	must
admit	admit	admit
,	,	,
this	this	this
joke	joke	joke
,	,	,
however	howev	however
,	,	,
was	was	wa
kind	kind	kind
of	of	of
funny	funni	funny
.	.	.

It	it	It
helped	help	helped
that	that	that
Jay	jay	Jay
Leno	leno	Leno
was	was	wa
on	on	on
the	the	the
show	show	show
,	,	,
backing	back	backing
him	him	him
up	up	up
.	.	.

You	you	You
have	have	have
a	a	a
pit	pit	pit
.	.	.

I	i	I
ve	ve	ve
always	alway	always
wanted	want	wanted
a	a	a
pit	pit	pit
.	.	.

You	you	You
can	can	can
t	t	t
have	have	have
a	a	a
pit	pit	pit
these	these	these
days	day	day
cause	caus	cause
of	of	of
zoning	zone	zoning
laws	law	law
.	.	.

Because	becaus	Because
of	of	of
Obama	obama	Obama
.	.	.

Tim	tim	Tim
Allen	allen	Allen
has	has	ha
repeatedly	repeat	repeatedly
gone	gone	gone
on	on	on
television	televis	television
and	and	and
proclaimed	proclaim	proclaimed
himself	himself	himself
to	to	to
be	be	be
a	a	a
conservative	conserv	conservative
and	and	and
every	everi	every
single	singl	single
time	time	time
he	he	he
has	has	ha
showed	show	showed
us	us	u
how	how	how
little	littl	little
he	he	he
actually	actual	actually
knows	know	know
.	.	.

One	one	One
of	of	of
his	his	his
most	most	most
recent	recent	recent
talk	talk	talk
show	show	show
appearances	appear	appearance
was	was	wa
when	when	when
he	he	he
went	went	went
on	on	on
Sean	sean	Sean
Hannity	hanniti	Hannity
and	and	and
discussed	discuss	discussed
his	his	his
story	stori	story
on	on	on
why	whi	why
he	he	he
considers	consid	considers
himself	himself	himself
to	to	to
be	be	be
a	a	a
conservative	conserv	conservative
I	i	I
like	like	like
problem	problem	problem
-solving	-solv	-solving
.	.	.

And	and	And
a	a	a
lot	lot	lot
of	of	of
it	it	it
is	is	is
about	about	about
how	how	how
are	are	are
we	we	we
going	go	going
to	to	to
pay	pay	pay
for	for	for
this	this	this
?	?	?

In	in	In
my	my	my
neighborhood	neighborhood	neighborhood
,	,	,
we	we	we
wanted	want	wanted
to	to	to
put	put	put
in	in	in
trees	tree	tree
,	,	,
but	but	but
here	here	here
in	in	in
communist	communist	communist
California	california	California
it	it	it
s	s	s
difficult	difficult	difficult
because	becaus	because
there	there	there
are	are	are
so	so	so
many	mani	many
regulations	regul	regulation
.	.	.

Perhaps	perhap	Perhaps
Tim	tim	Tim
should	should	should
do	do	do
some	some	some
fact	fact	fact
-checking	-check	-checking
first	first	first
the	the	the
next	next	next
time	time	time
he	he	he
decides	decid	decides
to	to	to
talk	talk	talk
about	about	about
fiscal	fiscal	fiscal
-conservativism	-conservativ	-conservativism
.	.	.

According	accord	According
to	to	to
The	the	The
Atlantic	atlant	Atlantic
,	,	,
a	a	a
conservative	conserv	conservative
publication	public	publication
,	,	,
GOP	gop	GOP
presidents	presid	president
have	have	have
been	been	been
the	the	the
WORST	worst	WORST
contributors	contributor	contributor
to	to	to
the	the	the
federal	feder	federal
debt	debt	debt
.	.	.

Just	just	Just
take	take	take
a	a	a
look	look	look
at	at	at
the	the	the
chart	chart	chart
below	below	below
.	.	.

The	the	The
last	last	last
four	four	four
Republican	republican	Republican
presidents	presid	president
all	all	all
significantly	signific	significantly
contributed	contribut	contributed
to	to	to
the	the	the
national	nation	national
debt	debt	debt
.	.	.
Numbers	number	Numbers
don	don	don
t	t	t
lie	lie	lie
,	,	,
but	but	but
people	peopl	people
do	do	do
.	.	.
Pic	pic	Pic
via	via	via
The	the	The
AtlanticFeatured	atlanticfeatur	AtlanticFeatured
image	imag	image
via	via	via
screen	screen	screen
capture	captur	capture
.	.	.

