On	on	On
Fox	fox	Fox
News	news	News
that	that	that
Obama	obama	Obama
tried	tri	tried
to	to	to
kill	kill	kill
a	a	a
bunch	bunch	bunch
of	of	of
kids	kid	kid
.	.	.
Ultimately	ultim	Ultimately
,	,	,
the	the	the
President	presid	President
did	did	did
something	someth	something
that	that	that
is	is	is
much	much	much
like	like	like
interacting	interact	interacting
with	with	with
a	a	a
Republican	republican	Republican
-led	-led	-led
Congress	congress	Congress
He	he	He
did	did	did
his	his	his
best	best	best
to	to	to
calm	calm	calm
the	the	the
children	children	child
down	down	down
,	,	,
floundered	flounder	floundered
for	for	for
a	a	a
bit	bit	bit
while	while	while
the	the	the
hysteria	hysteria	hysteria
was	was	wa
at	at	at
its	it	it
peak	peak	peak
,	,	,
finally	final	finally
succeeded	succeed	succeeded
in	in	in
restoring	restor	restoring
order	order	order
,	,	,
and	and	and
got	got	got
back	back	back
to	to	to
business	busi	business
.	.	.
!	!	!
CDATA	cdata	CDATA
!	!	!
CDATA	cdata	CDATA
function	function	function
d	d	d
,	,	,
s	s	s
,	,	,
id	id	id
var	var	var
js	js	j
,	,	,
fjs	fjs	fjs
d	d	d
.	.	.
getElementsByTagName	getelementsbytagnam	getElementsByTagName
s	s	s
0	0	0
;	;	;
if	if	if
d	d	d
.	.	.
getElementById	getelementbyid	getElementById
id	id	id
return	return	return
;	;	;
js	js	j
d	d	d
.	.	.
createElement	createel	createElement
s	s	s
;	;	;
js	js	j
.	.	.
id	id	id
id	id	id
;	;	;
js	js	j
.	.	.
src	src	src
connect	connect	connect
.	.	.
facebook	facebook	facebook
.	.	.
net	net	net
en_US	en_us	en_US
sdk	sdk	sdk
.	.	.
js	js	j
"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"	"#xfbml=1&#038;version=v2.3"";"
fjs	fjs	fjs
.	.	.
parentNode	parentnod	parentNode
.	.	.
insertBefore	insertbefor	insertBefore
js	js	j
,	,	,
fjs	fjs	fjs
;	;	;
document	document	document
,	,	,
'script'	script	'script'
,	,	,
'facebook-jssdk'	facebook-jssdk	'facebook-jssdk'
;	;	;
gt	gt	gt
;	;	;
Posted	post	Posted
by	by	by
BuzzFeed	buzzfe	BuzzFeed
News	news	News
on	on	on
Monday	monday	Monday
,	,	,
March	march	March
28	28	28
,	,	,
2016All	2016all	2016All
in	in	in
all	all	all
,	,	,
it	it	it
was	was	wa
a	a	a
rousing	rous	rousing
success	success	success
and	and	and
everyone	everyon	everyone
had	had	had
fun	fun	fun
.	.	.

The	the	The
President	presid	President
even	even	even
challenged	challeng	challenged
the	the	the
kids	kid	kid
to	to	to
a	a	a
stare	stare	stare
-down	-down	-down
It	it	It
d	d	d
hard	hard	hard
not	not	not
to	to	to
be	be	be
upset	upset	upset
that	that	that
the	the	the
Obamas	obama	Obamas
will	will	will
be	be	be
vacating	vacat	vacating
the	the	the
White	white	White
House	hous	House
,	,	,
even	even	even
with	with	with
two	two	two
amazing	amaz	amazing
Democratic	democrat	Democratic
candidates	candid	candidate
,	,	,
both	both	both
of	of	of
whom	whom	whom
have	have	have
the	the	the
potential	potenti	potential
to	to	to
continue	continu	continue
and	and	and
expand	expand	expand
upon	upon	upon
President	presid	President
Obama	obama	Obama
s	s	s
legacy	legaci	legacy
.	.	.
Watch	watch	Watch
them	them	them
read	read	read
to	to	to
the	the	the
kids	kid	kid
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

