If	if	If
pledged	pledg	pledged
millions	million	million
to	to	to
the	the	the
Foundation	foundat	Foundation
in	in	in
2008	2008	2008
.	.	.
Mahon	mahon	Mahon
is	is	is
a	a	a
senior	senior	senior
vice	vice	vice
president	presid	president
at	at	at
Est	est	Est
e	e	e
Lauder	lauder	Lauder
and	and	and
the	the	the
global	global	global
executive	execut	executive
director	director	director
of	of	of
the	the	the
MAC	mac	MAC
AIDS	aid	AIDS
Fund	fund	Fund
,	,	,
the	the	the
cosmetics	cosmet	cosmetic
company	compani	company
s	s	s
charitable	charit	charitable
arm	arm	arm
.	.	.

Through	through	Through
the	the	the
fund	fund	fund
,	,	,
she	she	she
pledged	pledg	pledged
a	a	a
commitment	commit	commitment
to	to	to
the	the	the
Clinton	clinton	Clinton
Global	global	Global
Initiative	initi	Initiative
in	in	in
2008	2008	2008
.	.	.

The	the	The
MAC	mac	MAC
AIDS	aid	AIDS
Fund	fund	Fund
ultimately	ultim	ultimately
donated	donat	donated
between	between	between
1	1	1
and	and	and
5	5	5
million	million	million
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
.	.	.
Mahon	mahon	Mahon
was	was	wa
appointed	appoint	appointed
to	to	to
the	the	the
Presidential	presidenti	Presidential
Advisory	advisori	Advisory
Council	council	Council
on	on	on
HIV	hiv	HIV
AIDS	aid	AIDS
and	and	and
elevated	elev	elevated
to	to	to
chairperson	chairperson	chairperson
in	in	in
December	decemb	December
2011	2011	2011
,	,	,
after	after	after
launching	launch	launching
a	a	a
public	public	public
-private	-privat	-private
partnership	partnership	partnership
with	with	with
the	the	the
State	state	State
Department	depart	Department
in	in	in
June	june	June
.	.	.
Clinton	clinton	Clinton
thanked	thank	thanked
all	all	all
our	our	our
friends	friend	friend
at	at	at
MAC	mac	MAC
when	when	when
announcing	announc	announcing
the	the	the
partnership	partnership	partnership
to	to	to
combat	combat	combat
gender	gender	gender
-based	-base	-based
violence	violenc	violence
in	in	in
South	south	South
Africa	africa	Africa
on	on	on
June	june	June
2	2	2
,	,	,
2011	2011	2011
.	.	.

Soon	soon	Soon
we	we	we
will	will	will
expand	expand	expand
this	this	this
work	work	work
through	through	through
a	a	a
new	new	new
partnership	partnership	partnership
with	with	with
the	the	the
MAC	mac	MAC
AIDS	aid	AIDS
Foundation	foundat	Foundation
,	,	,
Clinton	clinton	Clinton
said	said	said
.	.	.

This	this	This
is	is	is
a	a	a
foundation	foundat	foundation
that	that	that
is	is	is
well	well	well
known	known	known
to	to	to
me	me	me
.	.	.

I	i	I
ve	ve	ve
had	had	had
the	the	the
privilege	privileg	privilege
of	of	of
working	work	working
with	with	with
it	it	it
in	in	in
the	the	the
past	past	past
.	.	.

Mahon	mahon	Mahon
was	was	wa
sworn	sworn	sworn
in	in	in
as	as	a
the	the	the
chairperson	chairperson	chairperson
of	of	of
the	the	the
Presidential	presidenti	Presidential
Advisory	advisori	Advisory
Council	council	Council
on	on	on
HIV	hiv	HIV
AIDS	aid	AIDS
,	,	,
or	or	or
PACHA	pacha	PACHA
,	,	,
on	on	on
Dec	dec	Dec
.	.	.

2	2	2
,	,	,
2011	2011	2011
.	.	.
Read	read	Read
more	more	more
WFB	wfb	WFB

