On	on	On
by	by	by
certain	certain	certain
media	media	medium
!	!	!

Trump	trump	Trump
added	ad	added
,	,	,
failing	fail	failing
to	to	to
note	note	note
that	that	that
only	onli	only
right	right	right
-wing	-wing	-wing
media	media	medium
covers	cover	cover
him	him	him
inaccurately	inaccur	inaccurately
.	.	.
If	if	If
the	the	the
people	peopl	people
of	of	of
our	our	our
great	great	great
country	countri	country
could	could	could
only	onli	only
see	see	see
how	how	how
viciously	vicious	viciously
and	and	and
inaccurately	inaccur	inaccurately
my	my	my
administration	administr	administration
is	is	is
covered	cover	covered
by	by	by
certain	certain	certain
media	media	medium
!	!	!

Donald	donald	Donald
J	j	J
.	.	.

Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
March	march	March
29	29	29
,	,	,
2017Naturally	2017natur	2017Naturally
,	,	,
Americans	american	Americans
dropped	drop	dropped
by	by	by
to	to	to
let	let	let
Trump	trump	Trump
know	know	know
what	what	what
they	they	they
think	think	think
of	of	of
his	his	his
alternative	altern	alternative
facts	fact	fact
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
you	you	you
have	have	have
moved	move	moved
from	from	from
fake	fake	fake
news	news	news
to	to	to
fake	fake	fake
memories	memori	memory
.	.	.

Matt	matt	Matt
Haig	haig	Haig
@matthaig1	@matthaig1	@matthaig1
March	march	March
29	29	29
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@nytimes	@nytim	@nytimes
No	no	No
one	one	one
remembers	rememb	remembers
because	becaus	because
you're	you'r	you're
lying	lie	lying
.	.	.

You	you	You
are	are	are
reporting	report	reporting
FAKE	fake	FAKE
NEWS	news	NEWS
.	.	.

You	you	You
are	are	are
the	the	the
problem	problem	problem
here	here	here
.	.	.

You	you	You
need	need	need
to	to	to
go	go	go
.	.	.

Mike	mike	Mike
P	p	P
Williams	william	Williams
@Mike_P_Williams	@mike_p_william	@Mike_P_Williams
March	march	March
29	29	29
,	,	,
2017	2017	2017
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
wasn't	wasn't	wasn't
true	true	true
the	the	the
last	last	last
two	two	two
times	time	time
you	you	you
said	said	said
it	it	it
,	,	,
still	still	still
not	not	not
true	true	true
now	now	now
pic.twitter.com/FwFko0yFsS	pic.twitter.com/fwfko0yfss	pic.twitter.com/FwFko0yFsS
Dave	dave	Dave
Itzkoff	itzkoff	Itzkoff
@ditzkoff	@ditzkoff	@ditzkoff
March	march	March
29	29	29
,	,	,
2017	2017	2017
Here's	here	Here's
the	the	the
NYT	nyt	NYT
letter	letter	letter
Trump	trump	Trump
is	is	is
referring	refer	referring
to	to	to
.	.	.

It's	it	It's
really	realli	really
not	not	not
an	an	an
apology	apolog	apology
at	at	at
all	all	all
.	.	.
https://t.co/pnDJ04RR31	https://t.co/pndj04rr31	https://t.co/pnDJ04RR31
Zach	zach	Zach
Schonfeld	schonfeld	Schonfeld
@zzzzaaaacccchhh	@zzzzaaaacccchhh	@zzzzaaaacccchhh
March	march	March
29	29	29
,	,	,
2017	2017	2017
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
generally	general	generally
I	i	I
don't	don't	don't
remember	rememb	remember
things	thing	thing
that	that	that
never	never	never
happened	happen	happened
.	.	.

Alex	alex	Alex
Zalben	zalben	Zalben
@azalben	@azalben	@azalben
March	march	March
29	29	29
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@nytimes	@nytim	@nytimes
no	no	no
one	one	one
remembers	rememb	remembers
this	this	this
,	,	,
no	no	no
,	,	,
because	becaus	because
IT	it	IT
NEVER	never	NEVER
HAPPENED	happen	HAPPENED
YOU	you	YOU
CRAZY	crazi	CRAZY
OLD	old	OLD
FUCK	fuck	FUCK
Jason	jason	Jason
Bailey	bailey	Bailey
@jasondashbailey	@jasondashbailey	@jasondashbailey
March	march	March
29	29	29
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@nytimes	@nytim	@nytimes
Remember	rememb	Remember
when	when	when
your	your	your
GREAT	great	GREAT
LEGAL	legal	LEGAL
MIND	mind	MIND
pal	pal	pal
Judge	judg	Judge
Napolitano	napolitano	Napolitano
was	was	wa
fired	fire	fired
by	by	by
Fox	fox	Fox
4	4	4
a	a	a
false	fals	false
story	stori	story
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?

Gina	gina	Gina
@Gina660	@gina660	@Gina660
March	march	March
29	29	29
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
@nytimes	@nytim	@nytimes
Wasn't	wasn't	Wasn't
an	an	an
apology	apolog	apology
.	.	.

Was	was	Was
a	a	a
thank	thank	thank
you	you	you
to	to	to
subscribers	subscrib	subscriber
and	and	and
a	a	a
declaration	declar	declaration
of	of	of
continued	continu	continued
excellence	excel	excellence
in	in	in
journalism	journal	journalism
pic.twitter.com/N7BsGM2uxe	pic.twitter.com/n7bsgm2ux	pic.twitter.com/N7BsGM2uxe
Jennifer	jennif	Jennifer
Barnett	barnett	Barnett
@jenzerb	@jenzerb	@jenzerb
March	march	March
29	29	29
,	,	,
2017Trump	2017trump	2017Trump
s	s	s
desperation	desper	desperation
is	is	is
becoming	becom	becoming
more	more	more
and	and	and
more	more	more
obvious	obvious	obvious
by	by	by
the	the	the
day	day	day
.	.	.

He	he	He
s	s	s
running	run	running
scared	scare	scared
and	and	and
it	it	it
s	s	s
up	up	up
to	to	to
the	the	the
FAKE	fake	FAKE
NEWS	news	NEWS
media	media	medium
to	to	to
make	make	make
sure	sure	sure
he	he	he
goes	goe	go
down	down	down
in	in	in
flames	flame	flame
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Getty	getti	Getty
Images	imag	Images
Pool	pool	Pool
screengrab	screengrab	screengrab

