They	they	They
t	t	t
changed	chang	changed
.	.	.

But	but	But
the	the	the
poll	poll	poll
numbers	number	number
have	have	have
.	.	.

I	i	I
recognize	recogn	recognize
that	that	that
Donald	donald	Donald
is	is	is
dismayed	dismay	dismayed
that	that	that
his	his	his
poll	poll	poll
numbers	number	number
are	are	are
falling	fall	falling
in	in	in
Iowa	iowa	Iowa
.	.	.

But	but	But
the	the	the
facts	fact	fact
and	and	and
the	the	the
law	law	law
are	are	are
really	realli	really
clear	clear	clear
.	.	.

Under	under	Under
longstanding	longstand	longstanding
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
,	,	,
the	the	the
child	child	child
of	of	of
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
citizen	citizen	citizen
abroad	abroad	abroad
is	is	is
a	a	a
natural	natur	natural
born	born	born
citizen	citizen	citizen
.	.	.

Not	not	Not
so	so	so
simple	simpl	simple
says	say	say
respected	respect	respected
constitutional	constitut	constitutional
lawyer	lawyer	lawyer
Mary	mari	Mary
Brigid	brigid	Brigid
McManamon	mcmanamon	McManamon
at	at	at
Widener	widen	Widener
University	univers	University
s	s	s
Delaware	delawar	Delaware
Law	law	Law
School	school	School
The	the	The
Constitution	constitut	Constitution
provides	provid	provides
that	that	that
No	no	No
person	person	person
except	except	except
a	a	a
natural	natur	natural
born	born	born
Citizen	citizen	Citizen
.	.	.

.	.	.

.	.	.

shall	shall	shall
be	be	be
eligible	elig	eligible
to	to	to
the	the	the
Office	offic	Office
of	of	of
President	presid	President
.	.	.

The	the	The
concept	concept	concept
of	of	of
natural	natur	natural
born	born	born
comes	come	come
from	from	from
common	common	common
law	law	law
,	,	,
and	and	and
it	it	it
is	is	is
that	that	that
law	law	law
the	the	the
Supreme	suprem	Supreme
Court	court	Court
has	has	ha
said	said	said
we	we	we
must	must	must
turn	turn	turn
to	to	to
for	for	for
the	the	the
concept	concept	concept
s	s	s
definition	definit	definition
.	.	.

On	on	On
this	this	this
subject	subject	subject
,	,	,
common	common	common
law	law	law
is	is	is
clear	clear	clear
and	and	and
unambiguous	unambigu	unambiguous
.	.	.

The	the	The
18th	18th	18th
-century	-centuri	-century
English	english	English
jurist	jurist	jurist
William	william	William
Blackstone	blackston	Blackstone
,	,	,
the	the	the
preeminent	preemin	preeminent
authority	author	authority
on	on	on
it	it	it
,	,	,
declared	declar	declared
natural	natur	natural
-born	-born	-born
citizens	citizen	citizen
are	are	are
such	such	such
as	as	a
are	are	are
born	born	born
within	within	within
the	the	the
dominions	dominion	dominion
of	of	of
the	the	the
crown	crown	crown
of	of	of
England	england	England
while	while	while
aliens	alien	alien
are	are	are
such	such	such
as	as	a
are	are	are
born	born	born
out	out	out
of	of	of
it	it	it
.	.	.

The	the	The
key	key	key
to	to	to
this	this	this
division	divis	division
is	is	is
the	the	the
assumption	assumpt	assumption
of	of	of
allegiance	allegi	allegiance
to	to	to
one	one	one
s	s	s
country	countri	country
of	of	of
birth	birth	birth
.	.	.

The	the	The
Americans	american	Americans
who	who	who
drafted	draft	drafted
the	the	the
Constitution	constitut	Constitution
adopted	adopt	adopted
this	this	this
principle	principl	principle
for	for	for
the	the	the
United	unit	United
States	state	States
.	.	.

James	jame	James
Madison	madison	Madison
,	,	,
known	known	known
as	as	a
the	the	the
father	father	father
of	of	of
the	the	the
Constitution	constitut	Constitution
,	,	,
stated	state	stated
,	,	,
It	it	It
is	is	is
an	an	an
established	establish	established
maxim	maxim	maxim
that	that	that
birth	birth	birth
is	is	is
a	a	a
criterion	criterion	criterion
of	of	of
allegiance	allegi	allegiance
.	.	.

.	.	.

.	.	.

.	.	.

And	and	And
place	place	place
is	is	is
the	the	the
most	most	most
certain	certain	certain
criterion	criterion	criterion
;	;	;
it	it	it
is	is	is
what	what	what
applies	appli	applies
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.
'	'	'
Based	base	Based
on	on	on
this	this	this
interpretation	interpret	interpretation
,	,	,
Cruz	cruz	Cruz
is	is	is
disqualified	disqualifi	disqualified
.	.	.

The	the	The
irony	ironi	irony
in	in	in
all	all	all
this	this	this
is	is	is
that	that	that
Cruz	cruz	Cruz
supports	support	support
denying	deni	denying
citizenship	citizenship	citizenship
to	to	to
children	children	child
born	born	born
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
whose	whose	whose
parents	parent	parent
are	are	are
not	not	not
US	us	US
citizens	citizen	citizen
.	.	.
Is	is	Is
it	it	it
karma	karma	karma
that	that	that
the	the	the
Republicans	republican	Republicans
are	are	are
now	now	now
reeling	reel	reeling
from	from	from
the	the	the
prospect	prospect	prospect
of	of	of
two	two	two
of	of	of
their	their	their
leading	lead	leading
candidates	candid	candidate
being	be	being
ineligible	inelig	ineligible
for	for	for
the	the	the
presidency	presid	presidency
?	?	?

Throughout	throughout	Throughout
President	presid	President
Obama	obama	Obama
s	s	s
seven	seven	seven
years	year	year
in	in	in
the	the	the
White	white	White
House	hous	House
,	,	,
many	mani	many
Republicans	republican	Republicans
have	have	have
floated	float	floated
the	the	the
idea	idea	idea
that	that	that
he	he	he
was	was	wa
not	not	not
born	born	born
in	in	in
the	the	the
United	unit	United
States	state	States
.	.	.

In	in	In
fact	fact	fact
,	,	,
they	they	they
propagated	propag	propagated
the	the	the
idea	idea	idea
so	so	so
much	much	much
that	that	that
53	53	53
of	of	of
Republicans	republican	Republicans
believe	believ	believe
this	this	this
nonsense	nonsens	nonsense
today	today	today
.	.	.
The	the	The
birther	birther	birther
movement	movement	movement
,	,	,
which	which	which
consists	consist	consists
of	of	of
many	mani	many
Republicans	republican	Republicans
,	,	,
has	has	ha
attacked	attack	attacked
and	and	and
tried	tri	tried
to	to	to
discredit	discredit	discredit
the	the	the
president	presid	president
for	for	for
years	year	year
.	.	.

Now	now	Now
,	,	,
that	that	that
same	same	same
movement	movement	movement
is	is	is
after	after	after
the	the	the
very	veri	very
same	same	same
institution	institut	institution
,	,	,
the	the	the
Republican	republican	Republican
Party	parti	Party
,	,	,
that	that	that
propagated	propag	propagated
it	it	it
in	in	in
the	the	the
first	first	first
place	place	place
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Nation	nation	Nation
of	of	of
Change	chang	Change

