Neil	neil	Neil
has	has	ha
been	been	been
so	so	so
politicized	politic	politicized
while	while	while
he	he	he
tries	tri	try
to	to	to
stay	stay	stay
on	on	on
the	the	the
sidelines	sidelin	sideline
.	.	.

Tyson	tyson	Tyson
is	is	is
a	a	a
true	true	true
hero	hero	hero
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Joe	joe	Joe
Scarnici	scarnici	Scarnici
Getty	getti	Getty
Images	imag	Images
.	.	.

