Meanwhile	meanwhil	Meanwhile
in	in	in
November	novemb	November
,	,	,
Clinton	clinton	Clinton
will	will	will
need	need	need
a	a	a
strong	strong	strong
showing	show	showing
from	from	from
the	the	the
Democrat	democrat	Democrat
base	base	base
.	.	.
This	this	This
data	data	data
seems	seem	seems
to	to	to
suggest	suggest	suggest
that	that	that
she	she	she
has	has	ha
significant	signific	significant
problems	problem	problem
with	with	with
her	her	her
own	own	own
party	parti	party
s	s	s
core	core	core
voters	voter	voter
,	,	,
meaning	mean	meaning
that	that	that
if	if	if
whoever	whoever	whoever
wins	win	win
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
is	is	is
able	abl	able
to	to	to
woo	woo	woo
these	these	these
disaffected	disaffect	disaffected
Democrats	democrat	Democrats
into	into	into
the	the	the
GOP	gop	GOP
camp	camp	camp
,	,	,
there	there	there
could	could	could
be	be	be
a	a	a
blowout	blowout	blowout
in	in	in
November	novemb	November
for	for	for
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
.	.	.
In	in	In
2016	2016	2016
,	,	,
Clinton	clinton	Clinton
has	has	ha
received	receiv	received
12	12	12
,	,	,
437	437	437
,	,	,
734	734	734
votes	vote	vote
so	so	so
far	far	far
.	.	.
In	in	In
the	the	the
states	state	state
that	that	that
have	have	have
already	alreadi	already
voted	vote	voted
this	this	this
cycle	cycl	cycle
,	,	,
when	when	when
she	she	she
ran	ran	ran
and	and	and
lost	lost	lost
back	back	back
in	in	in
2008	2008	2008
,	,	,
Clinton	clinton	Clinton
received	receiv	received
12	12	12
,	,	,
727	727	727
,	,	,
221	221	221
votes	vote	vote
.	.	.
Specifically	specif	Specifically
,	,	,
the	the	the
data	data	data
shows	show	show
,	,	,
Clinton	clinton	Clinton
has	has	ha
seen	seen	seen
a	a	a
decline	declin	decline
of	of	of
273	273	273
,	,	,
321	321	321
votes	vote	vote
from	from	from
2008	2008	2008
to	to	to
2016	2016	2016
among	among	among
states	state	state
that	that	that
have	have	have
already	alreadi	already
voted	vote	voted
this	this	this
cycle	cycl	cycle
.	.	.
That	that	That
2	2	2
.	.	.
15	15	15
percent	percent	percent
decrease	decreas	decrease
nationally	nation	nationally
is	is	is
exacerbated	exacerb	exacerbated
in	in	in
several	sever	several
key	key	key
states	state	state
that	that	that
Clinton	clinton	Clinton
would	would	would
need	need	need
to	to	to
win	win	win
to	to	to
secure	secur	secure
the	the	the
presidency	presid	presidency
in	in	in
a	a	a
general	general	general
election	elect	election
,	,	,
suggesting	suggest	suggesting
that	that	that
she	she	she
s	s	s
extraordinarily	extraordinarili	extraordinarily
weak	weak	weak
on	on	on
the	the	the
electoral	elector	electoral
college	colleg	college
scale	scale	scale
nationally	nation	nationally
and	and	and
that	that	that
whoever	whoever	whoever
wins	win	win
the	the	the
GOP	gop	GOP
nomination	nomin	nomination
will	will	will
likely	like	likely
be	be	be
able	abl	able
to	to	to
thump	thump	thump
her	her	her
in	in	in
the	the	the
general	general	general
in	in	in
November	novemb	November
.	.	.
Via	via	Via
Breitbart	breitbart	Breitbart
News	news	News
