How	how	How
Virginia	virginia	Virginia
senator	senat	senator
claimed	claim	claimed
smaller	smaller	smaller
,	,	,
less	less	le
wealthy	wealthi	wealthy
countries	countri	country
actually	actual	actually
put	put	put
the	the	the
United	unit	United
States	state	States
to	to	to
shame	shame	shame
when	when	when
it	it	it
comes	come	come
to	to	to
electing	elect	electing
women	women	woman
to	to	to
higher	higher	higher
office	offic	office
.	.	.

Hold	hold	Hold
on	on	on
for	for	for
this	this	this
,	,	,
folks	folk	folk
.	.	.

Nineteen	nineteen	Nineteen
percent	percent	percent
ranks	rank	rank
the	the	the
United	unit	United
States	state	States
75th	75th	75th
in	in	in
the	the	the
world	world	world
,	,	,
below	below	below
the	the	the
global	global	global
average	averag	average
,	,	,
he	he	he
said	said	said
.	.	.

Iraq	iraq	Iraq
is	is	is
26	26	26
percent	percent	percent
.	.	.

Afghanistan	afghanistan	Afghanistan
is	is	is
28	28	28
percent	percent	percent
.	.	.

Number	number	Number
one	one	one
is	is	is
Rwanda	rwanda	Rwanda
.	.	.

Sixty	sixti	Sixty
-four	-four	-four
percent	percent	percent
.	.	.

So	so	So
for	for	for
reasons	reason	reason
,	,	,
some	some	some
of	of	of
which	which	which
I	i	I
understand	understand	understand
,	,	,
some	some	some
of	of	of
which	which	which
I	i	I
don	don	don
t	t	t
,	,	,
we	we	we
have	have	have
made	made	made
it	it	it
hard	hard	hard
.	.	.

We	we	We
have	have	have
made	made	made
it	it	it
hard	hard	hard
for	for	for
women	women	woman
to	to	to
be	be	be
elected	elect	elected
to	to	to
the	the	the
highest	highest	highest
positions	posit	position
in	in	in
our	our	our
federal	feder	federal
legislature	legislatur	legislature
and	and	and
as	as	a
president	presid	president
,	,	,
he	he	he
added	ad	added
.	.	.
However	howev	However
,	,	,
with	with	with
the	the	the
nomination	nomin	nomination
of	of	of
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
that	that	that
s	s	s
all	all	all
about	about	about
to	to	to
change	chang	change
,	,	,
he	he	he
said	said	said
.	.	.

We	we	We
are	are	are
about	about	about
to	to	to
change	chang	change
that	that	that
.	.	.

And	and	And
that	that	that
s	s	s
why	whi	why
I	i	I
m	m	m
so	so	so
excited	excit	excited
!	!	!

he	he	he
said	said	said
.	.	.
Kaine	kain	Kaine
s	s	s
statistics	statist	statistic
are	are	are
based	base	based
on	on	on
numbers	number	number
compiled	compil	compiled
by	by	by
the	the	the
Inter	inter	Inter
-Parliamentary	-parliamentari	-Parliamentary
Union	union	Union
,	,	,
which	which	which
bases	base	base
its	it	it
data	data	data
on	on	on
information	inform	information
provided	provid	provided
by	by	by
National	nation	National
Parliaments	parliament	Parliaments
.	.	.

Washington	washington	Washington
Examinerh	examinerh	Examinerh
t	t	t
Weasel	weasel	Weasel
Zippers	zipper	Zippers

