Barack	barack	Barack
from	from	from
immigrant	immigr	immigrant
households	household	household
were	were	were
the	the	the
children	children	child
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
.	.	.
Report	report	Report
author	author	author
Steven	steven	Steven
Camarota	camarota	Camarota
said	said	said
,	,	,
Of	of	Of
course	cours	course
,	,	,
we	we	we
must	must	must
educate	educ	educate
the	the	the
children	children	child
of	of	of
immigrants	immigr	immigrant
.	.	.
But	but	But
,	,	,
added	ad	added
the	the	the
Center	center	Center
s	s	s
director	director	director
of	of	of
research	research	research
,	,	,
the	the	the
key	key	key
question	question	question
moving	move	moving
forward	forward	forward
is	is	is
whether	whether	whether
it	it	it
makes	make	make
sense	sens	sense
to	to	to
continue	continu	continue
to	to	to
admit	admit	admit
1	1	1
million	million	million
new	new	new
legal	legal	legal
permanent	perman	permanent
immigrants	immigr	immigrant
each	each	each
year	year	year
and	and	and
tolerating	toler	tolerating
illegal	illeg	illegal
immigration	immigr	immigration
without	without	without
regard	regard	regard
to	to	to
the	the	the
absorption	absorpt	absorption
capacity	capac	capacity
of	of	of
our	our	our
schools	school	school
in	in	in
terms	term	term
of	of	of
both	both	both
educating	educ	educating
students	student	student
and	and	and
assimilating	assimil	assimilating
them	them	them
.	.	.
On	on	On
a	a	a
state	state	state
level	level	level
,	,	,
he	he	he
found	found	found
that	that	that
California	california	California
has	has	ha
the	the	the
biggest	biggest	biggest
percentage	percentag	percentage
of	of	of
immigrant	immigr	immigrant
students	student	student
in	in	in
public	public	public
schools	school	school
,	,	,
48	48	48
percent	percent	percent
,	,	,
followed	follow	followed
by	by	by
Nevada	nevada	Nevada
,	,	,
35	35	35
percent	percent	percent
,	,	,
New	new	New
Jersey	jersey	Jersey
and	and	and
New	new	New
York	york	York
at	at	at
34	34	34
percent	percent	percent
,	,	,
and	and	and
Texas	texa	Texas
,	,	,
31	31	31
percent	percent	percent
.	.	.
The	the	The
bulk	bulk	bulk
have	have	have
Mexican	mexican	Mexican
or	or	or
El	el	El
Salvadoran	salvadoran	Salvadoran
parents	parent	parent
.	.	.
He	he	He
also	also	also
found	found	found
that	that	that
many	mani	many
immigrant	immigr	immigrant
families	famili	family
are	are	are
poor	poor	poor
,	,	,
which	which	which
cuts	cut	cut
the	the	the
tax	tax	tax
base	base	base
schools	school	school
have	have	have
to	to	to
tap	tap	tap
for	for	for
funds	fund	fund
.	.	.
For	for	For
entire	entir	entire
story	stori	story
Washington	washington	Washington
Examiner	examin	Examiner
