Black	black	Black
our	our	our
nation	nation	nation
.	.	.
The	the	The
veterans	veteran	veteran
in	in	in
Cleveland	cleveland	Cleveland
are	are	are
tired	tire	tired
of	of	of
watching	watch	watching
the	the	the
nation	nation	nation
and	and	and
flag	flag	flag
they	they	they
fought	fought	fought
for	for	for
being	be	being
disrespected	disrespect	disrespected
by	by	by
these	these	these
clowns	clown	clown
who	who	who
have	have	have
never	never	never
sacrificed	sacrif	sacrificed
a	a	a
moment	moment	moment
of	of	of
their	their	their
lives	live	life
for	for	for
our	our	our
country	countri	country
.	.	.
They	they	They
posted	post	posted
this	this	this
sign	sign	sign
in	in	in
front	front	front
of	of	of
their	their	their
building	build	building
to	to	to
show	show	show
the	the	the
disrespectful	disrespect	disrespectful
Cleveland	cleveland	Cleveland
Brown	brown	Brown
players	player	player
how	how	how
they	they	they
feel	feel	feel
about	about	about
their	their	their
behavior	behavior	behavior
And	and	And
now	now	now
,	,	,
in	in	in
the	the	the
most	most	most
disgusting	disgust	disgusting
act	act	act
of	of	of
pandering	pander	pandering
to	to	to
political	polit	political
correctness	correct	correctness
,	,	,
the	the	the
Cleveland	cleveland	Cleveland
Police	polic	Police
officers	offic	officer
have	have	have
decided	decid	decided
they	they	they
will	will	will
join	join	join
the	the	the
cop	cop	cop
-hating	-hate	-hating
group	group	group
to	to	to
disrespect	disrespect	disrespect
our	our	our
flag	flag	flag
Cleveland	cleveland	Cleveland
officers	offic	officer
and	and	and
EMS	em	EMS
back	back	back
out	out	out
of	of	of
plan	plan	plan
to	to	to
hold	hold	hold
American	american	American
flag	flag	flag
on	on	on
Browns	brown	Browns
field	field	field
after	after	after
12	12	12
players	player	player
refused	refus	refused
to	to	to
stand	stand	stand
for	for	for
anthem	anthem	anthem
pic.twitter.com/HD5Jt9LDGT	pic.twitter.com/hd5jt9ldgt	pic.twitter.com/HD5Jt9LDGT
FOX	fox	FOX
friends	friend	friend
@foxandfriends	@foxandfriend	@foxandfriends
September	septemb	September
1	1	1
,	,	,
2017	2017	2017
